family,variant,symbol,timeframe,requested_range,actual_range,net_perf_pct,asset_symbol,asset_perf_pct,excess_vs_asset_pct,beat_asset,strategy_max_drawdown_pct,asset_max_drawdown_pct,positions,win_rate_pct,notes
SMH/SOXL relative-strength rotation,"Choose stronger of SMH/SOXL by 3-month return if positive, else AGG",SMH/SOXL/AGG,"Daily signal, monthly rebalance",2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,56123.57,SMH,4807.43,51316.14,True,-67.82,-45.3,61,60.66,Monthly ETF rotation parameter search; benchmark listed in asset_symbol.
SMH/SOXL relative-strength rotation,"Choose stronger of SMH/SOXL by 3-month return if positive, else BIL",SMH/SOXL/BIL,"Daily signal, monthly rebalance",2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,49871.18,SMH,4807.43,45063.75,True,-67.95,-45.3,61,60.66,Monthly ETF rotation parameter search; benchmark listed in asset_symbol.
SMH/SOXL relative-strength rotation,"Choose stronger of SMH/SOXL by 3-month return if positive, else AGG",SMH/SOXL/AGG,"Daily signal, monthly rebalance",2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,56123.57,SOXL,28725.15,27398.42,True,-67.82,-90.46,61,60.66,Monthly ETF rotation parameter search; benchmark listed in asset_symbol.
SMH/SOXL relative-strength rotation,"Choose stronger of SMH/SOXL by 3-month return if positive, else BIL",SMH/SOXL/BIL,"Daily signal, monthly rebalance",2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,49871.18,SOXL,28725.15,21146.03,True,-67.95,-90.46,61,60.66,Monthly ETF rotation parameter search; benchmark listed in asset_symbol.
Moving-average trend,"SMA50/SMA63 state, 10% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,48461.1,SOXL,28725.16,19735.94,True,-66.18,-90.46,77,41.56,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA50/SMA63 state, 20% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,42856.34,SOXL,28725.16,14131.18,True,-66.4,-90.46,56,51.79,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA5/SMA150 cross, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,37705.78,SOXL,28725.16,8980.63,True,-71.43,-90.46,23,52.17,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA5/SMA150 cross, 20% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,37705.78,SOXL,28725.16,8980.63,True,-71.43,-90.46,23,52.17,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA5/SMA150 cross, 30% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,37705.78,SOXL,28725.16,8980.63,True,-71.43,-90.46,23,52.17,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA5/SMA150 state, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,37705.78,SOXL,28725.16,8980.63,True,-71.43,-90.46,23,52.17,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA5/SMA150 state, 20% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,37705.78,SOXL,28725.16,8980.63,True,-71.43,-90.46,23,52.17,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA5/SMA150 state, 30% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,37705.78,SOXL,28725.16,8980.63,True,-71.43,-90.46,23,52.17,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA5/SMA150 state, 10% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,37453.67,SOXL,28725.16,8728.51,True,-68.95,-90.46,26,46.15,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA150 state, 10% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,33686.84,SOXL,28725.16,4961.68,True,-71.76,-90.46,27,44.44,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA150 cross, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,33402.73,SOXL,28725.16,4677.57,True,-72.05,-90.46,21,47.62,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA150 cross, 20% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,33402.73,SOXL,28725.16,4677.57,True,-72.05,-90.46,21,47.62,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA150 cross, 30% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,33402.73,SOXL,28725.16,4677.57,True,-72.05,-90.46,21,47.62,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA150 state, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,33402.73,SOXL,28725.16,4677.57,True,-72.05,-90.46,21,47.62,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA150 state, 20% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,33402.73,SOXL,28725.16,4677.57,True,-72.05,-90.46,21,47.62,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA150 state, 30% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,33402.73,SOXL,28725.16,4677.57,True,-72.05,-90.46,21,47.62,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA50/SMA63 state, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,33306.55,SOXL,28725.16,4581.39,True,-71.98,-90.46,42,54.76,Daily MA parameter search; optimized in-sample; no costs/slippage.
SMH/SOXL relative-strength rotation,"Choose stronger of SMH/SOXL by 6-month return if positive, else AGG",SMH/SOXL/AGG,"Daily signal, monthly rebalance",2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,9045.92,SMH,4807.43,4238.49,True,-86.65,-45.3,49,67.35,Monthly ETF rotation parameter search; benchmark listed in asset_symbol.
