Symbol,SignalDate,TradeStartDate,ExpireDate,Score,BreakoutLevel,Target,TargetReturnPct,Stop,CupLowDate,LeftRimDate,RightRimDate,HandleLowDate,CupDepthPct,HandleDepthPctOfCup,CandidateJson,HandleCupVolumeRatio,WeeklyVolumeCondition
DVA,2010-01-08,2010-01-11,2010-01-13,86.17,30.99,40.48,30.62,26.5,2009-03-27,2008-08-15,2009-11-06,2009-11-06,31.54,36.55,"{""score"": 86.17, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 32, ""bottom_idx"": 64, ""right_rim_idx"": 96, ""handle_low_idx"": 96, ""last_idx"": 105, ""left_rim_date"": ""2008-08-15"", ""bottom_date"": ""2009-03-27"", ""right_rim_date"": ""2009-11-06"", ""handle_low_date"": ""2009-11-06"", ""last_date"": ""2010-01-08"", ""left_rim_price"": 30.1, ""bottom_price"": 20.6, ""right_rim_price"": 29.97, ""handle_low_price"": 26.5, ""last_close"": 30.5, ""cup_depth_pct"": 31.54, ""handle_depth_pct_of_cup"": 36.55, ""right_rim_gap_pct"": 0.45, ""cup_width_weeks"": 64, ""handle_width_weeks"": 9, ""breakout_level"": 30.99, ""projected_target"": 40.48, ""volume_note"": ""handle avg volume 0.80x cup avg; latest week 1.08x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""no weekly close above the handle/rim resistance yet""]}",0.8,PASS: handle avg volume <= 1.05x cup avg
MO,2010-01-08,2010-01-11,2010-01-13,77.93,7.43,9.68,30.28,6.78,2009-03-06,2008-08-01,2009-11-20,2009-12-04,31.19,11.76,"{""score"": 77.93, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 30, ""bottom_idx"": 61, ""right_rim_idx"": 98, ""handle_low_idx"": 100, ""last_idx"": 105, ""left_rim_date"": ""2008-08-01"", ""bottom_date"": ""2009-03-06"", ""right_rim_date"": ""2009-11-20"", ""handle_low_date"": ""2009-12-04"", ""last_date"": ""2010-01-08"", ""left_rim_price"": 7.2, ""bottom_price"": 4.96, ""right_rim_price"": 7.05, ""handle_low_price"": 6.78, ""last_close"": 7.4, ""cup_depth_pct"": 31.19, ""handle_depth_pct_of_cup"": 11.76, ""right_rim_gap_pct"": 2.12, ""cup_width_weeks"": 68, ""handle_width_weeks"": 7, ""breakout_level"": 7.43, ""projected_target"": 9.68, ""volume_note"": ""handle avg volume 0.74x cup avg; latest week 1.05x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""prior uptrend is not strong, so continuation quality is weaker"", ""no weekly close above the handle/rim resistance yet""]}",0.74,PASS: handle avg volume <= 1.05x cup avg
ABT,2010-01-08,2010-01-11,2010-01-13,77.29,18.47,24.15,30.75,17.7,2009-05-01,2008-09-19,2009-12-04,2009-12-11,29.52,11.94,"{""score"": 77.29, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 37, ""bottom_idx"": 69, ""right_rim_idx"": 100, ""handle_low_idx"": 101, ""last_idx"": 105, ""left_rim_date"": ""2008-09-19"", ""bottom_date"": ""2009-05-01"", ""right_rim_date"": ""2009-12-04"", ""handle_low_date"": ""2009-12-11"", ""last_date"": ""2010-01-08"", ""left_rim_price"": 19.25, ""bottom_price"": 13.57, ""right_rim_price"": 18.38, ""handle_low_price"": 17.7, ""last_close"": 18.4, ""cup_depth_pct"": 29.52, ""handle_depth_pct_of_cup"": 11.94, ""right_rim_gap_pct"": 4.53, ""cup_width_weeks"": 63, ""handle_width_weeks"": 5, ""breakout_level"": 18.47, ""projected_target"": 24.15, ""volume_note"": ""handle avg volume 0.54x cup avg; latest week 1.12x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""no weekly close above the handle/rim resistance yet""]}",0.54,PASS: handle avg volume <= 1.05x cup avg
SYY,2010-01-08,2010-01-11,2010-01-13,77.27,18.33,24.45,33.39,16.12,2009-03-13,2008-07-25,2009-10-30,2009-11-06,34.38,19.5,"{""score"": 77.27, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 29, ""bottom_idx"": 62, ""right_rim_idx"": 95, ""handle_low_idx"": 96, ""last_idx"": 105, ""left_rim_date"": ""2008-07-25"", ""bottom_date"": ""2009-03-13"", ""right_rim_date"": ""2009-10-30"", ""handle_low_date"": ""2009-11-06"", ""last_date"": ""2010-01-08"", ""left_rim_price"": 17.81, ""bottom_price"": 11.69, ""right_rim_price"": 17.31, ""handle_low_price"": 16.12, ""last_close"": 17.5, ""cup_depth_pct"": 34.38, ""handle_depth_pct_of_cup"": 19.5, ""right_rim_gap_pct"": 2.77, ""cup_width_weeks"": 66, ""handle_width_weeks"": 10, ""breakout_level"": 18.33, ""projected_target"": 24.45, ""volume_note"": ""handle avg volume 0.87x cup avg; latest week 0.78x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""no weekly close above the handle/rim resistance yet""]}",0.87,PASS: handle avg volume <= 1.05x cup avg
CPB,2010-01-08,2010-01-11,2010-01-13,75.32,20.97,28.44,35.62,18.98,2009-05-01,2008-08-15,2009-12-04,2009-12-18,34.47,26.75,"{""score"": 75.32, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 32, ""bottom_idx"": 69, ""right_rim_idx"": 100, ""handle_low_idx"": 102, ""last_idx"": 105, ""left_rim_date"": ""2008-08-15"", ""bottom_date"": ""2009-05-01"", ""right_rim_date"": ""2009-12-04"", ""handle_low_date"": ""2009-12-18"", ""last_date"": ""2010-01-08"", ""left_rim_price"": 21.67, ""bottom_price"": 14.2, ""right_rim_price"": 20.97, ""handle_low_price"": 18.98, ""last_close"": 19.39, ""cup_depth_pct"": 34.47, ""handle_depth_pct_of_cup"": 26.75, ""right_rim_gap_pct"": 3.2, ""cup_width_weeks"": 68, ""handle_width_weeks"": 5, ""breakout_level"": 20.97, ""projected_target"": 28.44, ""volume_note"": ""handle avg volume 0.83x cup avg; latest week 1.21x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""no weekly close above the handle/rim resistance yet""]}",0.83,PASS: handle avg volume <= 1.05x cup avg
SHW,2010-01-08,2010-01-11,2010-01-13,73.98,17.53,23.53,34.23,16.4,2009-03-06,2008-09-19,2009-12-04,2010-01-08,34.21,18.8,"{""score"": 73.98, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 37, ""bottom_idx"": 61, ""right_rim_idx"": 100, ""handle_low_idx"": 105, ""last_idx"": 105, ""left_rim_date"": ""2008-09-19"", ""bottom_date"": ""2009-03-06"", ""right_rim_date"": ""2009-12-04"", ""handle_low_date"": ""2010-01-08"", ""last_date"": ""2010-01-08"", ""left_rim_price"": 17.52, ""bottom_price"": 11.53, ""right_rim_price"": 17.53, ""handle_low_price"": 16.4, ""last_close"": 16.83, ""cup_depth_pct"": 34.21, ""handle_depth_pct_of_cup"": 18.8, ""right_rim_gap_pct"": 0.07, ""cup_width_weeks"": 63, ""handle_width_weeks"": 5, ""breakout_level"": 17.53, ""projected_target"": 23.53, ""volume_note"": ""handle avg volume 0.57x cup avg; latest week 1.74x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""no weekly close above the handle/rim resistance yet""]}",0.57,PASS: handle avg volume <= 1.05x cup avg
AMGN,2010-01-08,2010-01-11,2010-01-13,73.28,38.88,50.63,30.22,36.33,2009-04-24,2008-11-07,2009-12-04,2009-12-18,28.02,21.49,"{""score"": 73.28, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 44, ""bottom_idx"": 68, ""right_rim_idx"": 100, ""handle_low_idx"": 102, ""last_idx"": 105, ""left_rim_date"": ""2008-11-07"", ""bottom_date"": ""2009-04-24"", ""right_rim_date"": ""2009-12-04"", ""handle_low_date"": ""2009-12-18"", ""last_date"": ""2010-01-08"", ""left_rim_price"": 41.93, ""bottom_price"": 30.18, ""right_rim_price"": 38.86, ""handle_low_price"": 36.33, ""last_close"": 38.11, ""cup_depth_pct"": 28.02, ""handle_depth_pct_of_cup"": 21.49, ""right_rim_gap_pct"": 7.33, ""cup_width_weeks"": 56, ""handle_width_weeks"": 5, ""breakout_level"": 38.88, ""projected_target"": 50.63, ""volume_note"": ""handle avg volume 0.61x cup avg; latest week 1.42x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""no weekly close above the handle/rim resistance yet""]}",0.61,PASS: handle avg volume <= 1.05x cup avg
PFE,2010-01-08,2010-01-11,2010-01-13,72.66,9.08,12.77,40.64,8.43,2009-03-06,2008-08-15,2009-12-04,2009-12-11,40.67,17.61,"{""score"": 72.66, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 32, ""bottom_idx"": 61, ""right_rim_idx"": 100, ""handle_low_idx"": 101, ""last_idx"": 105, ""left_rim_date"": ""2008-08-15"", ""bottom_date"": ""2009-03-06"", ""right_rim_date"": ""2009-12-04"", ""handle_low_date"": ""2009-12-11"", ""last_date"": ""2010-01-08"", ""left_rim_price"": 8.98, ""bottom_price"": 5.39, ""right_rim_price"": 9.08, ""handle_low_price"": 8.43, ""last_close"": 8.93, ""cup_depth_pct"": 40.67, ""handle_depth_pct_of_cup"": 17.61, ""right_rim_gap_pct"": 1.12, ""cup_width_weeks"": 68, ""handle_width_weeks"": 5, ""breakout_level"": 9.08, ""projected_target"": 12.77, ""volume_note"": ""handle avg volume 0.73x cup avg; latest week 1.03x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""no weekly close above the handle/rim resistance yet""]}",0.73,PASS: handle avg volume <= 1.05x cup avg
MKC,2010-01-08,2010-01-11,2010-01-13,70.97,13.23,17.76,34.24,12.65,2009-03-27,2008-08-08,2009-12-11,2009-12-18,31.25,11.2,"{""score"": 70.97, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 31, ""bottom_idx"": 64, ""right_rim_idx"": 101, ""handle_low_idx"": 102, ""last_idx"": 105, ""left_rim_date"": ""2008-08-08"", ""bottom_date"": ""2009-03-27"", ""right_rim_date"": ""2009-12-11"", ""handle_low_date"": ""2009-12-18"", ""last_date"": ""2010-01-08"", ""left_rim_price"": 14.51, ""bottom_price"": 9.98, ""right_rim_price"": 13.16, ""handle_low_price"": 12.65, ""last_close"": 13.23, ""cup_depth_pct"": 31.25, ""handle_depth_pct_of_cup"": 11.2, ""right_rim_gap_pct"": 9.3, ""cup_width_weeks"": 70, ""handle_width_weeks"": 4, ""breakout_level"": 13.23, ""projected_target"": 17.76, ""volume_note"": ""handle avg volume 0.50x cup avg; latest week 1.39x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""no weekly close above the handle/rim resistance yet""]}",0.5,PASS: handle avg volume <= 1.05x cup avg
NKE,2010-01-08,2010-01-11,2010-01-13,69.73,13.44,19.21,42.93,12.45,2009-03-13,2008-09-26,2009-11-20,2009-12-11,43.16,15.06,"{""score"": 69.73, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 38, ""bottom_idx"": 62, ""right_rim_idx"": 98, ""handle_low_idx"": 101, ""last_idx"": 105, ""left_rim_date"": ""2008-09-26"", ""bottom_date"": ""2009-03-13"", ""right_rim_date"": ""2009-11-20"", ""handle_low_date"": ""2009-12-11"", ""last_date"": ""2010-01-08"", ""left_rim_price"": 13.39, ""bottom_price"": 7.61, ""right_rim_price"": 13.32, ""handle_low_price"": 12.45, ""last_close"": 13.25, ""cup_depth_pct"": 43.16, ""handle_depth_pct_of_cup"": 15.06, ""right_rim_gap_pct"": 0.5, ""cup_width_weeks"": 60, ""handle_width_weeks"": 7, ""breakout_level"": 13.44, ""projected_target"": 19.21, ""volume_note"": ""handle avg volume 0.54x cup avg; latest week 1.06x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""no weekly close above the handle/rim resistance yet""]}",0.54,PASS: handle avg volume <= 1.05x cup avg
