year,requested_start,requested_end,actual_start,actual_end,trading_days,total_return,cagr,max_drawdown,sharpe,buy_trades,sell_trades,final_holdings,ticker_count
2020,2020-01-01,2020-12-31,2020-01-02,2020-12-31,253,-0.3498204712848614,-0.3507809791020391,-0.4309492194183224,-1.0167817898973197,212,207,"TRGP, COHR, TPR, OXY, PLTR",502
2021,2021-01-01,2021-12-31,2021-01-04,2021-12-31,252,0.2169569553989512,0.21977337612315773,-0.2195150314200076,0.7985626894101264,213,208,"ANET, BLDR, CIEN, TER, ON",502
2022,2022-01-01,2022-12-31,2022-01-03,2022-12-30,251,-0.13918508273601238,-0.14070262158908642,-0.274924069579627,-0.3754249868061947,249,244,"SMCI, UHS, HAL, MRNA, BA",502
2023,2023-01-01,2023-12-31,2023-01-03,2023-12-29,250,0.6125423896405875,0.6238179732115099,-0.17453941185236355,1.68246923466332,168,163,"CRWD, COIN, XYZ, EXPE, AMD",502
2024,2024-01-01,2024-12-31,2024-01-02,2024-12-31,252,-0.05745159313537207,-0.05764308709020127,-0.26373679282554097,-0.021644590312299396,201,196,"APP, PLTR, TSLA, UAL, HOOD",502
2025,2025-01-01,2025-12-31,2025-01-02,2025-12-31,250,0.15216940543191582,0.15318142536079749,-0.34019510581551415,0.5852564542243329,185,180,"SNDK, LITE, COHR, ALB, MU",502
