symbol,signal,reason,date,close,ema_9,ema_21,ema_200,rsi_14,volume,volume_ma20,has_position,holding_bars
AVGO,HOLD,no trigger,2026-05-20,417.76,420.27,412.75,343.43,54.77,15680977,19135208,False,
AXON,HOLD,no trigger,2026-05-20,398.44,394.65,397.92,543.25,48.79,956635,1190236,False,
BKNG,HOLD,no trigger,2026-05-20,156.95,158.16,164.02,190.1,38.31,6813142,7694292,False,
BKR,HOLD,no trigger,2026-05-20,66.79,65.66,65.26,54.6,56.84,8461179,8537788,False,
CCEP,HOLD,no trigger,2026-05-20,93.28,92.41,93.44,93.73,48.27,1324890,1658969,False,
CDNS,HOLD,no trigger,2026-05-20,350.89,348.56,340.87,317.03,59.37,1988221,2445366,False,
CEG,HOLD,no trigger,2026-05-20,281.26,279.44,288.83,311.24,45.39,3964047,3400497,False,
CHTR,HOLD,no trigger,2026-05-20,144.61,147.74,163.85,236.83,31.26,2796237,4372701,False,
CMCSA,HOLD,no trigger,2026-05-20,24.88,25.2,26.14,28.95,33.34,31618229,34694081,False,
CRWD,HOLD,no trigger,2026-05-20,650.11,585.08,531.02,459.32,86.58,4172238,3023091,False,
CSCO,HOLD,no trigger,2026-05-20,114.35,109.61,101.15,79.62,76.82,23925309,25774510,False,
CSGP,HOLD,no trigger,2026-05-20,34.01,33.46,34.65,56.03,42.16,4912832,8928686,False,
CSX,HOLD,no trigger,2026-05-20,45.94,45.56,44.88,38.76,61.59,10516274,12682648,False,
CTAS,HOLD,no trigger,2026-05-20,171.36,169.86,170.83,190.24,49.2,1572249,1983132,False,
CTSH,HOLD,no trigger,2026-05-20,51.3,50.03,51.97,67.81,43.81,7484901,8072890,False,
DASH,HOLD,no trigger,2026-05-20,160.73,159.59,163.08,195.43,47.25,6787885,5193619,False,
DDOG,HOLD,no trigger,2026-05-20,212.24,200.58,177.4,138.26,81.51,4652869,6827898,False,
DXCM,HOLD,no trigger,2026-05-20,71.44,64.07,62.63,68.87,69.12,10964597,6669754,False,
EA,HOLD,no trigger,2026-05-20,201.59,201.13,201.43,193.16,50.48,1218087,1779914,False,
EXC,HOLD,no trigger,2026-05-20,44.87,44.57,45.32,45.86,44.33,4349378,8028763,False,
FANG,HOLD,no trigger,2026-05-20,204.33,202.57,199.58,168.55,56.99,1499575,2331283,False,
FAST,HOLD,no trigger,2026-05-20,43.68,43.81,44.26,44.24,44.34,8276114,6353000,False,
FER,HOLD,no trigger,2026-05-20,67.41,67.61,68.29,64.62,46.62,1700981,1476129,False,
FTNT,HOLD,no trigger,2026-05-20,130.0,119.79,107.5,88.52,87.95,5801503,6288855,False,
GEHC,HOLD,no trigger,2026-05-20,64.26,62.45,64.07,73.65,47.67,8728721,6917896,False,
GILD,HOLD,no trigger,2026-05-20,130.69,131.38,132.7,129.45,42.75,5566955,6186337,False,
GOOG,HOLD,no trigger,2026-05-20,384.9,387.97,375.16,296.92,62.3,15021912,19429005,False,
GOOGL,HOLD,no trigger,2026-05-20,388.91,391.39,378.18,297.4,62.7,30405838,29476541,False,
HON,HOLD,no trigger,2026-05-20,217.39,216.58,217.62,216.54,48.03,3331396,4113119,False,
IDXX,HOLD,no trigger,2026-05-20,553.58,545.94,553.91,606.56,48.08,614579,659258,False,
INSM,HOLD,no trigger,2026-05-20,107.91,112.36,121.84,141.53,33.66,2946626,3901126,False,
INTC,HOLD,no trigger,2026-05-20,118.96,113.05,102.66,52.2,67.94,161635367,166063823,False,
ISRG,HOLD,no trigger,2026-05-20,449.03,439.98,446.63,496.0,49.59,1569616,2252260,False,
KDP,HOLD,no trigger,2026-05-20,28.69,28.92,28.56,28.72,53.42,14831393,11426019,False,
KHC,HOLD,no trigger,2026-05-20,23.53,23.25,23.01,24.17,58.08,13732097,14616384,False,
KLAC,HOLD,no trigger,2026-05-20,1829.47,1803.37,1786.14,1381.44,54.87,894048,1104462,False,
LIN,HOLD,no trigger,2026-05-20,506.63,506.35,504.03,472.39,53.04,1929758,2029922,False,
LRCX,HOLD,no trigger,2026-05-20,292.09,284.7,276.74,198.67,59.07,8019148,9608612,False,
MAR,HOLD,no trigger,2026-05-20,369.75,358.26,356.3,316.95,62.82,1624961,1379848,False,
MCHP,HOLD,no trigger,2026-05-20,94.02,94.63,91.84,72.5,58.64,10077123,12017071,False,
MDLZ,HOLD,no trigger,2026-05-20,61.84,61.29,60.55,59.67,61.56,6375567,7832658,False,
MELI,HOLD,no trigger,2026-05-20,1651.2,1629.5,1687.08,2007.8,45.16,517790,706009,False,
META,HOLD,no trigger,2026-05-20,605.06,610.88,619.19,650.96,42.66,10793648,16143262,False,
MNST,HOLD,no trigger,2026-05-20,86.88,85.38,82.23,74.38,67.27,4283251,5364457,False,
MPWR,HOLD,no trigger,2026-05-20,1553.27,1553.75,1533.68,1117.0,53.73,752210,686200,False,
MRVL,HOLD,no trigger,2026-05-20,186.8,175.18,164.82,101.99,67.52,29187139,25126556,False,
MSFT,HOLD,no trigger,2026-05-20,421.06,417.0,413.75,441.07,56.36,27626878,34749898,False,
MSTR,HOLD,no trigger,2026-05-20,165.81,173.87,171.68,210.41,48.09,9703207,15392170,False,
MU,HOLD,no trigger,2026-05-20,731.99,712.8,648.21,358.33,64.36,47387564,50543123,False,
NVDA,HOLD,no trigger,2026-05-20,223.47,221.06,213.45,183.97,61.85,144065333,158396576,False,
NXPI,HOLD,no trigger,2026-05-20,310.15,295.73,279.52,228.18,71.06,4116405,4397085,False,
ODFL,HOLD,no trigger,2026-05-20,209.83,202.55,203.14,179.43,56.43,1528667,2116278,False,
ORLY,HOLD,no trigger,2026-05-20,92.22,91.64,92.27,94.47,49.4,4601028,5887201,False,
PANW,HOLD,no trigger,2026-05-20,246.66,230.7,210.27,184.02,80.25,8604286,7861979,False,
PAYX,HOLD,no trigger,2026-05-20,94.92,93.16,92.62,109.34,56.91,2609018,3167440,False,
PCAR,HOLD,no trigger,2026-05-20,111.64,112.22,115.09,112.11,39.91,2553252,2861322,False,
PDD,HOLD,no trigger,2026-05-20,98.15,97.4,98.32,108.63,48.8,5087514,6277095,False,
PLTR,HOLD,no trigger,2026-05-20,137.15,135.77,137.75,151.56,47.87,29866980,42846504,False,
PYPL,HOLD,no trigger,2026-05-20,44.38,45.05,46.27,55.22,36.85,10504881,14922209,False,
QCOM,HOLD,no trigger,2026-05-20,202.51,200.9,186.79,157.64,61.07,18716867,31051518,False,
REGN,HOLD,no trigger,2026-05-20,649.76,676.42,701.26,701.9,33.6,1042074,989053,False,
ROST,HOLD,no trigger,2026-05-20,217.79,216.13,218.97,190.32,48.03,3228251,2524607,False,
SBUX,HOLD,no trigger,2026-05-20,106.5,106.03,104.1,93.25,63.87,6347574,7902033,False,
SHOP,HOLD,no trigger,2026-05-20,105.01,103.72,109.42,128.97,43.29,7975964,13694743,False,
SNDK,HOLD,no trigger,2026-05-20,1392.56,1381.15,1272.41,565.96,62.51,8899807,15183165,False,
SNPS,HOLD,no trigger,2026-05-20,498.93,501.21,490.71,469.26,58.62,1902577,1610038,False,
STX,HOLD,no trigger,2026-05-20,751.07,762.2,714.63,390.34,61.46,2142573,4783318,False,
TSLA,HOLD,no trigger,2026-05-20,417.26,417.72,408.06,396.92,55.17,44364861,58247238,False,
TTWO,HOLD,no trigger,2026-05-20,236.62,233.95,226.04,225.35,66.38,1798856,1728692,False,
TXN,HOLD,no trigger,2026-05-20,304.88,298.9,282.61,211.67,74.03,7565012,8867495,False,
WBD,HOLD,no trigger,2026-05-20,27.42,27.17,27.18,23.7,57.08,17013627,15908291,False,
WDAY,HOLD,no trigger,2026-05-20,126.61,125.15,124.64,177.14,51.68,6032553,4750107,False,
WDC,HOLD,no trigger,2026-05-20,459.62,467.95,445.7,248.83,58.48,5254891,8138209,False,
WMT,HOLD,no trigger,2026-05-20,130.85,131.65,130.39,117.13,52.67,28101503,16615300,False,
XEL,HOLD,no trigger,2026-05-20,79.86,79.57,79.87,77.57,49.71,4260706,5222210,False,
ZS,HOLD,no trigger,2026-05-20,174.45,162.28,152.37,202.44,71.76,2533393,3022399,False,
