symbol,signal,reason,date,close,ema_9,ema_21,ema_200,rsi_14,volume,volume_ma20,has_position,holding_bars
ADI,SELL,close < ema_21 with falling rsi_14,2026-05-20,398.05,412.92,402.42,309.62,51.13,9971562,4014478,False,
AEP,SELL,close < ema_21 with falling rsi_14,2026-05-20,128.87,129.27,130.97,122.54,43.97,4451762,4342728,False,
COST,SELL,rsi_14 reversed below 70,2026-05-20,1074.01,1052.62,1031.18,978.13,65.77,1949824,1881771,False,
CPRT,SELL,close < ema_21 with falling rsi_14,2026-05-20,33.04,33.1,33.24,39.93,46.51,13396369,7367023,False,
INTU,SELL,close < ema_21 with falling rsi_14,2026-05-20,383.93,391.46,393.92,526.86,45.35,5151405,2659715,False,
NFLX,SELL,close < ema_21 with falling rsi_14,2026-05-20,88.09,88.44,90.11,99.8,41.72,21271124,34247276,False,
PEP,SELL,close < ema_21 with falling rsi_14,2026-05-20,149.29,150.57,152.49,150.03,40.14,6424427,5959956,False,
ROP,SELL,close < ema_21 with falling rsi_14,2026-05-20,323.12,329.15,338.24,414.6,35.43,719762,1199973,False,
TMUS,SELL,close < ema_21 with falling rsi_14,2026-05-20,190.16,190.88,192.55,210.37,45.47,3634940,5615712,False,
TRI,SELL,close < ema_21 with falling rsi_14,2026-05-20,85.36,86.85,88.78,122.86,44.03,1325275,2332788,False,
VRSK,SELL,close < ema_21 with falling rsi_14,2026-05-20,170.66,168.87,172.24,216.15,46.56,1690391,2016564,False,
VRTX,SELL,close < ema_21 with falling rsi_14,2026-05-20,430.44,436.37,436.35,443.16,44.84,1693250,1192472,False,
AAPL,HOLD,no trigger,2026-05-20,302.25,296.25,287.28,257.57,74.41,37276629,47597891,False,
ABNB,HOLD,no trigger,2026-05-20,135.55,134.96,136.14,130.64,49.07,6493524,3975606,False,
ADBE,HOLD,no trigger,2026-05-20,253.37,249.51,247.97,299.73,54.39,4767068,4936323,False,
ADP,HOLD,no trigger,2026-05-20,220.69,215.94,211.71,244.33,61.86,2814962,3187223,False,
ADSK,HOLD,no trigger,2026-05-20,243.63,240.67,240.16,265.98,53.35,1550129,1800476,False,
ALNY,HOLD,no trigger,2026-05-20,298.48,293.68,298.84,349.53,47.72,768346,1071792,False,
AMAT,HOLD,no trigger,2026-05-20,426.85,422.91,413.95,306.92,56.26,6563252,7717957,False,
AMD,HOLD,no trigger,2026-05-20,447.58,425.99,388.79,236.66,69.59,35065543,45602982,False,
AMGN,HOLD,no trigger,2026-05-20,331.57,331.17,335.07,330.21,44.6,3428870,2791113,False,
AMZN,HOLD,no trigger,2026-05-20,265.01,265.32,261.54,230.15,57.72,34425988,45275389,False,
APP,HOLD,no trigger,2026-05-20,482.28,481.2,471.64,486.38,53.57,2820365,4671628,False,
ARM,HOLD,no trigger,2026-05-20,256.73,224.48,210.73,150.84,68.39,17656736,12086901,False,
ASML,HOLD,no trigger,2026-05-20,1550.13,1514.24,1491.41,1218.85,56.29,1705491,1680124,False,
