date,SP500 Top5 L63 S0 none DCA1,SPY buy-and-hold
2020-01-01,0.0,0.0
2020-01-02,-0.05127651560723545,-0.0005875476695106352
2020-02-03,-0.09578076265934254,-0.07829042740591519
2020-03-02,-0.15547261288578818,-0.22903473329416024
2020-04-01,-0.06918909144427055,-0.11297634349602137
2020-05-01,-0.035313772945371635,-0.05605092732318895
2020-06-01,0.0,-0.033317144847495705
2020-07-01,0.0,0.0
2020-08-03,0.0,0.0
2020-09-01,-0.001953557283291829,-0.03188996569574454
2020-10-01,-0.021082361512773984,-0.053362684902081736
2020-11-02,0.0,0.0
2020-12-01,0.0,0.0
2021-01-04,0.0,-0.0042364967858564695
2021-02-01,0.0,0.0
2021-03-01,-0.020080508767223115,0.0
2021-04-01,-0.017525551494554037,0.0
2021-05-03,0.0,0.0
2021-06-01,-0.028105543875952987,0.0
2021-07-01,-0.016544013286996617,0.0
2021-08-02,0.0,0.0
2021-09-01,-0.04625529608124035,-0.044633339284524065
2021-10-01,0.0,0.0
2021-11-01,-0.012280543186554138,0.0
2021-12-01,-0.00682600791879906,0.0
2022-01-03,-0.11605289628503757,-0.05378959921887472
2022-02-01,-0.0890410879247936,-0.08662605166196047
2022-03-01,0.0,-0.045311303269176095
2022-04-01,-0.07275858779552469,-0.1321641987263512
2022-05-02,-0.0047671863059655095,-0.12563552265372702
2022-06-01,-0.18208479630045393,-0.2035239848922461
2022-07-01,-0.16658116535241263,-0.13459172519708484
2022-08-01,-0.14843796572336976,-0.16898374738231836
2022-09-01,-0.1753424528697498,-0.23312915429002834
2022-10-03,-0.08609165338388858,-0.17141054746776874
2022-11-01,-0.07837352924914753,-0.1318438110605994
2022-12-01,-0.1287150317167901,-0.17991648509529923
2023-01-03,-0.08930483080303597,-0.13545277266733524
2023-02-01,-0.07154207326335504,-0.1563618843084562
2023-03-01,0.0,-0.12435729803112694
2023-04-03,-0.029925227665749565,-0.11017916102952874
2023-05-01,0.0,-0.1045678050747072
2023-06-01,0.0,-0.04786522672033833
2023-07-03,-0.003164976645356754,-0.01916697567397263
2023-08-01,-0.06645596554652866,-0.02583094600034319
2023-09-01,-0.11644498096830092,-0.07967002745480689
2023-10-02,-0.15819720170290008,-0.0956769014952269
2023-11-01,-0.10044493565219048,-0.01678586087263878
2023-12-01,-0.036276802708980704,0.0
2024-01-02,-0.03165581050117017,0.0
2024-02-01,0.0,0.0
2024-03-01,0.0,0.0
2024-04-01,-0.052305618549344235,-0.042857362544101996
2024-05-01,0.0,0.0
2024-06-03,-0.11450921039967998,0.0
2024-07-01,-0.15768355635112108,0.0
2024-08-01,-0.16349573530800598,0.0
2024-09-03,-0.11884813521300308,0.0
2024-10-01,-0.1493846629146982,-0.0036275116346030645
2024-11-01,0.0,0.0
2024-12-02,-0.07508917819964966,-0.01923189930498015
2025-01-02,-0.035918691276506376,-0.013773799294894085
2025-02-03,-0.0287417328790055,-0.007932985105855828
2025-03-03,-0.0670246857150607,-0.06959065896122563
2025-04-01,-0.010874785724955038,-0.06471720152822291
2025-05-01,0.0,-0.019001921376815
2025-06-02,0.0,0.0
2025-07-01,0.0,0.0
2025-08-01,-0.10802331928431441,0.0
2025-09-02,-0.0014158901909480104,0.0
2025-10-01,0.0,0.0
2025-11-03,0.0,-0.010004772050611788
2025-12-01,0.0,0.0
2026-01-02,0.0,0.0
2026-02-02,0.0,-0.015777721252587806
2026-03-02,-0.050841635512297256,-0.04915194832022207
2026-04-01,0.0,0.0
2026-05-22,0.0,0.0
