start,end,allocation,units,exposure,segment_return_pct,start_equity,end_equity,start_price,end_price
2026-01-02,2026-01-02,SOXL,1.0,2.0,0.0,24529796.897450004,24529796.897450004,47.2400016784668,47.2400016784668
2026-01-05,2026-01-07,SOXL,1.0,1.0,6.2373011350777885,25557929.516044725,27152054.54385136,49.220001220703125,52.290000915527344
2026-01-08,2026-01-08,SOXL,2.0,1.0,0.0,25781211.052391734,25781211.052391734,49.650001525878906,49.650001525878906
2026-01-09,2026-01-14,SOXL,2.0,2.0,5.2702589251045096,30246837.817700036,31840924.487349257,53.95000076293945,55.380001068115234
2026-01-15,2026-01-15,SOXL,1.0,2.0,0.0,34945674.17136606,34945674.17136606,58.08000183105469,58.08000183105469
2026-01-16,2026-01-29,SOXL,1.0,1.0,16.00000200938787,36552163.205603965,42400510.052975334,60.75,70.47000122070312
2026-01-30,2026-01-30,SOXL,2.0,1.0,0.0,37177912.723272,37177912.723272,61.790000915527344,61.790000915527344
2026-02-02,2026-02-03,SOXL,2.0,2.0,-12.269927523088864,41281377.135395624,36216182.0803496,65.19999694824219,61.20000076293945
2026-02-04,2026-02-10,SOXL,3.0,2.0,38.92649322839539,26736061.419783168,37143472.55789469,53.189998626708984,63.34000015258789
2026-02-11,2026-02-11,SOXL,1.0,2.0,0.0,42667497.28197025,42667497.28197025,68.05000305175781,68.05000305175781
2026-02-12,2026-02-12,SOXL,2.0,1.0,0.0,39563833.83758485,39563833.83758485,63.099998474121094,63.099998474121094
2026-02-13,2026-03-02,SOXL,2.0,2.0,-7.236523949002994,41432297.524623156,38434039.391631626,64.58999633789062,62.7599983215332
2026-03-03,2026-03-05,SOXL,3.0,2.0,4.781504765553346,26994461.845969293,28285203.325569794,53.41999816894531,54.79999923706055
2026-03-06,2026-03-06,SOXL,3.0,1.0,0.0,24718583.738255512,24718583.738255512,47.88999938964844,47.88999938964844
2026-03-09,2026-03-11,SOXL,3.0,2.0,10.520993951570933,30324009.46190891,33514396.663270142,53.31999969482422,56.09000015258789
2026-03-12,2026-03-12,SOXL,3.0,1.0,0.0,30042856.458083756,30042856.458083756,50.279998779296875,50.279998779296875
2026-03-13,2026-03-13,SOXL,2.0,1.0,0.0,30305762.792795468,30305762.792795468,50.720001220703125,50.720001220703125
2026-03-16,2026-03-19,SOXL,3.0,2.0,4.258111584563595,33854975.5181647,35296558.15265484,53.689998626708984,54.849998474121094
2026-03-20,2026-03-20,SOXL,3.0,1.0,0.0,32909134.231518924,32909134.231518924,51.13999938964844,51.13999938964844
2026-03-23,2026-03-25,SOXL,3.0,2.0,15.39899875467916,35341603.7017481,40783856.815663934,53.029998779296875,57.040000915527344
2026-03-26,2026-03-31,SOXL,3.0,1.0,-2.1645933160460706,35013770.792285755,34255865.05002025,48.970001220703125,47.90999984741211
2026-04-01,2026-04-07,SOXL,3.0,2.0,16.805602812863807,40476401.93884827,47278705.28162941,52.2599983215332,56.54999923706055
2026-04-08,2026-04-10,SOXL,2.0,2.0,27.15400171554334,65588231.92669261,83398061.54926127,67.5,76.38999938964844
2026-04-13,2026-04-13,SOXL,1.0,2.0,0.0,92503173.91299129,92503173.91299129,80.55999755859375,80.55999755859375
2026-04-14,2026-04-27,SOXL,1.0,1.0,44.637208909659186,97957370.65334156,141682806.83428282,85.30999755859375,123.38999938964844
2026-04-28,2026-04-28,SOXL,2.0,1.0,0.0,125802480.32776137,125802480.32776137,109.55999755859375,109.55999755859375
2026-04-29,2026-04-29,SOXL,2.0,2.0,0.0,145116086.45837647,145116086.45837647,117.97000122070312,117.97000122070312
2026-04-30,2026-04-30,SOXL,1.0,2.0,0.0,167282675.1752022,167282675.1752022,126.9800033569336,126.9800033569336
2026-05-01,2026-05-06,SOXL,1.0,1.0,27.185593455757797,171788149.6704405,218489777.64501518,130.39999389648438,165.85000610351562
2026-05-07,2026-05-07,SOXL,2.0,1.0,0.0,200375612.24218813,200375612.24218813,152.10000610351562,152.10000610351562
2026-05-08,2026-05-08,SOXL,1.0,2.0,0.0,265823728.9360309,265823728.9360309,176.94000244140625,176.94000244140625
2026-05-11,2026-05-11,SOXL,1.0,1.0,0.0,286075241.77029127,286075241.77029127,190.4199981689453,190.4199981689453
2026-05-12,2026-05-12,SOXL,2.0,1.0,0.0,259183396.73897132,259183396.73897132,172.52000427246094,172.52000427246094
2026-05-13,2026-05-15,SOXL,2.0,2.0,-22.026190272561596,294398208.3659104,229553498.83222264,184.24000549316406,164.17999267578125
2026-05-18,2026-05-20,SOXL,3.0,2.0,28.296064193096516,194794716.56306747,249913954.60651344,151.75,173.1999969482422
