rank_drawdown_first,variant,cash_mode,cash_sma,exit_buffer_pct,reentry_buffer_pct,dca_start_below_sma_pct,dca_max_below_sma_pct,dca_entry_exposure,dca_max_exposure,dca_filter,recover_buffer_pct,max_dca_days,normal_exposure,trade_events,2010_return_pct,2010_cagr_pct,2010_max_drawdown_pct,2010_calmar,2010_sharpe,2010_2022_return_pct,2010_2022_drawdown_pct,2010_cash_days_pct,2010_deep_dca_days_pct,2010_avg_exposure,2020_return_pct,2020_cagr_pct,2020_max_drawdown_pct,2020_calmar,2020_sharpe,2020_2022_return_pct,2020_2022_drawdown_pct,2020_cash_days_pct,2020_deep_dca_days_pct,2020_avg_exposure
246,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.67->1.50; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,200,0.0,1.0,20.0,50.0,0.67,1.5,none,5.0,63,1.0,155,531529.53,71.58,-73.51,0.974,1.14,-62.74,-73.18,11.91,8.68,0.878,19532.29,128.63,-73.51,1.75,1.39,-62.74,-73.18,4.42,15.94,0.963
247,selected_or_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 0.67->2.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,150,0.0,1.0,25.0,50.0,0.67,2.0,none,5.0,63,1.0,142,523966.68,71.42,-73.52,0.971,1.12,-60.87,-73.19,13.36,6.9,0.88,25466.27,138.29,-73.52,1.881,1.4,-60.87,-73.19,6.72,14.13,0.973
248,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 0.50->2.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_or_qqq,200,0.0,1.0,25.0,50.0,0.5,2.0,none,5.0,20,1.0,149,761918.63,75.51,-73.96,1.021,1.16,-38.87,-73.63,13.73,6.85,0.869,40200.88,155.89,-73.96,2.108,1.48,-38.87,-73.63,6.29,14.07,0.961
249,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->1.50; filter=none; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,1.0,1.5,none,5.0,63,1.0,167,510094.54,71.13,-74.02,0.961,1.13,-69.74,-73.7,16.86,8.73,0.847,7925.94,98.74,-74.02,1.334,1.22,-69.74,-73.7,8.72,16.06,0.949
250,selected_or_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->1.50; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,150,0.0,1.0,20.0,50.0,1.0,1.5,none,5.0,63,1.0,162,639639.92,73.59,-74.11,0.993,1.14,-69.8,-73.79,11.66,8.6,0.899,16858.49,123.45,-74.11,1.666,1.34,-69.8,-73.79,5.11,15.75,0.985
251,selected_or_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->1.50; filter=none; recover=5%; maxDays=20; normal=1.00,selected_or_qqq,150,0.0,1.0,25.0,50.0,1.0,1.5,none,5.0,20,1.0,154,358425.64,67.37,-74.14,0.909,1.1,-67.94,-73.83,13.51,6.75,0.878,16742.39,123.21,-74.14,1.662,1.35,-67.94,-73.83,7.04,13.82,0.961
252,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 0.50->2.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,200,0.0,1.0,25.0,50.0,0.5,2.0,none,5.0,63,1.0,135,479404.8,70.46,-74.74,0.943,1.11,-62.14,-74.43,13.56,7.03,0.87,24861.7,137.4,-74.74,1.838,1.4,-62.14,-74.43,5.92,14.45,0.965
253,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 0.67->1.50; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,200,0.0,1.0,25.0,50.0,0.67,1.5,none,5.0,63,1.0,135,311253.69,65.89,-74.97,0.879,1.1,-68.55,-74.66,13.56,7.03,0.864,16139.8,121.94,-74.97,1.627,1.36,-68.55,-74.66,5.92,14.45,0.947
254,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->1.50; filter=none; recover=5%; maxDays=20; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,1.0,1.5,none,5.0,20,1.0,185,477161.31,70.41,-75.32,0.935,1.13,-72.81,-75.01,17.06,8.53,0.844,6680.45,93.56,-75.32,1.242,1.19,-72.81,-75.01,9.15,15.63,0.944
255,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_and_qqq,200,0.0,1.0,25.0,50.0,1.0,2.0,none,5.0,20,1.0,157,470000.34,70.25,-75.36,0.932,1.1,-60.16,-75.05,18.73,6.85,0.839,11893.66,111.65,-75.36,1.482,1.26,-60.16,-75.05,10.71,14.07,0.956
