date,equity,exposure,cash,allocation_signal,SOXL_close,TQQQ_close,QQQ_close
2010-06-25,1.0,0.0,False,TQQQ,0.5159578323364258,0.21895731985569,39.486595153808594
2010-06-28,0.9940002213151687,0.67,False,TQQQ,0.522022008895874,0.21699658036231995,39.34706115722656
2010-06-29,0.9196827898336567,0.67,False,TQQQ,0.4509137272834778,0.1927817016839981,37.829341888427734
2010-06-30,0.8742312403690724,1.0,False,SOXL,0.429080605506897,0.18325425684452057,37.253665924072266
2010-07-01,0.8765074916388731,0.67,False,TQQQ,0.4307480752468109,0.18146786093711853,37.148990631103516
2010-07-02,0.8732948040614216,0.67,False,TQQQ,0.4254416525363922,0.180475115776062,37.044342041015625
2010-07-06,0.8763526921653109,0.67,False,TQQQ,0.42468300461769104,0.181418314576149,37.157711029052734
2010-07-07,0.9318377366189804,0.67,False,TQQQ,0.4913957118988037,0.19856196641921997,38.34396743774414
2010-07-08,0.9423704737866272,0.67,False,TQQQ,0.4877569377422333,0.2019117921590805,38.553314208984375
2010-07-09,0.9600614595688112,0.67,False,TQQQ,0.5045865178108215,0.2075691968202591,38.919647216796875
2010-07-12,0.9673659656383469,0.67,False,TQQQ,0.5238415002822876,0.2099263072013855,39.033058166503906
2010-07-13,0.9895039079503318,0.67,False,TQQQ,0.5575008392333984,0.21709662675857544,39.5389518737793
2010-07-14,1.0001089904546208,0.67,False,TQQQ,0.5523464679718018,0.22056938707828522,39.73956298828125
2010-07-15,1.0024475660449967,0.67,False,TQQQ,0.5452196002006531,0.2213391810655594,39.774452209472656
2010-07-16,0.9483911639644269,0.67,False,TQQQ,0.4933661222457886,0.2035248726606369,38.67543029785156
2010-07-19,0.9697808438031174,1.0,False,TQQQ,0.5306642651557922,0.2081151008605957,39.00687789916992
2010-07-20,1.0004186811459241,1.0,False,TQQQ,0.5321808457374573,0.21468998491764069,39.47791290283203
2010-07-21,0.965385837276831,1.0,False,TQQQ,0.49988609552383423,0.20717193186283112,38.937110900878906
2010-07-22,1.0304748458499648,1.0,False,TQQQ,0.5456746220588684,0.2211400419473648,39.922733306884766
2010-07-23,1.0572990715577815,1.0,False,TQQQ,0.5561362504959106,0.2268965244293213,40.17569351196289
2010-07-26,1.0805360498185483,1.0,False,TQQQ,0.5761498808860779,0.2318831831216812,40.50715637207031
2010-07-27,1.0803813618370501,0.67,False,TQQQ,0.5643235445022583,0.23183363676071167,40.48969268798828
2010-07-28,1.0655849363280088,0.67,False,TQQQ,0.5350618958473206,0.22709469497203827,40.1669807434082
2010-07-29,1.0485810135768208,0.67,False,TQQQ,0.5026153922080994,0.221685990691185,39.87039566040039
2010-07-30,1.0533787376324302,0.67,False,TQQQ,0.48684725165367126,0.22319988906383514,39.957611083984375
2010-08-02,1.0913495072464579,0.67,False,TQQQ,0.512622058391571,0.23520825803279877,40.70775604248047
2010-08-03,1.083790771167773,0.67,False,TQQQ,0.4971568286418915,0.23277682065963745,40.533302307128906
2010-08-04,1.1047646321681817,0.67,False,TQQQ,0.5117122530937195,0.23950035870075226,40.943267822265625
2010-08-05,1.1003949334486598,0.67,False,TQQQ,0.49943116307258606,0.23808647692203522,40.84733200073242
2010-08-06,1.09693718431983,0.67,False,TQQQ,0.5000379681587219,0.23696985840797424,40.786258697509766
2010-08-09,1.109788114918844,0.67,False,TQQQ,0.5082253813743591,0.24111339449882507,41.065372467041016
2010-08-10,1.0940249113216667,0.67,False,TQQQ,0.4692588448524475,0.2360018640756607,40.70775604248047
2010-08-11,1.0336886546534714,0.67,False,TQQQ,0.41270577907562256,0.216575488448143,39.60000991821289
2010-08-12,1.0045538977517716,1.0,False,TQQQ,0.39617910981178284,0.2104712575674057,39.286006927490234
