variant,total_return,excess_vs_spmo,cagr,max_drawdown,sharpe,buy_trades,sell_trades,final_holdings
126 raw + SMA50 topN,4.516258489874461,2.491333301323231,0.32951149753746845,-0.6358147730245782,0.7730733328833207,174,173,SNDK
126 raw + SPY SMA200,4.109930291308166,2.0850051027569365,0.3126532914773448,-0.6074203052228192,0.7571601715582398,159,158,SNDK
126 raw baseline,3.958819981606057,1.9338947930548271,0.30609802129655583,-0.6766519474326959,0.735775853824535,170,169,SNDK
126 raw + SMA50 topN + SPY SMA200,3.691390980036391,1.666465791485161,0.2940773543582318,-0.6353549382740277,0.7418204057258302,162,161,SNDK
126 skip21,3.5585428504041845,1.5336176618529547,0.28789230606033156,-0.5723377392797424,0.717011940100151,212,211,SNDK
252 skip21,2.494080757750763,0.46915556919953305,0.232019307957821,-0.4912154654123482,0.6489691857865104,138,137,LITE
126 skip21 + SMA50 topN,2.1962887029019096,0.17136351435067976,0.21385070425346298,-0.6784766335087469,0.6314127471313193,189,188,SNDK
126 raw + SMA100 topN,2.1266519077568127,0.10172671920558285,0.20939946328255732,-0.669058629240695,0.6196347072338533,175,174,SNDK
252 risk-adjusted skip21,0.4866033140951036,-1.5383218744561262,0.06836300199051548,-0.6602438300918163,0.38237469950179653,179,178,WDC
252 skip21 + SMA50 topN,0.2643783856821553,-1.7605468028690745,0.03989895147490219,-0.5072610705595555,0.31274347901755767,129,128,LITE
252 risk-adjusted skip21 + SMA50 topN,0.15531715145866398,-1.8696080370925658,0.024371203008782816,-0.5446083692691109,0.2610332795794366,169,168,WDC
252 risk-adjusted skip21 + SMA50 topN + SPY SMA200,-0.1798757700881216,-2.2048009586393515,-0.032531628247774225,-0.6509658460435593,0.10405273214569004,133,132,WDC
126 risk-adjusted + SMA50 topN,-0.8347845862921977,-2.8597097748434273,-0.2593963807530413,-0.8924263471345174,-0.3544013201197689,299,298,SNDK
126 risk-adjusted,-0.8996784891950477,-2.9246036777462776,-0.3185222494487824,-0.9359204682026973,-0.5029228612599523,305,304,SNDK
