period,signal_date,trade_date,action,ticker,price,old_weight,new_weight,score,rank,equity_before_trade
2020,2019-12-31,2020-01-02,BUY,DXCM,54.63999938964844,0.0,0.5,0.5604448439339165,1,1.0
2020,2019-12-31,2020-01-02,BUY,PODD,171.24000549316406,0.0,0.5,0.5591939490124547,2,1.0
2020,2020-01-31,2020-02-03,SELL,DXCM,60.2599983215332,0.5,0.0,,,1.1219677059247906
2020,2020-01-31,2020-02-03,SELL,PODD,195.25,0.5,0.0,,,1.1219677059247906
2020,2020-01-31,2020-02-03,BUY,TSLA,44.91266632080078,0.0,0.5,0.7888817113529452,1,1.1219677059247906
2020,2020-01-31,2020-02-03,BUY,TGT,92.98396093863911,0.0,0.5,0.5729962866537706,2,1.1219677059247906
2020,2020-02-28,2020-03-02,SELL,TGT,86.98388863415408,0.5,0.0,,,1.1374498989458526
2020,2020-02-28,2020-03-02,BUY,GE,54.262306213378906,0.0,0.5,0.6329643331418235,2,1.1374498989458526
2020,2020-03-31,2020-04-01,SELL,GE,36.4369118768414,0.5,0.0,,,0.7925504928467683
2020,2020-03-31,2020-04-01,BUY,DXCM,63.87749862670898,0.0,0.5,0.9145671433214735,2,0.7925504928467683
2020,2020-04-30,2020-05-01,SELL,DXCM,82.75,0.5,0.0,,,1.116744579507101
2020,2020-04-30,2020-05-01,SELL,TSLA,50.33333206176758,0.5,0.0,,,1.116744579507101
2020,2020-04-30,2020-05-01,BUY,PCG,10.202105005373804,0.0,0.5,0.7872763463458776,1,1.116744579507101
2020,2020-04-30,2020-05-01,BUY,MRNA,48.709999084472656,0.0,0.5,0.7628017166811505,2,1.116744579507101
2020,2020-05-29,2020-06-01,SELL,PCG,11.355386936379867,0.5,0.0,,,1.3720113641383773
2020,2020-05-29,2020-06-01,BUY,TSLA,57.20000076293945,0.0,0.5,1.4337529042314907,1,1.3720113641383773
2020,2020-07-31,2020-08-03,SELL,TSLA,96.61333465576172,0.5,0.0,,,2.023129746268872
2020,2020-07-31,2020-08-03,BUY,DDOG,95.81999969482422,0.0,0.5,0.9342133526129233,2,2.023129746268872
2020,2020-08-31,2020-09-01,SELL,DDOG,83.98999786376953,0.5,0.0,,,1.7551994131107234
