universe,top_n,strategy,membership_filter,strategy_return,max_drawdown,trade_count,buy_count,sell_count,rebalance_count,skipped_not_yet_index,membership_violations,final_holdings,spmo_return,vgt_return,excess_vs_spmo,excess_vs_vgt
S&P 500,1,S&P 500 Top1 PIT membership,Date added,14.642125308334291,-0.538477426672122,87,44,43,77,109,0,SNDK,2.6477046396962076,2.8060613344884273,11.994420668638083,11.836063973845864
S&P 500,2,S&P 500 Top2 PIT membership,Date added,5.998249149988408,-0.4911551466584142,176,89,87,77,173,0,"SNDK, LITE",2.6477046396962076,2.8060613344884273,3.3505445102922002,3.1921878154999805
S&P 500,3,S&P 500 Top3 PIT membership,Date added,5.284298964846855,-0.4623320024751386,261,132,129,77,222,0,"SNDK, LITE, WDC",2.6477046396962076,2.8060613344884273,2.636594325150647,2.4782376303584273
Nasdaq-100,1,Nasdaq-100 Top1 current constituents,Not available/current constituents,36.068504466221526,-0.6735613409514634,77,39,38,77,0,N/A,SNDK,2.6477046396962076,2.8060613344884273,33.42079982652532,33.2624431317331
Nasdaq-100,2,Nasdaq-100 Top2 current constituents,Not available/current constituents,69.82732737393131,-0.527894337453052,138,70,68,77,0,N/A,"SNDK, WDC",2.6477046396962076,2.8060613344884273,67.17962273423511,67.02126603944288
Nasdaq-100,3,Nasdaq-100 Top3 current constituents,Not available/current constituents,133.31007454540338,-0.4548696830050176,205,104,101,77,0,N/A,"SNDK, WDC, STX",2.6477046396962076,2.8060613344884273,130.66236990570718,130.50401321091496
