universe,top_n,strategy_return,max_drawdown,trades,spmo_return,vgt_return,excess_vs_spmo,excess_vs_vgt,final_holdings
S&P 500,1,199.98495403115476,-0.6036179567076585,81,2.6477057009748766,2.806060846798981,197.33724833017988,197.1788931843558,SNDK
S&P 500,2,215.82264520403876,-0.5441784325720387,140,2.6477057009748766,2.806060846798981,213.17493950306388,213.0165843572398,"SNDK, LITE"
S&P 500,3,104.95252865493707,-0.5185920198825744,231,2.6477057009748766,2.806060846798981,102.30482295396219,102.14646780813808,"SNDK, LITE, WDC"
Nasdaq-100,1,36.06850446622161,-0.6735613409514631,77,2.6477057009748766,2.806060846798981,33.42079876524674,33.26244361942263,SNDK
Nasdaq-100,2,69.8273273739316,-0.5278943374530513,138,2.6477057009748766,2.806060846798981,67.17962167295671,67.02126652713261,"SNDK, WDC"
Nasdaq-100,3,133.3100745454035,-0.45486968300501784,205,2.6477057009748766,2.806060846798981,130.6623688444286,130.50401369860452,"SNDK, WDC, STX"
