variant,unit_exposure,max_exposure,anchor_mode,add1_drop_pct,add2_drop_pct,sell_mode,sell_param_pct,max_extra_days,trend_guard_sma,trend_guard_exposure,equity_dd_guard_pct,equity_dd_guard_exposure,is_range,is_return_pct,is_max_drawdown_pct,is_sharpe,oos_range,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,trade_events,rotation_resets
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=rebound_from_low 5%, max_days=20, trend_sma=200, trend_exp=0.75, dd_guard=none, dd_exp=none",0.33,0.67,entry,5.0,12.0,rebound_from_low,5.0,20,200,0.75,none,none,2010-06-25 to 2019-12-31,709.04,-24.08,1.162,2020-01-02 to 2026-05-20,639.09,-39.64,1.144,6002.62,-39.64,1.132,0.342,0.0,146,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=rebound_from_low 5%, max_days=20, trend_sma=none, trend_exp=none, dd_guard=0.35, dd_exp=0.5",0.33,0.67,entry,5.0,12.0,rebound_from_low,5.0,20,none,none,35.0,0.5,2010-06-25 to 2019-12-31,709.04,-24.08,1.162,2020-01-02 to 2026-05-20,633.93,-38.65,1.146,5960.04,-38.65,1.133,0.342,0.0,146,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=rebound_from_low 5%, max_days=20, trend_sma=none, trend_exp=none, dd_guard=0.45, dd_exp=0.5",0.33,0.67,entry,5.0,12.0,rebound_from_low,5.0,20,none,none,45.0,0.5,2010-06-25 to 2019-12-31,709.04,-24.08,1.162,2020-01-02 to 2026-05-20,639.09,-39.64,1.144,6002.62,-39.64,1.132,0.342,0.0,146,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=rebound_from_low 5%, max_days=20, trend_sma=100, trend_exp=0.5, dd_guard=0.35, dd_exp=0.25",0.33,0.67,entry,5.0,12.0,rebound_from_low,5.0,20,100,0.5,35.0,0.25,2010-06-25 to 2019-12-31,655.5,-23.38,1.168,2020-01-02 to 2026-05-20,659.99,-37.68,1.203,5759.9,-37.68,1.165,0.336,0.0,146,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=10, trend_sma=none, trend_exp=none, dd_guard=none, dd_exp=none",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,10,none,none,none,none,2010-06-25 to 2019-12-31,713.29,-24.08,1.177,2020-01-02 to 2026-05-20,629.66,-39.83,1.138,5956.37,-39.83,1.134,0.34,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=10, trend_sma=100, trend_exp=0.25, dd_guard=none, dd_exp=none",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,10,100,0.25,none,none,2010-06-25 to 2019-12-31,736.42,-18.16,1.371,2020-01-02 to 2026-05-20,1042.76,-25.56,1.585,9655.08,-25.56,1.452,0.313,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=10, trend_sma=100, trend_exp=0.5, dd_guard=none, dd_exp=none",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,10,100,0.5,none,none,2010-06-25 to 2019-12-31,634.63,-23.38,1.161,2020-01-02 to 2026-05-20,712.76,-36.13,1.229,5993.66,-36.13,1.173,0.336,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=10, trend_sma=200, trend_exp=0.5, dd_guard=none, dd_exp=none",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,10,200,0.5,none,none,2010-06-25 to 2019-12-31,658.28,-23.38,1.175,2020-01-02 to 2026-05-20,701.56,-36.13,1.22,6103.14,-36.13,1.175,0.337,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=10, trend_sma=200, trend_exp=0.75, dd_guard=none, dd_exp=none",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,10,200,0.75,none,none,2010-06-25 to 2019-12-31,713.29,-24.08,1.177,2020-01-02 to 2026-05-20,629.66,-39.83,1.138,5956.37,-39.83,1.134,0.34,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=10, trend_sma=none, trend_exp=none, dd_guard=0.35, dd_exp=0.5",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,10,none,none,35.0,0.5,2010-06-25 to 2019-12-31,713.29,-24.08,1.177,2020-01-02 to 2026-05-20,625.09,-38.79,1.139,5918.4,-38.79,1.135,0.34,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=10, trend_sma=none, trend_exp=none, dd_guard=0.45, dd_exp=0.5",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,10,none,none,45.0,0.5,2010-06-25 to 2019-12-31,713.29,-24.08,1.177,2020-01-02 to 2026-05-20,629.66,-39.83,1.138,5956.37,-39.83,1.134,0.34,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=10, trend_sma=100, trend_exp=0.5, dd_guard=0.35, dd_exp=0.25",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,10,100,0.5,35.0,0.25,2010-06-25 to 2019-12-31,634.63,-23.38,1.161,2020-01-02 to 2026-05-20,649.89,-37.68,1.197,5522.23,-37.68,1.157,0.335,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=20, trend_sma=none, trend_exp=none, dd_guard=none, dd_exp=none",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,20,none,none,none,none,2010-06-25 to 2019-12-31,713.29,-24.08,1.177,2020-01-02 to 2026-05-20,629.66,-39.83,1.138,5956.37,-39.83,1.134,0.34,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=20, trend_sma=100, trend_exp=0.25, dd_guard=none, dd_exp=none",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,20,100,0.25,none,none,2010-06-25 to 2019-12-31,736.42,-18.16,1.371,2020-01-02 to 2026-05-20,1042.76,-25.56,1.585,9655.08,-25.56,1.452,0.313,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=20, trend_sma=100, trend_exp=0.5, dd_guard=none, dd_exp=none",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,20,100,0.5,none,none,2010-06-25 to 2019-12-31,634.63,-23.38,1.161,2020-01-02 to 2026-05-20,712.76,-36.13,1.229,5993.66,-36.13,1.173,0.336,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=20, trend_sma=200, trend_exp=0.5, dd_guard=none, dd_exp=none",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,20,200,0.5,none,none,2010-06-25 to 2019-12-31,658.28,-23.38,1.175,2020-01-02 to 2026-05-20,701.56,-36.13,1.22,6103.14,-36.13,1.175,0.337,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=20, trend_sma=200, trend_exp=0.75, dd_guard=none, dd_exp=none",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,20,200,0.75,none,none,2010-06-25 to 2019-12-31,713.29,-24.08,1.177,2020-01-02 to 2026-05-20,629.66,-39.83,1.138,5956.37,-39.83,1.134,0.34,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=20, trend_sma=none, trend_exp=none, dd_guard=0.35, dd_exp=0.5",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,20,none,none,35.0,0.5,2010-06-25 to 2019-12-31,713.29,-24.08,1.177,2020-01-02 to 2026-05-20,625.09,-38.79,1.139,5918.4,-38.79,1.135,0.34,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=20, trend_sma=none, trend_exp=none, dd_guard=0.45, dd_exp=0.5",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,20,none,none,45.0,0.5,2010-06-25 to 2019-12-31,713.29,-24.08,1.177,2020-01-02 to 2026-05-20,629.66,-39.83,1.138,5956.37,-39.83,1.134,0.34,0.0,134,123
"unit=0.33, cap=0.67, anchor=entry, add=5%/12%, sell=recover_to_anchor 5%, max_days=20, trend_sma=100, trend_exp=0.5, dd_guard=0.35, dd_exp=0.25",0.33,0.67,entry,5.0,12.0,recover_to_anchor,5.0,20,100,0.5,35.0,0.25,2010-06-25 to 2019-12-31,634.63,-23.38,1.161,2020-01-02 to 2026-05-20,649.89,-37.68,1.197,5522.23,-37.68,1.157,0.335,0.0,134,123
