variant,unit_exposure,max_exposure,anchor_mode,add1_drop,add2_drop,sell_mode,sell_param,max_extra_days,trend_guard_sma,trend_guard_exposure,equity_dd_guard,equity_dd_guard_exposure,equity_dd_guard_pct,is_range,is_return_pct,is_max_drawdown_pct,is_sharpe,oos_range,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,trade_events,rotation_resets
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,75,0.2,,none,none,2010-06-25 to 2019-12-31,1266323.58,-28.55,2.349,2020-01-02 to 2026-05-20,1245502.31,-34.16,2.493,16955197250.88,-34.16,2.383,0.795,46.67,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,75,0.2,0.35,0.25,35.0,2010-06-25 to 2019-12-31,1266323.58,-28.55,2.349,2020-01-02 to 2026-05-20,1245502.31,-34.16,2.493,16955197250.88,-34.16,2.383,0.795,46.67,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,75,0.2,0.45,0.25,45.0,2010-06-25 to 2019-12-31,1266323.58,-28.55,2.349,2020-01-02 to 2026-05-20,1245502.31,-34.16,2.493,16955197250.88,-34.16,2.383,0.795,46.67,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,75,0.25,,none,none,2010-06-25 to 2019-12-31,1031268.97,-28.55,2.288,2020-01-02 to 2026-05-20,1058540.55,-35.03,2.439,11735647011.1,-35.03,2.326,0.808,46.67,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.25, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,75,0.25,0.35,0.25,35.0,2010-06-25 to 2019-12-31,1031268.97,-28.55,2.288,2020-01-02 to 2026-05-20,1058540.55,-35.03,2.439,11735647011.1,-35.03,2.326,0.808,46.67,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.25, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,75,0.25,0.45,0.25,45.0,2010-06-25 to 2019-12-31,1031268.97,-28.55,2.288,2020-01-02 to 2026-05-20,1058540.55,-35.03,2.439,11735647011.1,-35.03,2.326,0.808,46.67,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.1, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.1,,none,none,2010-06-25 to 2019-12-31,492793.19,-41.98,2.048,2020-01-02 to 2026-05-20,858017.69,-40.58,2.334,4546153695.5,-41.98,2.157,0.8,49.2,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.1, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.1,0.35,0.25,35.0,2010-06-25 to 2019-12-31,245377.68,-40.18,1.954,2020-01-02 to 2026-05-20,359287.77,-40.58,2.182,948243155.44,-40.58,2.036,0.768,46.52,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.1, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.1,0.45,0.25,45.0,2010-06-25 to 2019-12-31,492793.19,-41.98,2.048,2020-01-02 to 2026-05-20,858017.69,-40.58,2.334,4546153695.5,-41.98,2.157,0.8,49.2,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.2,,none,none,2010-06-25 to 2019-12-31,371791.91,-43.18,1.976,2020-01-02 to 2026-05-20,662492.62,-41.63,2.259,2648547500.07,-43.18,2.085,0.824,49.2,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.2,0.35,0.25,35.0,2010-06-25 to 2019-12-31,190316.76,-41.41,1.886,2020-01-02 to 2026-05-20,164316.39,-44.65,2.019,336507393.36,-44.65,1.926,0.766,44.0,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.2,0.45,0.25,45.0,2010-06-25 to 2019-12-31,371791.91,-43.18,1.976,2020-01-02 to 2026-05-20,662492.62,-41.63,2.259,2648547500.07,-43.18,2.085,0.824,49.2,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.25,,none,none,2010-06-25 to 2019-12-31,321352.77,-43.78,1.936,2020-01-02 to 2026-05-20,576768.48,-43.2,2.217,1993142816.2,-43.78,2.045,0.836,49.2,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.25, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.25,0.35,0.25,35.0,2010-06-25 to 2019-12-31,166795.96,-42.03,1.848,2020-01-02 to 2026-05-20,9894.29,-47.96,1.493,17928325.79,-47.96,1.684,0.735,40.42,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.25, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.25,0.45,0.25,45.0,2010-06-25 to 2019-12-31,321352.77,-43.78,1.936,2020-01-02 to 2026-05-20,576768.48,-43.2,2.217,1993142816.2,-43.78,2.045,0.836,49.2,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.33, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.33,,none,none,2010-06-25 to 2019-12-31,252754.66,-44.72,1.869,2020-01-02 to 2026-05-20,456153.52,-47.31,2.143,1239999776.33,-47.31,1.975,0.855,49.2,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.33, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.33,0.35,0.25,35.0,2010-06-25 to 2019-12-31,134567.75,-42.03,1.785,2020-01-02 to 2026-05-20,38553.33,-47.96,1.741,55949238.74,-47.96,1.753,0.763,41.85,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.33, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.33,0.45,0.25,45.0,2010-06-25 to 2019-12-31,252754.66,-44.72,1.869,2020-01-02 to 2026-05-20,417159.6,-47.21,2.126,1134022600.54,-47.21,1.967,0.854,49.2,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=125, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,125,0.25,,none,none,2010-06-25 to 2019-12-31,298891.12,-42.5,1.89,2020-01-02 to 2026-05-20,201007.35,-46.41,1.958,646294749.03,-46.41,1.895,0.855,50.88,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=125, trend_exp=0.25, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,125,0.25,0.35,0.25,35.0,2010-06-25 to 2019-12-31,65308.81,-42.93,1.652,2020-01-02 to 2026-05-20,3644.87,-47.96,1.244,2632696.13,-47.96,1.464,0.725,39.57,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=125, trend_exp=0.25, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,125,0.25,0.45,0.25,45.0,2010-06-25 to 2019-12-31,298891.12,-42.5,1.89,2020-01-02 to 2026-05-20,162720.3,-46.41,1.917,523252394.36,-46.41,1.876,0.854,50.8,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=150, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,150,0.25,,none,none,2010-06-25 to 2019-12-31,235531.75,-45.77,1.79,2020-01-02 to 2026-05-20,103294.17,-54.56,1.782,261863019.52,-54.56,1.761,0.877,52.6,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=150, trend_exp=0.25, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,150,0.25,0.35,0.25,35.0,2010-06-25 to 2019-12-31,37928.43,-48.53,1.552,2020-01-02 to 2026-05-20,5329.0,-47.96,1.29,2218980.5,-48.53,1.417,0.73,40.1,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=150, trend_exp=0.25, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,150,0.25,0.45,0.25,45.0,2010-06-25 to 2019-12-31,25912.51,-51.91,1.445,2020-01-02 to 2026-05-20,4483.73,-60.58,1.277,1281479.58,-60.58,1.365,0.657,33.23,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=200, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,200,0.25,,none,none,2010-06-25 to 2019-12-31,60094.29,-45.77,1.502,2020-01-02 to 2026-05-20,80791.79,-54.56,1.727,52336345.67,-54.56,1.592,0.888,53.47,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=200, trend_exp=0.25, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,200,0.25,0.35,0.25,35.0,2010-06-25 to 2019-12-31,6659.75,-48.53,1.236,2020-01-02 to 2026-05-20,276.19,-57.03,0.672,27232.54,-57.03,1.001,0.567,25.5,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=200, trend_exp=0.25, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,200,0.25,0.45,0.25,45.0,2010-06-25 to 2019-12-31,13690.27,-51.91,1.298,2020-01-02 to 2026-05-20,3604.32,-60.58,1.217,548967.03,-60.58,1.259,0.658,33.35,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=75, trend_exp=0.2, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,75,0.2,,none,none,2010-06-25 to 2019-12-31,1540268.89,-28.5,2.374,2020-01-02 to 2026-05-20,1471156.27,-32.86,2.517,24358891460.7,-32.86,2.407,0.809,48.8,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=75, trend_exp=0.2, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,75,0.2,0.35,0.25,35.0,2010-06-25 to 2019-12-31,1540268.89,-28.5,2.374,2020-01-02 to 2026-05-20,1471156.27,-32.86,2.517,24358891460.7,-32.86,2.407,0.809,48.8,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=75, trend_exp=0.2, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,75,0.2,0.45,0.25,45.0,2010-06-25 to 2019-12-31,1540268.89,-28.5,2.374,2020-01-02 to 2026-05-20,1471156.27,-32.86,2.517,24358891460.7,-32.86,2.407,0.809,48.8,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=75, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,75,0.25,,none,none,2010-06-25 to 2019-12-31,1254368.66,-28.5,2.314,2020-01-02 to 2026-05-20,1250324.42,-33.75,2.462,16860160796.87,-33.75,2.35,0.822,48.8,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=75, trend_exp=0.25, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,75,0.25,0.35,0.25,35.0,2010-06-25 to 2019-12-31,1254368.66,-28.5,2.314,2020-01-02 to 2026-05-20,1250324.42,-33.75,2.462,16860160796.87,-33.75,2.35,0.822,48.8,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=75, trend_exp=0.25, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,75,0.25,0.45,0.25,45.0,2010-06-25 to 2019-12-31,1254368.66,-28.5,2.314,2020-01-02 to 2026-05-20,1250324.42,-33.75,2.462,16860160796.87,-33.75,2.35,0.822,48.8,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=100, trend_exp=0.1, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,100,0.1,,none,none,2010-06-25 to 2019-12-31,563165.37,-40.8,2.06,2020-01-02 to 2026-05-20,1055968.6,-39.41,2.373,6393661375.13,-40.8,2.183,0.813,51.25,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=100, trend_exp=0.1, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,100,0.1,0.35,0.25,35.0,2010-06-25 to 2019-12-31,286099.2,-40.12,1.971,2020-01-02 to 2026-05-20,736593.92,-39.41,2.307,2266208846.33,-40.12,2.104,0.794,49.6,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=100, trend_exp=0.1, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,100,0.1,0.45,0.25,45.0,2010-06-25 to 2019-12-31,563165.37,-40.8,2.06,2020-01-02 to 2026-05-20,1055968.6,-39.41,2.373,6393661375.13,-40.8,2.183,0.813,51.25,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=100, trend_exp=0.2, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,100,0.2,,none,none,2010-06-25 to 2019-12-31,424888.3,-42.02,1.988,2020-01-02 to 2026-05-20,815339.73,-40.48,2.299,3724888567.95,-42.02,2.111,0.837,51.25,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=100, trend_exp=0.2, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,100,0.2,0.35,0.25,35.0,2010-06-25 to 2019-12-31,221904.39,-41.36,1.904,2020-01-02 to 2026-05-20,488178.01,-40.48,2.205,1165126701.48,-41.36,2.021,0.816,49.5,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=100, trend_exp=0.2, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,100,0.2,0.45,0.25,45.0,2010-06-25 to 2019-12-31,424888.3,-42.02,1.988,2020-01-02 to 2026-05-20,815339.73,-40.48,2.299,3724888567.95,-42.02,2.111,0.837,51.25,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=100, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,100,0.25,,none,none,2010-06-25 to 2019-12-31,367247.78,-42.63,1.949,2020-01-02 to 2026-05-20,709840.71,-42.24,2.256,2803134516.85,-42.63,2.071,0.849,51.25,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=100, trend_exp=0.25, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,100,0.25,0.35,0.25,35.0,2010-06-25 to 2019-12-31,189295.71,-41.98,1.861,2020-01-02 to 2026-05-20,83087.72,-46.28,1.907,169345450.88,-46.28,1.867,0.775,44.6,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=100, trend_exp=0.25, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,100,0.25,0.45,0.25,45.0,2010-06-25 to 2019-12-31,367247.78,-42.63,1.949,2020-01-02 to 2026-05-20,709840.71,-42.24,2.256,2803134516.85,-42.63,2.071,0.849,51.25,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=100, trend_exp=0.33, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,100,0.33,,none,none,2010-06-25 to 2019-12-31,288855.65,-43.6,1.882,2020-01-02 to 2026-05-20,561402.25,-46.42,2.182,1743922300.14,-46.42,2.001,0.868,51.25,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=100, trend_exp=0.33, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,100,0.33,0.35,0.25,35.0,2010-06-25 to 2019-12-31,152722.71,-41.98,1.799,2020-01-02 to 2026-05-20,67200.18,-46.72,1.851,110547319.18,-46.72,1.81,0.785,44.38,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=100, trend_exp=0.33, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,100,0.33,0.45,0.25,45.0,2010-06-25 to 2019-12-31,288855.65,-43.6,1.882,2020-01-02 to 2026-05-20,548085.89,-46.78,2.177,1702564123.83,-46.78,1.999,0.868,51.25,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=125, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,125,0.25,,none,none,2010-06-25 to 2019-12-31,353635.56,-41.33,1.911,2020-01-02 to 2026-05-20,238208.45,-45.35,1.988,906071710.62,-45.35,1.922,0.869,52.85,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=125, trend_exp=0.25, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,125,0.25,0.35,0.25,35.0,2010-06-25 to 2019-12-31,69868.63,-43.33,1.655,2020-01-02 to 2026-05-20,8110.29,-46.28,1.416,6174467.29,-46.28,1.54,0.745,41.77,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=125, trend_exp=0.25, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,125,0.25,0.45,0.25,45.0,2010-06-25 to 2019-12-31,353635.56,-41.33,1.911,2020-01-02 to 2026-05-20,238208.45,-45.35,1.988,906071710.62,-45.35,1.922,0.869,52.85,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=150, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,150,0.25,,none,none,2010-06-25 to 2019-12-31,269211.66,-43.71,1.804,2020-01-02 to 2026-05-20,122449.25,-53.66,1.811,354739975.64,-53.66,1.783,0.891,54.57,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=150, trend_exp=0.25, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,150,0.25,0.35,0.25,35.0,2010-06-25 to 2019-12-31,7180.06,-48.49,1.252,2020-01-02 to 2026-05-20,4113.41,-52.14,1.296,329595.94,-52.14,1.267,0.632,31.9,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=150, trend_exp=0.25, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,150,0.25,0.45,0.25,45.0,2010-06-25 to 2019-12-31,269211.66,-43.71,1.804,2020-01-02 to 2026-05-20,19703.84,-54.65,1.517,57325549.78,-54.65,1.66,0.83,49.15,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=200, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,200,0.25,,none,none,2010-06-25 to 2019-12-31,67769.83,-43.71,1.515,2020-01-02 to 2026-05-20,98132.91,-53.66,1.762,71660138.49,-53.66,1.616,0.901,55.47,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=200, trend_exp=0.25, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,200,0.25,0.35,0.25,35.0,2010-06-25 to 2019-12-31,5475.69,-48.49,1.184,2020-01-02 to 2026-05-20,2277.22,-50.66,1.13,142366.73,-50.66,1.152,0.658,34.02,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=15, trend_sma=200, trend_exp=0.25, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,15,200,0.25,0.45,0.25,45.0,2010-06-25 to 2019-12-31,67769.83,-43.71,1.515,2020-01-02 to 2026-05-20,17422.76,-54.65,1.489,12782635.09,-54.65,1.498,0.839,49.85,626,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=20, trend_sma=75, trend_exp=0.2, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,20,75,0.2,,none,none,2010-06-25 to 2019-12-31,1418869.13,-30.2,2.342,2020-01-02 to 2026-05-20,1676360.53,-34.39,2.545,25568822899.88,-34.39,2.406,0.814,49.28,559,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=20, trend_sma=75, trend_exp=0.2, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,20,75,0.2,0.35,0.25,35.0,2010-06-25 to 2019-12-31,1418869.13,-30.2,2.342,2020-01-02 to 2026-05-20,1676360.53,-34.39,2.545,25568822899.88,-34.39,2.406,0.814,49.28,559,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=20, trend_sma=75, trend_exp=0.2, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,20,75,0.2,0.45,0.25,45.0,2010-06-25 to 2019-12-31,1418869.13,-30.2,2.342,2020-01-02 to 2026-05-20,1676360.53,-34.39,2.545,25568822899.88,-34.39,2.406,0.814,49.28,559,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=20, trend_sma=75, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,20,75,0.25,,none,none,2010-06-25 to 2019-12-31,1155501.3,-30.2,2.283,2020-01-02 to 2026-05-20,1424728.04,-35.26,2.49,17697622496.96,-35.26,2.349,0.827,49.28,559,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=20, trend_sma=75, trend_exp=0.25, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,20,75,0.25,0.35,0.25,35.0,2010-06-25 to 2019-12-31,1155501.3,-30.2,2.283,2020-01-02 to 2026-05-20,1424728.04,-35.26,2.49,17697622496.96,-35.26,2.349,0.827,49.28,559,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=20, trend_sma=75, trend_exp=0.25, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,20,75,0.25,0.45,0.25,45.0,2010-06-25 to 2019-12-31,1155501.3,-30.2,2.283,2020-01-02 to 2026-05-20,1424728.04,-35.26,2.49,17697622496.96,-35.26,2.349,0.827,49.28,559,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=20, trend_sma=100, trend_exp=0.1, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,20,100,0.1,,none,none,2010-06-25 to 2019-12-31,490187.27,-41.93,2.023,2020-01-02 to 2026-05-20,1243268.4,-40.79,2.403,6552316798.45,-41.93,2.179,0.819,51.75,559,123
