Date,Close,EMA200_weekly,ATR14,Equity,InPosition
2020-12-31,273.1600036621094,189.6487966061114,6.900708879743304,1.0,0
2021-01-04,268.94000244140625,190.4797538902507,7.109994070870536,1.0,0
2021-01-05,270.9700012207031,190.4797538902507,7.004993983677456,1.0,0
2021-01-06,263.30999755859375,190.4797538902507,7.1728515625,1.0,0
2021-01-07,268.739990234375,190.4797538902507,7.383566720145089,1.0,0
2021-01-08,267.57000732421875,191.24682108859864,7.307852608816964,1.0,0
2021-01-11,256.8399963378906,191.24682108859864,7.651426042829241,1.0,0
2021-01-12,251.08999633789062,191.24682108859864,7.709284101213727,1.0,0
2021-01-13,251.63999938964844,191.24682108859864,7.465712411063058,1.0,0
2021-01-14,245.63999938964844,191.24682108859864,7.785712105887277,1.0,0
2021-01-15,251.36000061035156,191.84496217836735,8.07285635811942,1.0,0
2021-01-19,261.1000061035156,191.84496217836735,8.01571546282087,1.0,0
2021-01-20,267.4800109863281,191.84496217836735,8.372143336704799,1.0,0
2021-01-21,272.8699951171875,191.84496217836735,8.354286193847656,1.0,0
2021-01-22,274.5,192.66740036564727,8.296429225376674,1.0,0
2021-01-25,278.010009765625,192.66740036564727,8.210001264299665,1.0,0
2021-01-26,282.04998779296875,192.66740036564727,8.452145167759486,1.0,0
2021-01-27,272.1400146484375,192.66740036564727,8.764289855957031,1.0,0
2021-01-28,265.0,192.66740036564727,9.749290466308594,1.0,0
2021-01-29,258.3299865722656,193.32075943237982,10.17357417515346,1.0,0
2021-02-01,262.010009765625,193.32075943237982,10.001431056431361,1.0,0
2021-02-02,267.0799865722656,193.32075943237982,9.817145211356026,1.0,0
2021-02-03,266.6499938964844,193.32075943237982,9.8607177734375,1.0,0
2021-02-04,266.489990234375,193.32075943237982,9.413575308663505,1.0,0
2021-02-05,268.1000061035156,194.06483153856027,9.076432364327568,1.0,0
2021-02-08,266.5799865722656,194.06483153856027,8.649287632533483,1.0,0
2021-02-09,269.45001220703125,194.06483153856027,8.536431448800224,1.0,0
2021-02-10,271.8699951171875,194.06483153856027,8.533573695591517,1.0,0
2021-02-11,270.3900146484375,194.06483153856027,8.435001918247767,1.0,0
2021-02-12,270.5,194.8253804784751,8.024287632533483,1.0,0
2021-02-16,273.9700012207031,194.8253804784751,7.950716291155134,1.0,0
2021-02-17,273.57000732421875,194.8253804784751,7.169287545340402,1.0,0
2021-02-18,269.3900146484375,194.8253804784751,6.130002702985491,1.0,0
2021-02-19,261.55999755859375,195.4894065190733,6.016431535993304,1.0,0
2021-02-22,260.3299865722656,195.4894065190733,5.7507171630859375,1.0,0
2021-02-23,265.8599853515625,195.4894065190733,6.155002049037388,1.0,0
2021-02-24,264.30999755859375,195.4894065190733,6.342857360839844,1.0,0
