signal_date,execution_date,execution_type,action,symbol,units_after,price,drop_from_anchor_pct,from_symbol,to_symbol,units_before,reason
2011-08-10,2011-08-10,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.2783,-11.79,,,,
2011-08-11,2011-08-11,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3141,,,,2.0,extra shares profit >= 12%
2011-08-18,2011-08-18,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.2753,-18.05,,,,
2011-08-19,2011-08-19,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.2599,-22.64,,,,
2011-08-24,2011-08-24,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3016,,,,3.0,extra shares profit >= 12%
2011-08-24,2011-08-24,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.3016,-10.22,,,,
2011-08-30,2011-08-30,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3409,,,,2.0,extra shares profit >= 12%
2011-09-02,2011-09-02,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.3098,-9.63,,,,
2011-09-15,2011-09-15,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3608,,,,2.0,extra shares profit >= 12%
2011-09-21,2011-09-21,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.3473,-6.43,,,,
2011-09-22,2011-09-22,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.3135,-15.53,,,,
2011-10-05,2011-10-05,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.309,,,,3.0,extra shares max holding days 10
2011-10-05,2011-10-05,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.309,-16.74,,,,
2011-10-10,2011-10-10,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3509,,,,2.0,extra shares profit >= 12%
2011-10-10,2011-10-10,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.3509,-5.47,,,,
2011-10-14,2011-10-14,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3945,,,,2.0,extra shares profit >= 12%
2011-10-19,2011-10-19,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.3674,-6.87,,,,
2011-11-02,2011-11-02,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3653,,,,2.0,extra shares max holding days 10
2011-11-02,2011-11-02,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.3653,-10.16,,,,
2011-11-16,2011-11-16,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3666,,,,2.0,extra shares max holding days 10
2011-11-16,2011-11-16,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.3666,-9.84,,,,
2011-11-17,2011-11-17,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.3413,-16.04,,,,
2011-12-01,2011-12-01,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3546,,,,3.0,extra shares max holding days 10
2011-12-01,2011-12-01,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.3546,-12.77,,,,
2011-12-08,2011-12-08,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.3422,-15.83,,,,
2011-12-15,2011-12-15,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3169,,,,3.0,extra shares max holding days 10
2011-12-15,2011-12-15,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.3169,-22.06,,,,
2011-12-16,2011-12-16,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.3209,-21.08,,,,
2011-12-30,2011-12-30,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3374,,,,3.0,extra shares max holding days 10
2011-12-30,2011-12-30,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.3374,-17.01,,,,
2012-01-10,2012-01-10,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.378,,,,2.0,extra shares profit >= 12%
2012-01-10,2012-01-10,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.378,-7.02,,,,
2012-01-25,2012-01-25,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.4262,,,,2.0,extra shares max holding days 10
2012-03-06,2012-03-06,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.4941,-6.18,,,,
2012-03-13,2012-03-13,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.5583,,,,2.0,extra shares profit >= 12%
2012-04-10,2012-04-10,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5557,-9.18,,,,
2012-04-24,2012-04-24,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.5191,,,,2.0,extra shares max holding days 10
2012-04-24,2012-04-24,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5191,-15.15,,,,
2012-05-04,2012-05-04,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.5164,-15.6,,,,
2012-05-08,2012-05-08,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.5114,,,,3.0,extra shares max holding days 10
2012-05-08,2012-05-08,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5114,-16.42,,,,
2012-05-09,2012-05-09,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.5086,-16.88,,,,
2012-05-22,2012-05-22,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.4614,,,,3.0,extra shares max holding days 10
2012-05-22,2012-05-22,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.4614,-24.59,,,,
2012-05-23,2012-05-23,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.464,-24.17,,,,
2012-06-06,2012-06-06,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.4607,,,,3.0,extra shares max holding days 10
2012-06-06,2012-06-06,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.4607,-24.7,,,,
2012-06-07,2012-06-07,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.4555,-25.55,,,,
2012-06-20,2012-06-20,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.5035,,,,3.0,extra shares max holding days 10
2012-06-20,2012-06-20,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5035,-17.71,,,,
2012-06-21,2012-06-21,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.4658,-23.88,,,,
2012-07-05,2012-07-05,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.5139,,,,3.0,extra shares max holding days 10
2012-07-05,2012-07-05,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5139,-16.01,,,,
2012-07-06,2012-07-06,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.4936,-19.32,,,,
2012-07-19,2012-07-19,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.5161,,,,3.0,extra shares max holding days 10
2012-07-19,2012-07-19,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5161,-15.65,,,,
2012-07-20,2012-07-20,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.4962,-18.9,,,,
2012-08-02,2012-08-02,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.4973,,,,3.0,extra shares max holding days 10
2012-08-02,2012-08-02,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.4973,-18.72,,,,
2012-08-13,2012-08-13,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.5601,,,,2.0,extra shares profit >= 12%
2012-08-13,2012-08-13,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5601,-8.45,,,,
2012-08-27,2012-08-27,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.595,,,,2.0,extra shares max holding days 10
2012-08-30,2012-08-30,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5769,-5.71,,,,
2012-09-14,2012-09-14,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.6396,,,,2.0,extra shares max holding days 10
2012-09-25,2012-09-25,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.6075,-6.0,,,,
2012-10-09,2012-10-09,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.5642,,,,2.0,extra shares max holding days 10
2012-10-09,2012-10-09,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5642,-12.7,,,,
2012-10-19,2012-10-19,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.5251,-18.75,,,,
2012-10-23,2012-10-23,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.5176,,,,3.0,extra shares max holding days 10
2012-10-23,2012-10-23,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5176,-19.92,,,,
2012-10-24,2012-10-24,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.5124,-20.72,,,,
2012-11-08,2012-11-08,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.4651,,,,3.0,extra shares max holding days 10
2012-11-08,2012-11-08,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.4651,-28.04,,,,
2012-11-09,2012-11-09,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.4701,-27.26,,,,
2012-11-23,2012-11-23,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.5027,,,,3.0,extra shares max holding days 10
2012-11-23,2012-11-23,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5027,-22.22,,,,
2012-11-26,2012-11-26,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.5091,-21.22,,,,
2012-12-07,2012-12-07,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.5025,,,,3.0,extra shares max holding days 10
2012-12-07,2012-12-07,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5025,-22.25,,,,
2012-12-10,2012-12-10,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.5069,-21.56,,,,
2012-12-21,2012-12-21,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.516,,,,3.0,extra shares max holding days 10
2012-12-21,2012-12-21,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.516,-20.16,,,,
2012-12-24,2012-12-24,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.5116,-20.84,,,,
2013-01-08,2013-01-08,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.5455,,,,3.0,extra shares max holding days 10
2013-01-08,2013-01-08,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5455,-15.59,,,,
2013-01-15,2013-01-15,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.5474,-15.29,,,,
2013-01-23,2013-01-23,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.5704,,,,3.0,extra shares max holding days 10
2013-01-23,2013-01-23,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.5704,-11.75,,,,
2013-01-24,2013-01-24,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.5476,-15.26,,,,
2013-02-04,2013-02-04,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,0.5076,,TQQQ,SOXL,3.0,
2013-02-20,2013-02-20,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.5443,-6.71,,,,
2013-03-06,2013-03-06,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,0.5774,,,,2.0,extra shares max holding days 10
