Date,Close,EMA200_weekly,ATR14,Equity,InPosition
2020-12-31,13.055000305175781,6.4764914927544694,0.274660587310791,1.0,0
2021-01-04,13.113499641418457,6.54194929188304,0.30987487520490375,1.0,0
2021-01-05,13.404749870300293,6.54194929188304,0.30851772853306364,1.0,0
2021-01-06,12.614500045776367,6.54194929188304,0.34719630650111605,1.0,0
2021-01-07,13.343999862670898,6.54194929188304,0.38566058022635324,1.0,0
2021-01-08,13.276749610900879,6.6089622303807305,0.3983748299734933,1.0,0
2021-01-11,13.621500015258789,6.6089622303807305,0.42335707800728933,1.0,0
2021-01-12,13.484749794006348,6.6089622303807305,0.42385707582746235,1.0,0
2021-01-13,13.531749725341797,6.6089622303807305,0.42076778411865234,1.0,0
2021-01-14,13.200249671936035,6.6089622303807305,0.43119634900774273,1.0,0
2021-01-15,12.85949993133545,6.671156635365355,0.4514106341770717,1.0,0
2021-01-19,13.025250434875488,6.671156635365355,0.44789280210222515,1.0,0
2021-01-20,13.365750312805176,6.671156635365355,0.46039274760654997,1.0,0
2021-01-21,13.867500305175781,6.671156635365355,0.49105351311819895,1.0,0
2021-01-22,13.712499618530273,6.741219749625703,0.4913571221487863,1.0,0
2021-01-25,13.653249740600586,6.741219749625703,0.48435708454677034,1.0,0
2021-01-26,13.435250282287598,6.741219749625703,0.47787496021815706,1.0,0
2021-01-27,12.917750358581543,6.741219749625703,0.46521432059151785,1.0,0
2021-01-28,13.050999641418457,6.741219749625703,0.4408392906188965,1.0,0
2021-01-29,12.989749908447266,6.803394179066714,0.44400003978184294,1.0,0
2021-02-01,13.237000465393066,6.803394179066714,0.4214106968470982,1.0,0
2021-02-02,13.556750297546387,6.803394179066714,0.4160891941615513,1.0,0
2021-02-03,13.530500411987305,6.803394179066714,0.42860705511910574,1.0,0
2021-02-04,13.664250373840332,6.803394179066714,0.42264277594430105,1.0,0
2021-02-05,13.590999603271484,6.870932541496613,0.4022678647722517,1.0,0
2021-02-08,14.438750267028809,6.870932541496613,0.44746432985578266,1.0,0
2021-02-09,14.263250350952148,6.870932541496613,0.44428580147879465,1.0,0
2021-02-10,14.764249801635742,6.870932541496613,0.43682146072387695,1.0,0
2021-02-11,15.250749588012695,6.870932541496613,0.4559464454650879,1.0,0
2021-02-12,14.961250305175781,6.951433215762078,0.45053577423095703,1.0,0
2021-02-16,15.330249786376953,6.951433215762078,0.46173225130353657,1.0,0
2021-02-17,14.906000137329102,6.951433215762078,0.45521436418805805,1.0,0
2021-02-18,14.829000473022461,6.951433215762078,0.44871439252580914,1.0,0
2021-02-19,14.92650032043457,7.030787117301108,0.44333934783935547,1.0,0
2021-02-22,14.35575008392334,7.030787117301108,0.47478580474853516,1.0,0
2021-02-23,14.142000198364258,7.030787117301108,0.5198751858302525,1.0,0
2021-02-24,14.49899959564209,7.030787117301108,0.543839522770473,1.0,0
2021-02-25,13.307499885559082,7.030787117301108,0.6114823477608817,1.0,0
2021-02-26,13.714500427246094,7.097291727350312,0.6368751525878906,1.0,0
2021-03-01,13.841750144958496,7.097291727350312,0.6003751073564801,1.0,0
2021-03-02,13.40625,7.097291727350312,0.6120715141296387,1.0,0
2021-03-03,12.804750442504883,7.097291727350312,0.6128572736467633,1.0,0
2021-03-04,12.37024974822998,7.097291727350312,0.6402322905404227,1.0,0
2021-03-05,12.46150016784668,7.15066693571346,0.6655537060328892,1.0,0
2021-03-08,11.593250274658203,7.15066693571346,0.7000000817435128,1.0,0
2021-03-09,12.52025032043457,7.15066693571346,0.7338036128452846,1.0,0
2021-03-10,12.468250274658203,7.15066693571346,0.7474820954459054,1.0,0
2021-03-11,12.993499755859375,7.15066693571346,0.7639107022966657,1.0,0
2021-03-12,12.855999946594238,7.207436418408791,0.7349999291556222,1.0,0
2021-03-15,13.19124984741211,7.207436418408791,0.6973748888288226,1.0,0
2021-03-16,13.291250228881836,7.207436418408791,0.6720177105494908,1.0,0
2021-03-17,13.3412504196167,7.207436418408791,0.6135177612304688,1.0,0
2021-03-18,12.72249984741211,7.207436418408791,0.6190356527056012,1.0,0
2021-03-19,12.845749855041504,7.263539039668818,0.61455351965768,1.0,0
2021-03-22,13.186249732971191,7.263539039668818,0.6162856646946498,1.0,0
2021-03-23,13.07075023651123,7.263539039668818,0.59274993624006,1.0,0
2021-03-24,12.642999649047852,7.263539039668818,0.5664106096540179,1.0,0
2021-03-25,12.535249710083008,7.263539039668818,0.535839148930141,1.0,0
2021-03-26,12.839249610900879,7.3190187468452566,0.5056962966918945,1.0,0
2021-03-29,12.948249816894531,7.3190187468452566,0.45848206111363005,1.0,0
2021-03-30,12.871749877929688,7.3190187468452566,0.44046429225376676,1.0,0
2021-03-31,13.348250389099121,7.3190187468452566,0.4419464383806501,1.0,0
2021-04-01,13.811750411987305,7.3190187468452566,0.45039285932268414,1.0,0
2021-04-05,13.987500190734863,7.383623042020799,0.43907145091465544,1.0,0
2021-04-06,13.861499786376953,7.383623042020799,0.43085711342947824,1.0,0
2021-04-07,14.143500328063965,7.383623042020799,0.4357320921761649,1.0,0
2021-04-08,14.317000389099121,7.383623042020799,0.41457135336739676,1.0,0
2021-04-09,14.399999618530273,7.4534377343243765,0.4091427666800363,1.0,0
2021-04-12,15.208999633789062,7.4534377343243765,0.4566070692879813,1.0,0
2021-04-13,15.679499626159668,7.4534377343243765,0.4745356695992606,1.0,0
2021-04-14,15.277000427246094,7.4534377343243765,0.47242852619716097,1.0,0
2021-04-15,16.137250900268555,7.4534377343243765,0.5077499662126813,1.0,0
2021-04-16,15.912500381469727,7.537607511907912,0.494732175554548,1.0,0
2021-04-19,15.361749649047852,7.537607511907912,0.5173750604901995,1.0,0
2021-04-20,15.171250343322754,7.537607511907912,0.5362142835344587,1.0,0
2021-04-21,15.36050033569336,7.537607511907912,0.512035710471017,1.0,0
2021-04-22,14.850250244140625,7.537607511907912,0.5215536526271275,1.0,0
2021-04-23,15.265250205993652,7.614499479013244,0.5361071995326451,1.0,0
2021-04-26,15.477999687194824,7.614499479013244,0.5413393974304199,1.0,0
2021-04-27,15.381750106811523,7.614499479013244,0.5259108543395996,1.0,0
2021-04-28,15.276749610900879,7.614499479013244,0.5251073156084333,1.0,0
2021-04-29,15.324749946594238,7.614499479013244,0.5345358848571777,1.0,0
2021-04-30,15.009499549865723,7.688081569270483,0.4741608755929129,1.0,0
2021-05-03,14.836750030517578,7.688081569270483,0.4659465381077358,1.0,0
2021-05-04,14.351249694824219,7.688081569270483,0.4897679601396833,1.0,0
2021-05-05,14.458499908447266,7.688081569270483,0.4558394295828683,1.0,0
2021-05-06,14.52299976348877,7.688081569270483,0.4596071924482073,1.0,0
2021-05-07,14.812250137329102,7.758968818703901,0.44305358614240375,1.0,0
2021-05-10,14.26574993133545,7.758968818703901,0.44507149287632536,1.0,0
2021-05-11,14.306249618530273,7.758968818703901,0.46967860630580355,1.0,0
2021-05-12,13.758500099182129,7.758968818703901,0.46553564071655273,1.0,0
