year,strategy,return_pct,max_drawdown_pct
2020,SP500 Top5 L63 S0 none DCA1,43.22,-15.55
2021,SP500 Top5 L63 S0 none DCA1,30.77,-4.63
2022,SP500 Top5 L63 S0 none DCA1,4.4,-18.21
2023,SP500 Top5 L63 S0 none DCA1,22.36,-15.82
2024,SP500 Top5 L63 S0 none DCA1,19.11,-16.35
2025,SP500 Top5 L63 S0 none DCA1,53.66,-10.8
2026,SP500 Top5 L63 S0 none DCA1,44.39,-5.08
2020,SPY buy-and-hold,18.17,-22.9
2021,SPY buy-and-hold,29.15,-4.46
2022,SPY buy-and-hold,-13.33,-19.67
2023,SPY buy-and-hold,18.29,-7.8
2024,SPY buy-and-hold,23.18,-4.29
2025,SPY buy-and-hold,17.06,-6.22
2026,SPY buy-and-hold,8.42,-4.92
