date,SP500 Top5 L63 S0 none DCA1,SPY buy-and-hold
2020-01-01,1.0,1.0
2020-01-02,0.9487234843927645,0.9994124523304894
2020-02-03,0.9042192373406575,0.9217095725940848
2020-03-02,0.8445273871142118,0.7709652667058398
2020-04-01,0.9308109085557295,0.8870236565039786
2020-05-01,0.9646862270546284,0.943949072676811
2020-06-01,1.0241448375599147,0.9666828551525043
2020-07-01,1.133531760902874,1.0252329094617056
2020-08-03,1.1736268562481096,1.093587776997127
2020-09-01,1.1713341089552192,1.058713300303403
2020-10-01,1.1488840305835866,1.0352309970404612
2020-11-02,1.3328778637103227,1.1461217238630357
2020-12-01,1.4321710308989966,1.1816737494385305
2021-01-04,1.5177375525402357,1.1766675923971033
2021-02-01,1.7426673601353946,1.2140407079283977
2021-03-01,1.7076737129318422,1.2584816477090899
2021-04-01,1.7121261535774632,1.3249120967871748
2021-05-03,1.857096422001294,1.3348306888881187
2021-06-01,1.8049017170308612,1.3591633806575125
2021-07-01,1.8263725941204707,1.39551411341191
2021-08-02,1.9321498144797082,1.4342413106630327
2021-09-01,1.8427776527376358,1.3702263316283292
2021-10-01,1.998335875359439,1.46344408512253
2021-11-01,1.9737952253408468,1.4677043879563807
2021-12-01,1.984695218849815,1.5196335381279908
2022-01-03,1.7664232092736802,1.4378930591525256
2022-02-01,1.8204018749782898,1.3879936847468677
2022-03-01,2.116522601443488,1.4507769620238624
2022-04-01,1.9625274059251498,1.3187923892036149
2022-05-02,2.10643274388162,1.3287135843231483
2022-06-01,1.7311360146943437,1.2103516648722792
2022-07-01,1.763949800000312,1.3151034385639946
2022-08-01,1.8023502920776822,1.2628401682072719
2022-09-01,1.745406336952123,1.1653626565534487
2022-10-03,1.9343076712608491,1.2591523214070894
2022-11-01,1.950643255432775,1.3192792610456938
2022-12-01,1.8440943276693864,1.2462264133150693
2023-01-03,1.927506908630776,1.3137949619502818
2023-02-01,1.9651021864274714,1.282020774647972
2023-03-01,2.201786473829691,1.3306560173289124
2023-04-03,2.1358975123289694,1.3522015898247144
2023-05-01,2.3111440041016156,1.3607287945280355
2023-06-01,2.447202978366975,1.4468959342936647
2023-07-03,2.439457638093996,1.4905067590693386
2023-08-01,2.284571741551257,1.4803799662642962
2023-09-01,2.162238474125463,1.3985642924240884
2023-10-02,2.060062315190317,1.3742397097916759
2023-11-01,2.2013938326770552,1.4941251809795786
2023-12-01,2.358426278731926,1.5541309963582068
2024-01-02,2.3697347846258907,1.595176902680653
2024-02-01,2.6002227440516705,1.6753256456884131
2024-03-01,2.650726300820078,1.729561772247312
2024-04-01,2.5120784220506684,1.6554373163316893
2024-05-01,2.840299791199267,1.7466982254206878
2024-06-03,2.515059304810663,1.8073521473378287
2024-07-01,2.39243121901962,1.8303405641151531
2024-08-01,2.3759228883419667,1.8565084285395848
2024-09-03,2.502735457569352,1.9051639706870747
2024-10-01,2.416002564314277,1.8982529662175807
2024-11-01,3.0516314833094587,2.00341197860928
2024-12-02,2.8224869830595734,1.9648825611702754
2025-01-02,2.942020874170799,1.9758173841109292
2025-02-03,2.963922306371015,1.9875189412220795
2025-03-03,2.8470968422224576,1.8639932188470474
2025-04-01,3.0184456448169414,1.8737567618455675
2025-05-01,3.147063506181884,1.9653433017063773
2025-06-02,3.3146377580836774,2.0670682700360876
2025-07-01,3.532079734342743,2.100403523497472
2025-08-01,3.1505327574621806,2.1379649335061917
2025-09-02,3.527078697293241,2.230219697542252
2025-10-01,3.9141759247540415,2.30588632307443
2025-11-03,3.974123533026163,2.282816456037447
2025-12-01,4.520743306731685,2.312835059578624
2026-01-02,6.30870282803944,2.3258882246817256
2026-02-02,6.776330048102563,2.289191008608021
2026-03-02,6.431810345685904,2.2115662868635564
2026-04-01,7.0642866269034705,2.4393517737358215
2026-05-22,9.108881987296726,2.5218416531037366
