year,strategy_return,benchmark_return,excess_return,max_drawdown,sharpe,buy_trades,sell_trades,final_holdings
2020,0.11629759267548212,0.4341373907689665,-0.3178397980934844,-0.308228794027797,0.47423365996313743,99,96,"TSLA, MSTR, AMD"
2021,-0.17960791454348313,0.326550025844099,-0.5061579403875821,-0.5492781900423123,-0.25927279230181055,98,95,"DDOG, AMD, TSLA"
2022,-0.12326733035828896,-0.30278007904463944,0.17951274868635048,-0.30092466138587615,-0.2420977260759982,107,104,"AXON, CEG, ROST"
2023,0.6518588197221533,0.5413550230717901,0.11050379665036325,-0.14352973609058772,1.8856591532864364,77,74,"APP, PDD, MSTR"
2024,-0.277864358843814,0.3279165843640117,-0.6057809432078257,-0.4260408817865512,-0.5670034101473123,64,61,"PLTR, APP, MSTR"
2025,0.6991638035810235,0.21864062444591448,0.480523179135109,-0.2990475607720049,1.289089263290073,81,78,"WDC, SNDK, WBD"
