year,SP500 Top5 L63 S0 none DCA1,SPY buy-and-hold
2020,-15.55,-22.9
2021,-4.63,-4.46
2022,-18.21,-19.67
2023,-15.82,-7.8
2024,-16.35,-4.29
2025,-10.8,-6.22
2026,-5.08,-4.92
