date,base_rotation,soxl_only,best_return_under_soxl_dd,best_return_under_60dd,best_calmar,best_return_under_50dd
2010-06-25,1.0,1.0,1.0,1.0,1.0,1.0
2010-06-28,0.9910449034941454,1.0,0.9940002213151687,0.9955225532202752,0.9910451064405504,0.9955225532202752
2010-06-29,0.8804530073168063,1.0,0.9196826526350309,0.9399767415977197,0.8804531271554324,0.9399767415977197
2010-06-30,0.8378218748915413,1.0,0.8898470230673768,0.9172200291923327,0.8378218199870372,0.9172200291923327
2010-07-01,0.8296546351640263,1.0,0.8840350855421906,0.9127493416619935,0.8296544458694868,0.9127493416619935
2010-07-02,0.8251158263890854,1.0,0.8807947584922607,0.9102526433096497,0.8251156381301236,0.9102526433096497
2010-07-06,0.8294281818315749,1.0,0.8838790055347301,0.9126312990176582,0.8294279925887033,0.9126312990176582
2010-07-07,0.9078071955335112,1.0,0.939840510153584,0.9557521303365194,0.907807124661111,0.9557521303365194
2010-07-08,0.9231223624854914,1.0,0.9504638451448809,0.9638142119880204,0.9231224243722512,0.9638142119880204
2010-07-09,0.9489875705355694,1.0,0.9683065733724671,0.9773167120145865,0.948987285887211,0.9773167120145865
2010-07-12,0.9597638605858544,1.0,0.975673671624096,0.9828657041419471,0.9597635734787707,0.9828657041419471
2010-07-13,0.9925461142888944,1.0,0.9980019241921559,0.9996514070835499,0.9925458878289297,0.9996514070835499
2010-07-14,1.0084230544597057,1.0,1.0086980381942323,1.007646774532707,1.0084229606307262,1.007646774532707
2010-07-15,1.0119426188583514,1.0,1.0110568347051365,1.0094052358584782,1.0119425923530851,1.0094052358584782
2010-07-16,0.9304970836761812,1.0,0.9565358745950201,0.9687844163814536,0.9304967351198855,0.9687844163814536
2010-07-19,0.9514833941921136,1.0,0.9709903201173616,0.9797094434016428,0.9724697553356845,0.9797094434016428
2010-07-20,0.9815433027794034,1.0,0.9915431294367056,0.9951850894611453,1.033914902520925,0.9951850894611453
2010-07-21,0.9471711068763788,1.0,0.968279316131259,0.9777602672145274,0.961503112652525,0.9777602672145274
2010-07-22,1.0110322410359849,1.0,1.0120198060574,1.0107220410414546,1.0911579951256147,1.0107220410414546
2010-07-23,1.0373503557509651,1.0,1.0296701210784245,1.0238770269480462,1.147965574123106,1.0238770269480462
2010-07-26,1.0601488379405457,1.0,1.0448320136924512,1.0351282129946882,1.198424658210964,1.0351282129946882
2010-07-27,1.059922248354585,1.0,1.0446824370396257,1.0350176253300372,1.1979125246122537,1.0350176253300372
2010-07-28,1.0382564415877893,1.0,1.030374972291589,1.0244391923694007,1.1489393012614857,1.0244391923694007
