period,start,end,pure_return,fallback_return,spmo_return,fallback_vs_pure,pure_vs_spmo,fallback_vs_spmo,pure_max_drawdown,fallback_max_drawdown,fallback_days,fallback_final_holdings
2020,2020-01-01,2020-12-31,0.27904138613006224,0.6183934517561636,0.27075566739881163,0.3393520656261013,0.008285718731250613,0.34763778435735193,-0.35805829108717246,-0.19179216233550744,177,"TSLA, MRNA"
2021,2021-01-01,2021-12-31,0.11873250736602103,0.6164163474763045,0.2421529178242141,0.49768384011028344,-0.12342041045819307,0.37426342965209036,-0.31301967753105187,-0.09635219124460459,186,"AMD, DDOG"
2022,2022-01-01,2022-12-31,-0.15655927692211669,-0.1950062142830722,-0.10446261807425428,-0.0384469373609555,-0.05209665884786241,-0.09054359620881791,-0.3747898356296766,-0.19939917828471065,242,"FSLR, SMCI"
2023,2023-01-01,2023-12-31,1.1006358637952722,3.4674851421964057,0.19472552557953815,2.3668492784011335,0.9059103382157341,3.2727596166168675,-0.3108221044012791,-0.06621001065603804,146,"VRT, COIN"
2024,2024-01-01,2024-12-31,0.023011644181135882,0.4450271207971861,0.471790362965653,0.4220154766160502,-0.44877871878451714,-0.026763242168466927,-0.4208318892953572,-0.1277924045909241,213,"PLTR, APP"
2025,2025-01-01,2025-12-31,0.788144546375257,1.8980317281906989,0.2586628467329899,1.1098871818154419,0.5294816996422671,1.639368881457709,-0.30512993173779557,-0.11340105114316468,128,"SNDK, LITE"
2026 YTD,2026-01-01,2026-05-15,0.5535111462458702,2.2171267330933344,0.23621100618407853,1.6636155868474642,0.31730014006179164,1.9809157269092559,-0.20394651159153165,-0.06276309994959695,48,"SNDK, LITE"
