date,OOS Rank 1 - IS#4 rebound 8/20,OOS Rank 3 - IS#8 profit 5/15
2010-06-25,1.0,1.0
2010-06-28,0.9940002213151687,0.9932838298304129
2010-06-29,0.9196827441007813,0.9101525811948192
2010-06-30,0.889847107622002,0.8771005666770115
2010-07-01,0.8840352170786557,0.8706879115274911
2010-07-02,0.8807949379172901,0.8671154970797111
2010-07-06,0.8838790881379226,0.8705142854370375
2010-07-07,0.9398406558211659,0.9322106218935539
2010-07-08,0.9504639460006474,0.9440058223083663
2010-07-09,0.9683068197457343,0.9638434752772885
2010-07-12,0.9756737796204912,0.972052060024255
2010-07-13,0.9980021306330652,0.9969537030275836
2010-07-14,1.0086982009518424,1.0089143378943561
2010-07-15,1.0110569066879496,1.0115552458907209
2010-07-16,0.9565361141045748,0.9504944265222094
2010-07-19,0.9854445410486876,0.9826502120923742
2010-07-20,1.0271625451145476,1.0292170498437885
2010-07-21,1.0030629747798299,0.9751548699405187
2010-07-22,1.048374761588353,1.0737766958021142
2010-07-23,1.06665922646822,1.1157039216574791
2010-07-26,1.082365640795341,1.152484349042578
2010-07-27,1.0822107374738048,1.152299716508701
2010-07-28,1.0673894431111968,1.1346342052896279
2010-07-29,1.0503565408452078,1.1143663365085523
2010-07-30,1.055162389050031,1.1200738605547769
2010-08-02,1.0931975030507821,1.1652697088865445
2010-08-03,1.0856261068768935,1.1562354972943993
2010-08-04,1.1066352024639503,1.1812827350092927
2010-08-05,1.1022582426146479,1.1760526542030885
2010-08-06,1.098794592225012,1.1719158599527773
2010-08-09,1.11166719110788,1.1872844000910954
2010-08-10,1.0958775247229497,1.1684071213830185
2010-08-11,1.0354390100126596,1.0962743831426822
2010-08-12,0.9963323279687187,1.049926257660261
2010-08-13,0.9697344775028394,1.0185509801472499
2010-08-16,0.977080984484598,1.0271886637289351
2010-08-17,1.026882417068254,1.085795456162604
2010-08-18,1.0392475773682501,1.100431156667026
2010-08-19,0.9880375810549871,1.0397316638035212
2010-08-20,0.9834871106252434,1.0343713456964452
2010-08-23,0.947118407611586,0.9915537691527233
2010-08-24,0.8742963802270656,0.8777648544288658
2010-08-25,0.926723719337417,0.9304001812162633
2010-08-26,0.8662326922167506,0.884851927658613
2010-08-27,0.9235474948747134,0.9433986831331587
2010-08-30,0.8636993056428904,0.8822640872162857
2010-08-31,0.8551425576164181,0.8735234162005829
2010-09-01,0.9984901920801968,1.01995223587025
2010-09-02,1.0444055867563857,1.0899557029739892
2010-09-03,1.115687267356018,1.2009863292643523
2010-09-07,1.0974901334663956,1.1571317413974258
2010-09-08,1.149433086154242,1.2184366538288465
2010-09-09,1.168920351290666,1.2415603160054518
2010-09-10,1.1857775863897528,1.2616029920681
2010-09-13,1.2207985904706902,1.3450219044370182
2010-09-14,1.2311581935278584,1.3705750818026972
2010-09-15,1.2451663265486286,1.4054879625897965
2010-09-16,1.2569286569179714,1.435212122746607
2010-09-17,1.2658949346110464,1.446672637169483
2010-09-20,1.3100802622737817,1.5031971913527096
2010-09-21,1.3073143889041134,1.4996446691113534
2010-09-22,1.3031594893737402,1.494309412482765
2010-09-23,1.300545861863092,1.49095456242349
2010-09-24,1.3498880911979814,1.5542750083880403
2010-09-27,1.3395347536747644,1.5409306735424688
2010-09-28,1.3417897177623435,1.5438343966788945
2010-09-29,1.3345483040269583,1.53450773817358
2010-09-30,1.322441381924793,1.518924597402689
2010-10-01,1.3196866089039696,1.5153827318949051
2010-10-04,1.2890113729161523,1.4759528117625005
2010-10-05,1.3533052715532934,1.6407697875828513
2010-10-06,1.3301981842207504,1.5780487059655872
2010-10-07,1.3389364800407753,1.6012572155730833
2010-10-08,1.3570079119655818,1.6496421490075137
2010-10-11,1.3588511504777998,1.6546587014528922
2010-10-12,1.377752413565703,1.706186765335275
2010-10-13,1.4001828573918207,1.768375212355289
2010-10-14,1.3949760855565294,1.761014079261208
2010-10-15,1.4545951068285985,1.8452635863403983
2010-10-18,1.4545951068285985,1.8452635863403983
2010-10-19,1.4158409651287225,1.7902308797086472
2010-10-20,1.4355626795955843,1.8181451126065957
2010-10-21,1.442272346883871,1.827657594201512
2010-10-22,1.4611143663542916,1.8543852867873347
2010-10-25,1.4759690203866191,1.8754892860975587
2010-10-26,1.481896480066148,1.8839205447879772
2010-10-27,1.4921170210445878,1.898465254582378
2010-10-28,1.4978597833745984,1.9066443838532847
2010-10-29,1.4930435523824555,1.8997817266360315
