entry_date,exit_date,symbol,exit_to,entry_price,exit_price,return_pct,outcome,holding_calendar_days,holding_trading_days
2010-05-10,2017-05-09,SOXL,CASH,0.6186,4.8784,688.62,win,2556,1762
2018-02-06,2026-05-20,SOXL,OPEN,8.1364,173.2,2028.71,win,3025,2082
