date,equity,target,action,action_reason,execution_price,signal,pending_next_open,pending_reason,SOXL_open,SOXL_close,VIX_close,benchmark_soxl_buy_hold
2010-03-11,1.0,CASH,HOLD,,,NONE,,,0.5844891342001619,0.6008639335632324,18.059999465942383,1.0
2010-03-12,1.0,CASH,HOLD,,,NONE,,,0.6013189175850284,0.5860057473182678,17.579999923706055,0.9752719618951784
2010-03-15,1.0,CASH,HOLD,,,NONE,,,0.5741794381715686,0.5675076246261597,18.0,0.9444860856612515
2010-03-16,1.0,CASH,HOLD,,,NONE,,,0.5746343380448905,0.613599956035614,17.690000534057617,1.0211961839627395
2010-03-17,1.0,CASH,HOLD,,,NONE,,,0.6367975609351803,0.6357359290122986,16.90999984741211,1.0580364263873667
2010-03-18,1.0,CASH,HOLD,,,NONE,,,0.6357358948924554,0.620270848274231,16.6200008392334,1.0322983518014004
2010-03-19,1.0,CASH,HOLD,,,NONE,,,0.6125384009898717,0.5920699238777161,16.969999313354492,0.9853643908474149
2010-03-22,1.0,CASH,HOLD,,,NONE,,,0.580395577941401,0.6348263025283813,16.8700008392334,1.0565225620445313
2010-03-23,1.0,CASH,HOLD,,,NONE,,,0.6437723918749004,0.6757633090019226,16.350000381469727,1.1246528061594965
2010-03-24,1.0,CASH,HOLD,,,NONE,,,0.6692442173785014,0.6383140683174133,17.549999237060547,1.0623271470665494
2010-03-25,1.0,CASH,HOLD,,,NONE,,,0.6659083242787047,0.6351301074028015,18.399999618530273,1.0570281754745445
2010-03-26,1.0,CASH,HOLD,,,NONE,,,0.6521107503194421,0.6251232624053955,17.770000457763672,1.040374080531512
2010-03-29,1.0,CASH,HOLD,,,NONE,,,0.6452877971184358,0.6419528126716614,17.59000015258789,1.0683830012308517
2010-03-30,1.0,CASH,HOLD,,,NONE,,,0.6519595984370548,0.6542338728904724,17.1299991607666,1.0888220050265731
2010-03-31,1.0,CASH,HOLD,,,NONE,,,0.6592373715736398,0.6440752148628235,17.59000015258789,1.0719152521658943
2010-04-01,1.0,CASH,HOLD,,,NONE,,,0.6621176636270759,0.6461977362632751,17.469999313354492,1.0754477014974173
2010-04-05,1.0,CASH,HOLD,,,NONE,,,0.6707599352599034,0.7009323239326477,17.020000457763672,1.1665408502320842
2010-04-06,1.0,CASH,HOLD,,,NONE,,,0.6875896058493537,0.6903187036514282,16.229999542236328,1.1488769172043873
2010-04-07,1.0,CASH,HOLD,,,NONE,,,0.6939573162588653,0.6971412897109985,16.6200008392334,1.1602315445642142
2010-04-08,1.0,CASH,HOLD,,,NONE,,,0.6845573855488786,0.6724281907081604,16.479999542236328,1.119102267830487
2010-04-09,1.0,CASH,HOLD,,,NONE,,,0.6801608922100932,0.6903187036514282,16.139999389648438,1.1488769172043873
2010-04-12,1.0,CASH,HOLD,,,NONE,,,0.7007802721796609,0.7076030969619751,15.579999923706055,1.1776428196742648
2010-04-13,1.0,CASH,HOLD,,,NONE,,,0.7115458127340203,0.7212487459182739,16.200000762939453,1.2003528679798396
2010-04-14,1.0,CASH,HOLD,,,NONE,,,0.7659766314318863,0.814039409160614,15.59000015258789,1.3547816130903585
2010-04-15,1.0,CASH,HOLD,,,NONE,,,0.8285946923365582,0.8210140466690063,15.890000343322754,1.3663892951607923
2010-04-16,1.0,CASH,HOLD,,,NONE,,,0.8111591902667685,0.7906906604766846,18.360000610351562,1.315922984073524
2010-04-19,1.0,CASH,HOLD,,,NONE,,,0.7641570627689107,0.764005184173584,17.34000015258789,1.2715111383751962
2010-04-20,1.0,CASH,HOLD,,,NONE,,,0.7862930804323871,0.8010004162788391,15.729999542236328,1.3330812044729676
2010-04-21,1.0,CASH,HOLD,,,NONE,,,0.8066106558421083,0.7759833931922913,16.31999969482422,1.2914461159127468
2010-04-22,1.0,CASH,HOLD,,,NONE,,,0.7608210864181508,0.8198012709617615,16.469999313354492,1.3643709085685853
2010-04-23,1.0,CASH,HOLD,,,NONE,,,0.8332951744273444,0.8234402537345886,16.6200008392334,1.3704271595258484
2010-04-26,1.0,CASH,HOLD,,,NONE,,,0.8308688726732811,0.8307178616523743,17.469999313354492,1.3825390662509334
2010-04-27,1.0,CASH,HOLD,,,NONE,,,0.7959968810959892,0.7447501420974731,22.809999465942383,1.2394655436896824
2010-04-28,1.0,CASH,HOLD,,,NONE,,,0.7599113913714195,0.7596084475517273,21.079999923706055,1.2641937801909844
2010-04-29,1.0,CASH,HOLD,,,NONE,,,0.7599113274350778,0.7856870889663696,18.440000534057617,1.3075956886064075
2010-04-30,1.0,CASH,HOLD,,,NONE,,,0.7656736649674025,0.6797059774398804,22.049999237060547,1.1312144721502926
2010-05-03,1.0,CASH,HOLD,,,NONE,,,0.6892579530664601,0.7297400832176208,20.190000534057617,1.2144847484689743
2010-05-04,1.0,CASH,HOLD,,,NONE,,,0.7145780093905846,0.6331588625907898,23.84000015258789,1.0537474912765068
2010-05-05,1.0,CASH,HOLD,,,NONE,,,0.6231519451834875,0.6128422021865845,24.90999984741211,1.0199350767357906
2010-05-06,1.0,CASH,HOLD,,,NONE,,,0.6064742274072732,0.560684859752655,32.79999923706055,0.9331311607067041
2010-05-07,1.0,CASH,HOLD,,,BUY_NEXT_OPEN,BUY,vix_above_35,0.5458266265413683,0.526570737361908,40.95000076293945,0.8763560399427666
2010-05-10,1.0,SOXL,BUY,vix_above_35,0.6186034083366394,NONE,,,0.6186034083366394,0.6186034083366394,28.84000015258789,1.0295232810333759
2010-05-11,0.9808824888280449,SOXL,HOLD,,,NONE,,,0.5855509515068521,0.6067772507667542,28.31999969482422,1.0098413582064323
2010-05-12,1.0605398131492365,SOXL,HOLD,,,NONE,,,0.6167840007345966,0.6560535430908203,25.520000457763672,1.0918504280999253
2010-05-13,0.9774514346708848,SOXL,HOLD,,,NONE,,,0.6384651017789974,0.6046547889709473,26.68000030517578,1.0063090080731496
2010-05-14,0.8882349693494489,SOXL,HOLD,,,NONE,,,0.5904021717899105,0.5494651794433594,31.239999771118164,0.9144585799732244
2010-05-17,0.9250000216795529,SOXL,HOLD,,,NONE,,,0.5377910416506562,0.5722081661224365,30.84000015258789,0.9523090572754767
2010-05-18,0.8495100854723588,SOXL,HOLD,,,NONE,,,0.5863085453145856,0.5255098342895508,33.54999923706055,0.874590410466446
2010-05-19,0.8629895640415431,SOXL,HOLD,,,NONE,,,0.5229317346143632,0.5338482856750488,35.31999969482422,0.8884678474696116
2010-05-20,0.7926467871914896,SOXL,HOLD,,,NONE,,,0.4927602113448864,0.49033400416374207,45.790000915527344,0.816048321049946
2010-05-21,0.8443632633527018,SOXL,HOLD,,,NONE,,,0.4700176112676024,0.5223259925842285,40.099998474121094,0.8692916372709215
2010-05-24,0.7946071968598762,SOXL,HOLD,,,NONE,,,0.5120152470999667,0.49154672026634216,38.31999969482422,0.8180666084439129
2010-05-25,0.8125001023756652,SOXL,HOLD,,,NONE,,,0.4497001636489702,0.5026153326034546,34.61000061035156,0.836487771237748
