period,reset,pure_return,pure_max_drawdown,pure_trades,fallback_return,fallback_max_drawdown,fallback_stock_trades,fallback_days,spmo_return
2020,Annual,0.27904138613006046,-0.358058291087173,162,-0.2204471651254385,-0.3644795656313543,162,176,0.27075503299403425
2021,Annual,0.11873250736602126,-0.313019677531052,154,-0.22197810341404456,-0.30411663448632853,154,185,0.24215278179737565
2022,Annual,-0.15655927692211735,-0.37478983562967694,106,-0.29616368352083167,-0.3000046170239208,106,241,-0.10446290354253196
2023,Annual,1.1006358637952718,-0.310822104401279,128,0.2662921343243303,-0.20501603092496112,128,145,0.19472561004709
2024,Annual,0.023011644181136548,-0.4208318892953571,116,-0.29295579891399315,-0.362497923731136,116,212,0.4717906897942603
2025,Annual,0.7881445463752588,-0.3051299317377958,92,0.15290670437575993,-0.20363193921036127,92,127,0.2586628467329899
2026 YTD,YTD,0.553511146245871,-0.20394651159153165,16,-0.2045660464324216,-0.2862286439248072,16,47,0.23621100618407853
2020-2026 YTD,No reset,6.448869117262884,-0.4559419568727783,770,-0.5198436774509649,-0.6473460560671401,770,1324,2.7504144984859265
