outcome,trades,average_return_pct,median_return_pct,average_holding_trading_days,median_holding_trading_days,average_holding_calendar_days,median_holding_calendar_days
loss,113,-8.94,-7.45,25.2,21.0,36.45,31.0
win,144,18.92,9.02,35.95,22.0,52.37,33.0
