outcome,trades,average_return_pct,median_return_pct,average_holding_trading_days,median_holding_trading_days,average_holding_calendar_days,median_holding_calendar_days
loss,17,-8.0,-6.09,34.71,22.0,50.29,32.0
win,28,30.36,15.02,59.5,31.5,86.32,46.5
