date,base_rotation,soxl_only,soxl_buy_hold,tqqq_buy_hold,best_drawdown,best_return
2010-06-25,1.0,1.0,1.0,1.0,1.0,1.0
2010-06-28,0.9910449034941454,1.0,1.011753470318912,0.9910449034941454,0.9970149903132653,0.9910449709397959
2010-06-29,0.8804530073168063,1.0,0.8739349565526389,0.8804530073168064,0.959928955191068,0.8804530672361154
2010-06-30,0.8378218748915413,1.0,0.8316194251679434,0.836940491067804,0.9444358681430381,0.8378219872839157
2010-07-01,0.8296546351640263,1.0,0.8348512771626151,0.8287818432298019,0.9413670240471949,0.8296547464607794
2010-07-02,0.8251158263890854,1.0,0.8245667884695339,0.8242478092557503,0.9396503462633036,0.8251158689502014
2010-07-06,0.8294281818315749,1.0,0.823096189531438,0.828555628124962,0.9412873570946113,0.8294282930979497
2010-07-07,0.9078071955335112,1.0,0.9523950488526498,0.9068521875524662,0.9709370940638817,0.9078071129340054
2010-07-08,0.9231223624854914,1.0,0.945342700960002,0.9221512430363484,0.9763972592118871,0.9231225544475445
2010-07-09,0.9489875705355694,1.0,0.977961001287265,0.9479892410353928,0.9855165209602047,0.9489876297138685
2010-07-12,0.9597638605858544,1.0,1.0152795576235074,0.9587541944901378,0.989246886868522,0.9597639212097745
2010-07-13,0.9925461142888944,1.0,1.080516389322643,0.9915019614496524,1.000509985377783,0.992546179310498
2010-07-14,1.0084230544597057,1.0,1.0705261359394858,1.0073621991701498,1.005844854520818,1.0084233941182288
2010-07-15,1.0119426188583514,1.0,1.0567135960626302,1.0108780610071648,1.0070149523640664,1.0119426864819632
2010-07-16,0.9304970836761812,1.0,0.9562142162441226,0.9295182060624968,0.9799986388152904,0.9304971403740134
2010-07-19,0.9514833941921136,1.0,1.0285032803136014,0.9504824390997156,0.9873662984953899,0.9724701757970164
2010-07-20,0.9815433027794034,1.0,1.031442283266005,0.9805107248349816,0.9977640041584865,1.0339152058906238
2010-07-21,0.9471711068763788,1.0,0.968850565776263,0.9461746882855896,0.9861173067954725,0.9615031077280982
2010-07-22,1.0110322410359849,1.0,1.0575951467693552,1.009968640897064,1.0082796448103162,1.0911580081884094
2010-07-23,1.0373503557509651,1.0,1.0778715061578588,1.0362590691057882,1.0170285346176837,1.1479661837290123
2010-07-26,1.0601488379405457,1.0,1.1166605459098924,1.0590335674224116,1.0244791086395253,1.1984249864192977
2010-07-27,1.059922248354585,1.0,1.0937398809681278,1.0588072162074005,1.0244061200478416,1.197912698655147
2010-07-28,1.0382564415877893,1.0,1.0370261693831928,1.0371642017454905,1.0174262003039711,1.1489399270181389
2010-07-29,1.0135282690727931,1.0,0.9741401010612224,1.012462043126644,1.0093488920505214,1.0942115823827308
2010-07-30,1.0204495385845431,1.0,0.9435793107407904,1.019376031502427,1.0116464680817918,1.1091560737748816
2010-08-02,1.0753507782263,1.0,0.9935346786983916,1.0742195153538738,1.0297889173913564,1.228502951244903
2010-08-03,1.064234671923829,1.0,0.9635613770582176,1.0631151031316977,1.0262405420590002,1.2031044089166352
2010-08-04,1.0949737361282088,1.0,0.9917715772849416,1.0938218300162263,1.0361211816210212,1.2726053136234392
2010-08-05,1.088509801520413,1.0,0.9679691883529952,1.087364695430693,1.034082323184836,1.2575800706751814
2010-08-06,1.0834047912875897,1.0,0.96914537869771,1.0822650556394562,1.0324657182471073,1.2457840456996394
2010-08-09,1.1023481166851254,1.0,0.9850134069410652,1.1011884527669462,1.0384834217529475,1.2893501935348683
2010-08-10,1.078979072925365,1.0,0.9094907580423452,1.077843993107653,1.0311449116061364,1.234682535217838
2010-08-11,0.9901633129183116,1.0,0.7998826755474053,0.9891216667724924,1.0028521654757998,1.0314178390885609
2010-08-12,0.9622553922568556,1.0,0.7678515173334864,0.961243105084062,0.9934302910658257,0.9732763322225588
2010-08-13,0.9430853410198498,1.0,0.744636270514884,0.9420932206313892,0.9868332523499551,0.9344971141778339
2010-08-16,0.948416940838634,1.0,0.7522777821612074,0.9474192116376374,0.9886928692728145,0.9450630733837084
2010-08-17,0.9844920331008502,1.0,0.7810751822624281,0.9834563531089844,1.0012285844203845,1.016958250456071
2010-08-18,0.993338837205983,1.0,0.807227988004626,0.9922938504267632,1.004227628268926,1.0352352099798698
2010-08-19,0.9568105657718458,1.0,0.7666755580333806,0.955804006525394,0.9919180658070889,0.9590973377213239
2010-08-20,0.9535218148179484,1.0,0.7754912961452401,0.952518715318703,0.9907816387198866,0.9525043887787319
2010-08-23,0.927208332722284,1.0,0.7481624733417842,0.926232914855806,0.9816676902053475,0.8999333138620552
2010-08-24,0.8740056974541758,1.0,0.710254695490714,0.8730862484559152,0.96289191189043,0.796658354925095
2010-08-25,0.9002105173761762,1.0,0.7317070141793232,0.8992635010571337,0.972515217128985,0.8444299880167332
2010-08-26,0.870830445673523,1.0,0.6899785093856674,0.8699143370219871,0.9619352621174807,0.7893108631358484
2010-08-27,0.8996400920595052,1.0,0.7311199875882836,0.8986936758246353,0.9725430720843276,0.8415359554304092
2010-08-30,0.8704909019283554,1.0,0.6782255011559739,0.8695751504748986,0.9620392020019285,0.7870023233524124
2010-08-31,0.8661784783591112,1.0,0.6350282457810965,0.8652672635506012,0.9604506502026698,0.7792051735844153
2010-09-01,0.9387774138164126,1.0,0.6940935293993291,0.9377898253427476,0.987284109474666,0.9098236720080092
2010-09-02,0.9709931254277964,1.0,0.740228343697802,0.9699716462096482,0.9985776382434239,0.972268431621045
2010-09-03,1.0204495385845431,1.0,0.7722594441505686,1.019376031502427,1.0155313862611366,1.0713108697690232
2010-09-07,0.9956082075300764,1.0,0.7305308815957604,0.994560833386246,1.007290829452631,1.0191517841828817
2010-09-08,1.0307729219699258,1.0,0.7184833492503815,1.029688554747492,1.019149919892847,1.0911441789960068
2010-09-09,1.0438143584855155,1.0,0.7214226410085467,1.0427162717464071,1.023448069410307,1.1187548419704436
2010-09-10,1.055048255946774,1.0,0.6932122097372133,1.0539383512117446,1.027119505006006,1.1428348308185583
2010-09-13,1.101555530021546,1.0,0.7619748976963351,1.1003966999000068,1.0422116941787911,1.243589685784695
2010-09-14,1.1155072081059931,1.0,0.7992938005994914,1.1143337008988512,1.0466117577744531,1.2750911958997206
2010-09-15,1.134450942264057,1.0,0.7931229456524163,1.1332575063568555,1.0525361874908388,1.318397731198847
2010-09-16,1.15044574172041,1.0,0.8098727556471057,1.1492354793756,1.0574828122283355,1.3369860293738154
2010-09-17,1.1626941146851375,1.0,0.8104615150727149,1.1614709671219756,1.061235857049543,1.351221064975939
2010-09-20,1.2232665660176012,1.0,0.8201588616524519,1.2219796965818448,1.079664874799385,1.4216154362883653
2010-09-21,1.2194118179860851,1.0,0.8145750332964162,1.2181290037232255,1.0785305576193083,1.4171347047656029
2010-09-22,1.213627175248889,1.0,0.7810056378350334,1.2123504463971264,1.0768252743986675,1.4104127365755903
2010-09-23,1.2099943841840173,1.0,0.7959965629803922,1.2087214770076913,1.0757507213013489,1.4061904265761396
2010-09-24,1.2785120501505969,1.0,0.890646759709101,1.277167062781293,1.0960561130724586,1.4858183002582628
2010-09-27,1.2638765157029888,1.0,0.8753612526869045,1.2625469248322732,1.091873695625458,1.4688091919435804
2010-09-28,1.2670520399906602,1.0,0.9162199900489086,1.265719108486544,1.0927881499897452,1.4724996159768524
2010-09-29,1.2568461071302917,1.0,0.9365021255526442,1.2555239122092117,1.0898541407716082,1.4606391448131972
2010-09-30,1.2398274988050824,1.0,0.9162199900489086,1.238523207362689,1.0849350415141563,1.4408611892211702
2010-10-01,1.2359727507735665,1.0,0.9065196398892512,1.23467251450407,1.0838107305091598,1.436381724470581
2010-10-04,1.1930939076513685,1.0,0.8694827846928788,1.1918387796797587,1.071277208969406,1.3865494407253285
2010-10-05,1.2819140277707195,1.0,0.9238613861729276,1.2805654615404036,1.0978611544019066,1.592994351695663
2010-10-06,1.249244660100132,1.0,0.8921160301406934,1.2479304618578806,1.0885348852150476,1.5117999634390538
2010-10-07,1.261493714332406,1.0,0.8924103809729219,1.260166630155113,1.0920926011953855,1.5414465368032426
2010-10-08,1.2869058113373175,1.0,0.9215107383180668,1.2855519937792208,1.0994257241436598,1.603549056096188
2010-10-11,1.2895149297868422,1.0,0.9382654580107036,1.288158367451049,1.1001687291931608,1.610051241844462
2010-10-12,1.316285610532952,1.0,0.9582530116376016,1.3149008855940243,1.1077822694148658,1.6769038412513493
2010-10-13,1.3482711218403791,1.0,0.9626621514388825,1.3468527483263724,1.1167549693385574,1.7583983120540734
