name,strategy_return,max_drawdown,trade_count,buy_count,sell_count,rebalance_count,skipped_not_yet_sp500,membership_violations,final_holding,spmo_return,excess_vs_spmo
Top1 current-member baseline,199.9849540311546,-0.6036179567076585,81,41,40,77,0,25,SNDK,2.6477049934556955,197.33724903769888
Top1 PIT S&P membership,14.642125308334291,-0.538477426672122,87,44,43,77,109,0,SNDK,2.6477046396962076,11.994420668638083
