year,requested_start,requested_end,actual_start,actual_end,trading_days,total_return,cagr,max_drawdown,sharpe,buy_trades,sell_trades,final_holdings,ticker_count
2020,2020-01-01,2020-12-31,2020-01-02,2020-12-31,253,0.2258910449136433,0.22674874431256842,-0.28135752667731573,0.724783801487299,112,109,"TSLA, TPR, MRNA",502
2021,2021-01-01,2021-12-31,2021-01-04,2021-12-31,252,0.02494401552258685,0.025241353354832352,-0.32189791298095916,0.24426901403534942,123,120,"AMD, DDOG, TSLA",502
2022,2022-01-01,2022-12-31,2022-01-03,2022-12-30,251,-0.14052024077574554,-0.14205110445684888,-0.361936920040824,-0.21118724303158196,91,88,"FSLR, AXON, SMCI",502
2023,2023-01-01,2023-12-31,2023-01-03,2023-12-29,250,0.8679369450023762,0.8850356909276831,-0.2512751674096657,1.7731936024719057,94,91,"VRT, COIN, WSM",502
2024,2024-01-01,2024-12-31,2024-01-02,2024-12-31,252,0.14404846107308344,0.1445772862903867,-0.38625079679268914,0.5330443070146296,100,97,"PLTR, APP, TPL",502
2025,2025-01-01,2025-12-31,2025-01-02,2025-12-31,250,0.8412694681375998,0.8482496862007696,-0.3423169207633613,1.4153423640654605,89,86,"SNDK, LITE, SATS",502
