year,requested_start,requested_end,actual_start,actual_end,trading_days,total_return,cagr,max_drawdown,sharpe,buy_trades,sell_trades,final_holdings,ticker_count
2020,2020-01-01,2020-12-31,2020-01-02,2020-12-31,253,-0.12268005962696171,-0.12307429362062428,-0.23798663342580628,-0.18060786331148618,153,148,"TSLA, TPR, FCX, BLDR, FSLR",502
2021,2021-01-01,2021-12-31,2021-01-04,2021-12-31,252,0.12830701970355496,0.1299117082874841,-0.1835594279726006,0.5415567468763365,137,132,"DDOG, BLDR, ON, ANET, TSLA",502
2022,2022-01-01,2022-12-31,2022-01-03,2022-12-30,251,0.04854427708961939,0.04912959751691348,-0.28908336452522987,0.3112910065283033,139,134,"FSLR, AXON, SMCI, ROST, NFLX",502
2023,2023-01-01,2023-12-31,2023-01-03,2023-12-29,250,0.8596226265710192,0.8765231810903609,-0.18490553851735225,1.9389369501134213,106,101,"VRT, COIN, CVNA, CRWD, WSM",502
2024,2024-01-01,2024-12-31,2024-01-02,2024-12-31,252,0.039803901517868834,0.039943285071173396,-0.3734134212432967,0.29129321076745335,116,111,"APP, PLTR, AXON, TSLA, UAL",502
2025,2025-01-01,2025-12-31,2025-01-02,2025-12-31,250,0.4349954797905826,0.4382114669903743,-0.31887519889385685,1.042228846865539,115,110,"SATS, WDC, SNDK, LITE, CIEN",502
