Symbol,Segment,Strategy_Return_%,Strategy_MaxDD_%,Strategy_Trades,BuyHold_Return_%,BuyHold_MaxDD_%,Strategy_Sharpe,Strategy_Sortino,BuyHold_Sharpe,BuyHold_Sortino,OOS_Excess_Return_%
META,Out-of-Sample,168.0084,-34.2093,2,119.8235,-76.7361,0.7945,0.9374,0.557,0.7326,48.1849
AMZN,Out-of-Sample,82.1808,-30.8766,4,60.4333,-56.1453,0.5877,0.6531,0.4261,0.6208,21.747500000000002
MSFT,Out-of-Sample,85.5642,-31.5513,2,107.0497,-37.5565,0.6545,0.7654,0.645,0.935,-21.485500000000002
AAPL,Out-of-Sample,68.803,-13.823,1,130.8463,-33.4337,0.8064,0.6391,0.7005,1.0311,-62.043300000000016
TSLA,Out-of-Sample,14.7486,-53.7657,9,76.8022,-73.6322,0.2718,0.3152,0.473,0.7414,-62.0536
GOOGL,Out-of-Sample,193.992,-29.8866,5,329.4892,-44.3201,0.9366,1.103,1.0259,1.5427,-135.4972
NVDA,Out-of-Sample,1195.2351,-38.0654,3,1618.5752,-66.3621,1.3438,1.7808,1.2853,2.0712,-423.3400999999999
