strategy,top_n,signal_date,trade_date,selected,skipped_not_yet_nasdaq100_count,first_skipped_tickers,equity_before_rebalance
Nasdaq-100 Top1 PIT membership,1,2019-12-31,2020-01-02,TSLA,3,"PDD, ALNY, DXCM",1.0
Nasdaq-100 Top1 PIT membership,1,2020-01-31,2020-02-03,TSLA,0,,1.5870200541201767
Nasdaq-100 Top1 PIT membership,1,2020-02-28,2020-03-02,TSLA,0,,1.6755241333526545
Nasdaq-100 Top1 PIT membership,1,2020-03-31,2020-04-01,TSLA,0,,1.1872791300333279
Nasdaq-100 Top1 PIT membership,1,2020-04-30,2020-05-01,DXCM,0,,1.7785630183287442
Nasdaq-100 Top1 PIT membership,1,2020-05-29,2020-06-01,TSLA,0,,2.055288080092884
Nasdaq-100 Top1 PIT membership,1,2020-06-30,2020-07-01,TSLA,1,ZS,2.594262082713283
Nasdaq-100 Top1 PIT membership,1,2020-07-31,2020-08-03,REGN,4,"PDD, SHOP, ZS, DDOG",3.471472595235808
Nasdaq-100 Top1 PIT membership,1,2020-08-31,2020-09-01,PDD,0,,3.366427799500578
Nasdaq-100 Top1 PIT membership,1,2020-09-30,2020-10-01,TSLA,0,,2.8206120245428092
Nasdaq-100 Top1 PIT membership,1,2020-10-30,2020-11-02,TSLA,0,,2.5213746902646963
Nasdaq-100 Top1 PIT membership,1,2020-11-30,2020-12-01,TSLA,0,,3.8242344892082283
Nasdaq-100 Top1 PIT membership,1,2020-12-31,2021-01-04,TSLA,1,MSTR,4.604132894194493
Nasdaq-100 Top1 PIT membership,1,2021-01-29,2021-02-01,TSLA,1,MSTR,5.210990407735392
Nasdaq-100 Top1 PIT membership,1,2021-02-26,2021-03-01,TSLA,1,MSTR,4.416309534073683
Nasdaq-100 Top1 PIT membership,1,2021-03-31,2021-04-01,PDD,2,"MSTR, WBD",4.405174493512025
Nasdaq-100 Top1 PIT membership,1,2021-04-30,2021-05-03,AMAT,2,"MSTR, FANG",4.156503103593037
Nasdaq-100 Top1 PIT membership,1,2021-05-28,2021-06-01,AMAT,3,"MSTR, FANG, STX",4.311092217578592
Nasdaq-100 Top1 PIT membership,1,2021-06-30,2021-07-01,AMAT,1,FANG,4.394831462483251
Nasdaq-100 Top1 PIT membership,1,2021-07-30,2021-08-02,NVDA,2,"FANG, FTNT",4.374361536712787
Nasdaq-100 Top1 PIT membership,1,2021-08-31,2021-09-01,NVDA,1,FTNT,4.993646746034685
Nasdaq-100 Top1 PIT membership,1,2021-09-30,2021-10-01,NVDA,1,FTNT,4.608323978065555
Nasdaq-100 Top1 PIT membership,1,2021-10-29,2021-11-01,DXCM,4,"DDOG, DASH, ZS, FTNT",5.696332896358326
Nasdaq-100 Top1 PIT membership,1,2021-11-30,2021-12-01,TSLA,0,,5.152734859160543
Nasdaq-100 Top1 PIT membership,1,2021-12-31,2022-01-03,TSLA,0,,5.095245700997018
