year,requested_start,requested_end,actual_start,actual_end,trading_days,total_return,cagr,max_drawdown,sharpe,buy_trades,sell_trades,final_holdings,ticker_count
2020,2020-01-01,2020-12-31,2020-01-02,2020-12-31,253,0.06449169752649131,0.06472018347890152,-0.4063036354462456,0.3739980930570445,130,128,"TSLA, TPR",502
2021,2021-01-01,2021-12-31,2021-01-04,2021-12-31,252,0.0793793861336094,0.08035049123504523,-0.28275314859646716,0.3919073119436594,143,141,"ON, DDOG",502
2022,2022-01-01,2022-12-31,2022-01-03,2022-12-30,251,-0.04524804936463689,-0.04576836838585374,-0.33155807502203993,0.07000914576881645,129,127,"VRT, NFLX",502
2023,2023-01-01,2023-12-31,2023-01-03,2023-12-29,250,1.1645300348601717,1.1890432178121433,-0.3093948776024614,1.860606528079551,95,93,"VRT, COIN",502
2024,2024-01-01,2024-12-31,2024-01-02,2024-12-31,252,-0.3161535442652864,-0.31704539559815326,-0.5610452316364973,-0.6894064131246568,122,120,"PLTR, APP",502
2025,2025-01-01,2025-12-31,2025-01-02,2025-12-31,250,0.4376073179316444,0.4408453987655918,-0.4197774901128202,0.9797658845218361,116,114,"SNDK, LITE",502
