date,best_rotation_equity,soxl_only_equity,soxl_buy_hold_equity,tqqq_buy_hold_equity
2010-06-25,1.0,1.0,1.0,1.0
2010-06-28,0.9910449034941454,1.0,1.011753470318912,0.9910449034941454
2010-06-29,0.8804530073168063,1.0,0.8739349565526389,0.8804530073168064
2010-06-30,0.8378218748915413,1.0,0.8316194251679434,0.836940491067804
2010-07-01,0.8296546351640263,1.0,0.8348512771626151,0.8287818432298019
2010-07-02,0.8251158263890854,1.0,0.8245667884695339,0.8242478092557503
2010-07-06,0.8294281818315749,1.0,0.823096189531438,0.828555628124962
2010-07-07,0.9078071955335111,1.0,0.9523950488526498,0.9068521875524662
2010-07-08,0.9231223624854914,1.0,0.945342700960002,0.9221512430363484
2010-07-09,0.9489875705355694,1.0,0.977961001287265,0.9479892410353928
2010-07-12,0.9597638605858543,1.0,1.0152795576235074,0.9587541944901378
2010-07-13,0.9925461142888943,1.0,1.080516389322643,0.9915019614496523
2010-07-14,1.0084230544597055,1.0,1.0705261359394858,1.0073621991701498
2010-07-15,1.0119426188583514,1.0,1.0567135960626302,1.0108780610071648
2010-07-16,0.9304970836761812,1.0,0.9562142162441226,0.9295182060624968
2010-07-19,0.9514833941921136,1.0,1.0285032803136014,0.9504824390997156
2010-07-20,0.9815433027794034,1.0,1.031442283266005,0.9805107248349817
2010-07-21,0.9471711068763787,1.0,0.968850565776263,0.9461746882855896
2010-07-22,1.0110322410359847,1.0,1.0575951467693552,1.009968640897064
2010-07-23,1.0373503557509653,1.0,1.0778715061578588,1.0362590691057882
2010-07-26,1.0601488379405455,1.0,1.1166605459098924,1.0590335674224116
2010-07-27,1.059922248354585,1.0,1.0937398809681278,1.0588072162074003
2010-07-28,1.0382564415877893,1.0,1.0370261693831928,1.0371642017454905
2010-07-29,1.0135282690727931,1.0,0.9741401010612225,1.012462043126644
2010-07-30,1.0204495385845433,1.0,0.9435793107407903,1.019376031502427
2010-08-02,1.0753507782263,1.0,0.9935346786983917,1.0742195153538738
2010-08-03,1.064234671923829,1.0,0.9635613770582175,1.0631151031316977
