strategy,generated_for_date,signal_month,signal_date,trade_date,rank,ticker,score,close_price_date,close_price,target_weight,total_target_exposure,rule
NASDAQ100 Top3 L126 S21 none DCA3,2026-06-01,2026-06,2026-05-29,2026-06-01,1,SNDK,3.826349,2026-06-01,1761.4301,0.333333,1.0,Rank Nasdaq-100 by 126-day momentum skipping 21 trading days; hold top 3; DCA3 exposure ramp.
NASDAQ100 Top3 L126 S21 none DCA3,2026-06-01,2026-06,2026-05-29,2026-06-01,2,LITE,1.946819,2026-06-01,905.0,0.333333,1.0,Rank Nasdaq-100 by 126-day momentum skipping 21 trading days; hold top 3; DCA3 exposure ramp.
NASDAQ100 Top3 L126 S21 none DCA3,2026-06-01,2026-06,2026-05-29,2026-06-01,3,WDC,1.65935,2026-06-01,546.2,0.333333,1.0,Rank Nasdaq-100 by 126-day momentum skipping 21 trading days; hold top 3; DCA3 exposure ramp.
