Segment,Strategy_Return_%,Strategy_MaxDD_%,Strategy_Trades,BuyHold_Return_%,BuyHold_MaxDD_%,Strategy_Sharpe,Strategy_Sortino,BuyHold_Sharpe,BuyHold_Sortino
In-Sample,1204.3474,-45.9792,6,1636.0498,-44.3769,0.9773,1.3146,1.0598,1.4504
Out-of-Sample,68.803,-13.823,1,130.8463,-33.4337,0.8064,0.6391,0.7005,1.0311
