ETF,First Data Date in Window,Start Used,End Used,Cumulative Return,CAGR,Sharpe Ratio,Max Drawdown,Trading Days
SPMO,2016-01-04,2016-01-04,2026-05-15,5.267572987282028,0.19382286674256588,0.9858971850162219,-0.3094754449221553,2607
VGT,2016-01-04,2016-01-04,2026-05-15,8.35005671535095,0.240816874635146,1.007638481654701,-0.35074062386872185,2607
SMH,2016-01-04,2016-01-04,2026-05-15,22.167828119767663,0.3543949922433465,1.1041132430177818,-0.4530263116932788,2607
QLD,2016-01-04,2016-01-04,2026-05-15,18.699033156568333,0.33335590866252884,0.8728822381893534,-0.6368448688292108,2607
TQQQ,2016-01-04,2016-01-04,2026-05-15,34.375691549712826,0.41087487191035277,0.8575076842286494,-0.8165985127529979,2607
SOXL,2016-01-04,2016-01-04,2026-05-15,103.64999880323286,0.5665887689061133,0.953943717339925,-0.9046051359595041,2607
