outcome,trades,average_return_pct,median_return_pct,average_holding_trading_days,median_holding_trading_days,average_holding_calendar_days,median_holding_calendar_days
loss,8,-15.07,-14.5,36.0,28.0,52.62,41.0
win,14,63.76,35.12,70.14,52.0,101.71,74.0
