strategy,passed_is_dd_lt_50,top_n,lookback,skip,cash_filter,dca_steps,is_return,is_cagr,is_max_drawdown,is_sharpe,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe
SMH_HIST_PIT Top1 L63 S0 none DCA1,False,1,63,0,none,1,37.15393200547434,0.43952399070367254,-0.593586692116618,1.1251504774518188,20.450385182589528,0.6153564886569094,-0.5512088255961894,1.193997081916949
SMH_HIST_PIT Top1 L63 S0 none DCA3,False,1,63,0,none,3,43.81091912354278,0.462871677590321,-0.593586692116618,1.1795262149242565,20.450385182589528,0.6153564886569094,-0.5512088255961894,1.193997081916949
SMH_HIST_PIT Top1 L63 S0 smh_sma100 DCA1,True,1,63,0,smh_sma100,1,14.522467514845655,0.31566404461793085,-0.3649617287660636,1.031641836488521,14.381021480342149,0.5334617558376904,-0.4124418027506853,1.1907198673636727
SMH_HIST_PIT Top1 L63 S0 smh_sma100 DCA3,True,1,63,0,smh_sma100,3,12.031781152179178,0.2928441878107637,-0.28428072067942867,1.1542108697142535,9.393819683013989,0.4422748253841593,-0.35067775164982473,1.0827158875901208
SMH_HIST_PIT Top1 L63 S0 smh_sma200 DCA1,False,1,63,0,smh_sma200,1,9.751427551038093,0.2682036263298524,-0.5927241455026746,0.8377399516425322,21.819003217709795,0.6310608928377279,-0.4515990194864591,1.2784111712872261
SMH_HIST_PIT Top1 L63 S0 smh_sma200 DCA3,False,1,63,0,smh_sma200,3,10.323772407212473,0.27480106036811125,-0.5547215937420339,0.8977141677391718,17.206622056009287,0.574454441816628,-0.4015166192277516,1.2212992537202758
SMH_HIST_PIT Top1 L63 S0 both_sma200 DCA1,False,1,63,0,both_sma200,1,9.751427551038093,0.2682036263298524,-0.5927241455026746,0.8377399516425322,21.819003217709795,0.6310608928377279,-0.4515990194864591,1.2784111712872261
SMH_HIST_PIT Top1 L63 S0 both_sma200 DCA3,False,1,63,0,both_sma200,3,10.323772407212473,0.27480106036811125,-0.5547215937420339,0.8977141677391718,17.206622056009287,0.574454441816628,-0.4015166192277516,1.2212992537202758
SMH_HIST_PIT Top1 L63 S21 none DCA1,True,1,63,21,none,1,40.638786780869424,0.45216626389541004,-0.4001303510248565,1.1940344476564506,5.792045632432191,0.3494128666260312,-0.38047202801423796,0.9093845454506764
SMH_HIST_PIT Top1 L63 S21 none DCA3,True,1,63,21,none,3,47.903801227413894,0.47571899622619274,-0.4001303510248565,1.2545862949241293,5.792045632432191,0.3494128666260312,-0.38047202801423796,0.9093845454506764
SMH_HIST_PIT Top1 L63 S21 smh_sma100 DCA1,True,1,63,21,smh_sma100,1,13.944809350118035,0.3106818679711836,-0.37319405808105777,1.055909257515843,3.2156152813995575,0.25240052698909143,-0.37026346820484046,0.7960878372718568
SMH_HIST_PIT Top1 L63 S21 smh_sma100 DCA3,True,1,63,21,smh_sma100,3,9.892308402782238,0.26985637223490166,-0.29355895960038114,1.118629897387198,2.7039660759058246,0.2273068470692856,-0.2868783178680603,0.758910677925017
SMH_HIST_PIT Top1 L63 S21 smh_sma200 DCA1,False,1,63,21,smh_sma200,1,5.227066043049178,0.20077318252423093,-0.5683304398374298,0.7130402135919307,6.099667936573514,0.35879532515969803,-0.29196814606968413,0.9833218792987602
SMH_HIST_PIT Top1 L63 S21 smh_sma200 DCA3,False,1,63,21,smh_sma200,3,5.09781977086459,0.19825628891945768,-0.5494980267378549,0.7380152195792089,4.827259171649586,0.3174586094428773,-0.24428801528667277,0.9242964510298333
SMH_HIST_PIT Top1 L63 S21 both_sma200 DCA1,False,1,63,21,both_sma200,1,6.6547539725569935,0.22582772485293812,-0.5683304398374299,0.7569781809995453,5.243942177938053,0.33176882704124044,-0.29196814606968424,0.939984979588474
SMH_HIST_PIT Top1 L63 S21 both_sma200 DCA3,False,1,63,21,both_sma200,3,6.68877205254659,0.226371625396524,-0.5494980267378549,0.7976004744646125,4.124897340085963,0.29125430039797484,-0.24428801528667277,0.8792006509141298
SMH_HIST_PIT Top1 L126 S0 none DCA1,True,1,126,0,none,1,38.105865872228726,0.44307734034600665,-0.4559661097784281,1.0867270823462953,6.99008573777036,0.3841421401278178,-0.5869232187726159,0.9117352745434406
SMH_HIST_PIT Top1 L126 S0 none DCA3,True,1,126,0,none,3,44.92894364347879,0.4664826591272142,-0.455966109778428,1.136091734929089,6.99008573777036,0.3841421401278178,-0.5869232187726159,0.9117352745434406
SMH_HIST_PIT Top1 L126 S0 smh_sma100 DCA1,False,1,126,0,smh_sma100,1,12.20687427809043,0.29457153049759444,-0.5295533306092335,0.9459610950627388,6.3886246751060485,0.3673011485778408,-0.38505951736999156,0.9656978658253534
SMH_HIST_PIT Top1 L126 S0 smh_sma100 DCA3,False,1,126,0,smh_sma100,3,8.228379374978147,0.2489705434756353,-0.5172606883451252,0.9325450925973282,5.1513637526546345,0.32866058023054645,-0.2758445195703624,0.9432698275583683
