date,equity,daily_return,holdings,selected
2024-05-24,1.1028138445,0.0352105016,SMCI VST CVNA HOOD VRT,CVNA SMCI VST HOOD VRT
2024-05-28,1.0789358560,-0.0216518759,SMCI VST CVNA HOOD VRT,CVNA VST SMCI HOOD VRT
2024-05-29,1.0764614672,-0.0022933605,SMCI VST CVNA HOOD VRT,CVNA VST SMCI HOOD VRT
2024-05-30,1.0761852047,-0.0002566394,SMCI VST CVNA HOOD VRT,CVNA VST SMCI HOOD VRT
2024-05-31,1.0326327633,-0.0404692809,SMCI VST CVNA HOOD VRT,CVNA VST SMCI HOOD VRT
2024-06-03,0.9919733973,-0.0393744684,SMCI VST CVNA HOOD VRT,CVNA SMCI VST NVDA HOOD
2024-06-04,0.9918276295,-0.0001469472,SMCI VST CVNA HOOD NVDA,CVNA SMCI VST NVDA HOOD
2024-06-05,1.0131672269,0.0215154295,SMCI VST CVNA HOOD NVDA,SMCI NVDA CVNA VST HOOD
2024-06-06,0.9911729655,-0.0217084218,SMCI VST CVNA HOOD NVDA,SMCI CVNA NVDA VST APP
2024-06-07,0.9988371723,0.0077324615,SMCI VST CVNA NVDA APP,SMCI CVNA NVDA VST APP
2024-06-10,1.0173207740,0.0185051200,SMCI VST CVNA NVDA APP,SMCI CVNA NVDA VST APP
2024-06-11,1.0113335588,-0.0058852776,SMCI VST CVNA NVDA APP,SMCI CVNA NVDA VST APP
2024-06-12,1.0062540729,-0.0050225624,SMCI VST CVNA NVDA APP,SMCI CVNA NVDA VST APP
2024-06-13,1.0137449903,0.0074443598,SMCI VST CVNA NVDA APP,SMCI NVDA CVNA VST APP
2024-06-14,1.0163431260,0.0025629085,SMCI VST CVNA NVDA APP,SMCI NVDA VST CVNA APP
2024-06-17,1.0282366113,0.0117022342,SMCI VST CVNA NVDA APP,SMCI NVDA VST CVNA APP
2024-06-18,1.0612030653,0.0320611556,SMCI VST CVNA NVDA APP,SMCI NVDA VST CVNA DELL
2024-06-20,1.0263958504,-0.0327997685,SMCI VST CVNA NVDA DELL,SMCI NVDA VST DELL CVNA
2024-06-21,1.0295258648,0.0030495198,SMCI VST CVNA NVDA DELL,SMCI NVDA VST DELL CVNA
2024-06-24,1.0165144510,-0.0126382584,SMCI VST CVNA NVDA DELL,SMCI NVDA VST CVNA DELL
2024-06-25,1.0463321328,0.0293332592,SMCI VST CVNA NVDA DELL,SMCI NVDA VST CVNA VRT
2024-06-26,1.0297039277,-0.0158918995,SMCI VST CVNA NVDA VRT,SMCI NVDA CVNA VST APP
2024-06-27,1.0656770756,0.0349354285,SMCI VST CVNA NVDA APP,SMCI NVDA CVNA VST APP
2024-06-28,1.0342849620,-0.0294574354,SMCI VST CVNA NVDA APP,SMCI NVDA CVNA VST APP
2024-07-01,1.0194850543,-0.0143093135,SMCI VST CVNA NVDA APP,SMCI NVDA CVNA VST APP
2024-07-02,1.0362660753,0.0164602913,SMCI VST CVNA NVDA APP,SMCI NVDA CVNA VST APP
2024-07-03,1.0680779488,0.0306985574,SMCI VST CVNA NVDA APP,SMCI NVDA CVNA VST APP
2024-07-05,1.0590597757,-0.0084433661,SMCI VST CVNA NVDA APP,SMCI CVNA NVDA VST APP
2024-07-08,1.0595499392,0.0004628290,SMCI VST CVNA NVDA APP,SMCI NVDA CVNA VST APP
2024-07-09,1.0606699338,0.0010570474,SMCI VST CVNA NVDA APP,SMCI CVNA NVDA VST APP
2024-07-10,1.0640640858,0.0032000077,SMCI VST CVNA NVDA APP,SMCI CVNA NVDA VST APP
2024-07-11,1.0310181611,-0.0310563294,SMCI VST CVNA NVDA APP,CVNA SMCI NVDA VST APP
2024-07-12,1.0521431738,0.0204894672,SMCI VST CVNA NVDA APP,CVNA SMCI VST NVDA APP
2024-07-15,1.0423875012,-0.0092721912,SMCI VST CVNA NVDA APP,CVNA SMCI NVDA VST APP
2024-07-16,1.0305768998,-0.0113303367,SMCI VST CVNA NVDA APP,CVNA SMCI NVDA HOOD VST
2024-07-17,0.9934537312,-0.0360217356,SMCI VST CVNA NVDA HOOD,CVNA SMCI HOOD NVDA APP
2024-07-18,0.9622307824,-0.0314286895,SMCI CVNA NVDA HOOD APP,CVNA SMCI NVDA HOOD APP
2024-07-19,0.9683010056,0.0063084899,SMCI CVNA NVDA HOOD APP,CVNA SMCI HOOD COIN NVDA
2024-07-22,0.9670064784,-0.0013369058,SMCI CVNA NVDA HOOD COIN,CVNA HOOD COIN NVDA APP
2024-07-23,0.9630676493,-0.0040732190,CVNA NVDA HOOD COIN APP,CVNA HOOD NVDA VST COIN
2024-07-24,0.9134599658,-0.0515100715,CVNA NVDA HOOD COIN VST,CVNA COIN HOOD NVDA VST
2024-07-25,0.8991962305,-0.0156150634,CVNA NVDA HOOD COIN VST,CVNA HOOD COIN NVDA VST
2024-07-26,0.8959509924,-0.0036090433,CVNA NVDA HOOD COIN VST,CVNA COIN HOOD NVDA VST
2024-07-29,0.8669123974,-0.0324109190,CVNA NVDA HOOD COIN VST,CVNA HOOD COIN NVDA VST
2024-07-30,0.8305478461,-0.0419472041,CVNA NVDA HOOD COIN VST,CVNA HOOD VST COIN HWM
2024-07-31,0.8203847278,-0.0122366439,CVNA HOOD COIN VST HWM,CVNA VST HOOD NVDA APP
2024-08-01,0.7877464008,-0.0397841719,CVNA HOOD VST NVDA APP,CVNA HOOD VST APP NVDA
2024-08-02,0.7713264527,-0.0208442058,CVNA HOOD VST NVDA APP,CVNA NVDA VST APP TPL
2024-08-05,0.8271690182,0.0723980947,CVNA VST NVDA APP TPL,CVNA MMM TPL VST IRM
2024-08-06,0.8454023449,0.0220430483,CVNA VST TPL MMM IRM,CVNA VST COIN TPL MMM
2024-08-07,0.8032570125,-0.0498523959,CVNA VST TPL MMM COIN,CVNA VST TPL MMM HOOD
2024-08-08,0.8276708637,0.0303935736,CVNA VST TPL MMM HOOD,CVNA VST TPL MMM HOOD
2024-08-09,0.8312987712,0.0043832733,CVNA VST TPL MMM HOOD,CVNA VST TPL APP MMM
2024-08-12,0.8206155905,-0.0128511928,CVNA VST TPL MMM APP,CVNA VST TPL MMM APP
2024-08-13,0.8444258366,0.0290151034,CVNA VST TPL MMM APP,CVNA VST TPL APP MMM
2024-08-14,0.8490273659,0.0054492995,CVNA VST TPL MMM APP,CVNA APP VST TPL MMM
2024-08-15,0.8588099493,0.0115221061,CVNA VST TPL MMM APP,CVNA VST APP TPL MMM
2024-08-16,0.8677148927,0.0103689337,CVNA VST TPL MMM APP,CVNA VST NVDA TPL MMM
2024-08-19,0.8821397439,0.0166239525,CVNA VST TPL MMM NVDA,CVNA NVDA VST TPL MMM
2024-08-20,0.8731913465,-0.0101439680,CVNA VST TPL MMM NVDA,CVNA NVDA VST MMM TPL
2024-08-21,0.8845819519,0.0130447988,CVNA VST TPL MMM NVDA,CVNA NVDA VST MMM IRM
2024-08-22,0.8753608916,-0.0104242013,CVNA VST MMM NVDA IRM,CVNA VST NEM MMM TPL
2024-08-23,0.8927504854,0.0198656279,CVNA VST MMM NEM TPL,CVNA VST MMM NEM TPL
2024-08-26,0.8905512350,-0.0024634547,CVNA VST MMM NEM TPL,CVNA NEM VST MMM TPL
2024-08-27,0.8972332263,0.0075032082,CVNA VST MMM NEM TPL,CVNA NEM MMM VST TPL
2024-08-28,0.8902685585,-0.0077623829,CVNA VST MMM NEM TPL,CVNA NEM MMM TPL NVDA
2024-08-29,0.8821951376,-0.0090685230,CVNA MMM NEM TPL NVDA,CVNA MMM NEM TPL VST
2024-08-30,0.8845384681,0.0026562496,CVNA MMM NEM TPL VST,CVNA MMM NEM TPL VST
2024-09-03,0.8486051186,-0.0406238403,CVNA MMM NEM TPL VST,CVNA MMM TPL NEM TRGP
2024-09-04,0.8409819373,-0.0089831903,CVNA MMM NEM TPL TRGP,CVNA MMM TPL NEM CHRW
2024-09-05,0.8287265738,-0.0145726834,CVNA MMM NEM TPL CHRW,CVNA MMM SATS TPL NEM
2024-09-06,0.8139950627,-0.0177760815,CVNA MMM NEM TPL SATS,MMM CVNA TPL SATS NEM
2024-09-09,0.8045068215,-0.0116563866,CVNA MMM NEM TPL SATS,MMM CVNA TPL SATS NEM
2024-09-10,0.7994036077,-0.0063432822,CVNA MMM NEM TPL SATS,MMM CVNA TPL VTR NEM
2024-09-11,0.8070834729,0.0096069934,CVNA MMM NEM TPL VTR,CVNA MMM APP TPL VTR
2024-09-12,0.8270522146,0.0247418544,CVNA MMM TPL VTR APP,CVNA APP NEM MMM VTR
2024-09-13,0.8379017155,0.0131182780,CVNA MMM VTR APP NEM,CVNA APP SATS NEM MMM
2024-09-16,0.8639446703,0.0310811569,CVNA MMM APP NEM SATS,SATS CVNA APP NEM FSLR
2024-09-17,0.8763029087,0.0143044327,CVNA APP NEM SATS FSLR,SATS CVNA APP FSLR TPL
2024-09-18,0.8810059050,0.0053668615,CVNA APP SATS FSLR TPL,CVNA SATS APP FSLR NEM
2024-09-19,0.8677348678,-0.0150635054,CVNA APP SATS FSLR NEM,CVNA SATS APP TPL FSLR
2024-09-20,0.8844167936,0.0192246808,CVNA APP SATS FSLR TPL,CVNA SATS APP TPL NEM
2024-09-23,0.8879952454,0.0040461147,CVNA APP SATS TPL NEM,CVNA SATS APP TPL NEM
2024-09-24,0.8857468618,-0.0025319771,CVNA APP SATS TPL NEM,CVNA SATS APP NEM TPL
2024-09-25,0.8847781361,-0.0010936823,CVNA APP SATS TPL NEM,SATS CVNA APP VST TPL
2024-09-26,0.8623242859,-0.0253779443,CVNA APP SATS TPL VST,GEV CVNA APP SATS VST
2024-09-27,0.8690891445,0.0078449126,CVNA APP SATS VST GEV,SATS CVNA APP GEV VST
2024-09-30,0.8643693423,-0.0054307458,CVNA APP SATS VST GEV,CVNA APP GEV SATS VST
2024-10-01,0.8721849531,0.0090419805,CVNA APP SATS VST GEV,CVNA APP SATS GEV VST
2024-10-02,0.8886079728,0.0188297443,CVNA APP SATS VST GEV,CVNA GEV APP SATS VST
2024-10-03,0.8988912583,0.0115723534,CVNA APP SATS VST GEV,CVNA GEV VST APP SATS
2024-10-04,0.9102818879,0.0126718660,CVNA APP SATS VST GEV,GEV CVNA APP VST SATS
2024-10-07,0.9055103398,-0.0052418356,CVNA APP SATS VST GEV,CVNA GEV APP VST SATS
2024-10-08,0.9220077064,0.0182188605,CVNA APP SATS VST GEV,CVNA GEV APP SATS VST
2024-10-09,0.9234262211,0.0015385064,CVNA APP SATS VST GEV,CVNA SATS GEV PLTR APP
2024-10-10,0.9293298073,0.0063931325,CVNA APP SATS GEV PLTR,CVNA GL GEV PLTR APP
2024-10-11,0.9377709378,0.0090830300,CVNA APP GEV PLTR GL,CVNA GEV COHR APP PLTR
2024-10-14,0.9329189661,-0.0051739412,CVNA APP GEV PLTR COHR,CVNA GEV APP PLTR COHR
2024-10-15,0.9235089124,-0.0100866785,CVNA APP GEV PLTR COHR,CVNA GEV APP PLTR VST
2024-10-16,0.9339200685,0.0112734766,CVNA APP GEV PLTR VST,CVNA APP GEV VST PLTR
2024-10-17,0.9058332617,-0.0300741014,CVNA APP GEV PLTR VST,CVNA APP COHR PLTR GEV
2024-10-18,0.9126121954,0.0074836441,CVNA APP GEV PLTR COHR,CVNA APP PLTR GEV VST
2024-10-21,0.9231916063,0.0115924496,CVNA APP GEV PLTR VST,CVNA APP PLTR GEV VST
2024-10-22,0.9277593091,0.0049477299,CVNA APP GEV PLTR VST,CVNA APP PLTR TPL GEV
2024-10-23,0.9296315617,0.0020180370,CVNA APP GEV PLTR TPL,CVNA APP PLTR GEV COHR
2024-10-24,0.9365570429,0.0074497053,CVNA APP GEV PLTR COHR,CVNA APP PLTR GEV TPL
2024-10-25,0.9419397238,0.0057473070,CVNA APP GEV PLTR TPL,CVNA APP PLTR GEV TPL
2024-10-28,0.9429707272,0.0010945535,CVNA APP GEV PLTR TPL,CVNA APP PLTR TPL GEV
2024-10-29,0.9617086107,0.0198711190,CVNA APP GEV PLTR TPL,CVNA APP PLTR TPL GEV
2024-10-30,0.9581078531,-0.0037441254,CVNA APP GEV PLTR TPL,APP CVNA TPL PLTR GEV
2024-10-31,0.9612921670,0.0033235442,CVNA APP GEV PLTR TPL,APP TPL CVNA GEV PLTR
2024-11-01,0.9375509170,-0.0246972260,CVNA APP GEV PLTR TPL,APP TPL CVNA GEV PLTR
2024-11-04,0.9392732933,0.0018371015,CVNA APP GEV PLTR TPL,TPL APP CVNA GEV PLTR
2024-11-05,0.9779367118,0.0411631193,CVNA APP GEV PLTR TPL,PLTR TPL APP CVNA GEV
2024-11-06,0.9858818530,0.0081243920,CVNA APP GEV PLTR TPL,PLTR TPL APP CVNA GEV
2024-11-07,1.0134730789,0.0279863411,CVNA APP GEV PLTR TPL,APP PLTR TPL GEV COHR
2024-11-08,1.0676263387,0.0534333481,APP GEV PLTR TPL COHR,APP PLTR TPL CVNA COHR
2024-11-11,1.0590983383,-0.0079878138,APP PLTR TPL COHR CVNA,APP PLTR TPL GEV CVNA
2024-11-12,1.0541273900,-0.0046935663,APP PLTR TPL CVNA GEV,APP PLTR TPL CVNA AXON
2024-11-13,1.0333432012,-0.0197169611,APP PLTR TPL CVNA AXON,APP PLTR TPL AXON GEV
2024-11-14,1.0216302451,-0.0113350106,APP PLTR TPL AXON GEV,APP PLTR TPL AXON CVNA
2024-11-15,1.0497769809,0.0275508051,APP PLTR TPL AXON CVNA,APP PLTR TPL AXON CVNA
2024-11-18,1.0465793229,-0.0030460355,APP PLTR TPL AXON CVNA,APP PLTR TPL CVNA AXON
2024-11-19,1.0941282548,0.0454327071,APP PLTR TPL AXON CVNA,APP PLTR TPL CVNA AXON
2024-11-20,1.0923019201,-0.0016692145,APP PLTR TPL AXON CVNA,APP PLTR TPL AXON CVNA
2024-11-21,1.1002702029,0.0072949454,APP PLTR TPL AXON CVNA,APP PLTR TPL CVNA AXON
2024-11-22,1.1535957085,0.0484658272,APP PLTR TPL AXON CVNA,APP PLTR TPL CVNA AXON
2024-11-25,1.1021511098,-0.0445949983,APP PLTR TPL AXON CVNA,APP PLTR TPL CVNA AXON
2024-11-26,1.1053769578,0.0029268655,APP PLTR TPL AXON CVNA,APP PLTR TPL CVNA AXON
2024-11-27,1.1160628187,0.0096671645,APP PLTR TPL AXON CVNA,APP PLTR TPL CVNA AXON
2024-11-29,1.1174691488,0.0012600815,APP PLTR TPL AXON CVNA,APP PLTR TPL CVNA AXON
2024-12-02,1.0926501687,-0.0222099913,APP PLTR TPL AXON CVNA,APP PLTR CVNA TPL AXON
2024-12-03,1.1422514580,0.0453953980,APP PLTR TPL AXON CVNA,APP PLTR TPL CVNA AXON
2024-12-04,1.1232667889,-0.0166203938,APP PLTR TPL AXON CVNA,APP PLTR CVNA AXON TPL
2024-12-05,1.1214842744,-0.0015869022,APP PLTR TPL AXON CVNA,APP PLTR AXON CVNA TPL
2024-12-06,1.1354874459,0.0124862843,APP PLTR TPL AXON CVNA,APP PLTR AXON CVNA TPL
2024-12-09,1.0678079618,-0.0596039035,APP PLTR TPL AXON CVNA,APP PLTR CVNA AXON TSLA
2024-12-10,1.0484261392,-0.0181510378,APP PLTR AXON CVNA TSLA,APP PLTR TSLA CVNA AXON
2024-12-11,1.0706923504,0.0212377490,APP PLTR AXON CVNA TSLA,APP PLTR TSLA CVNA AXON
2024-12-12,1.0585825876,-0.0113102170,APP PLTR AXON CVNA TSLA,APP PLTR CVNA TSLA AXON
2024-12-13,1.0766651072,0.0170818223,APP PLTR AXON CVNA TSLA,APP PLTR TSLA CVNA AXON
2024-12-16,1.1068676943,0.0280519792,APP PLTR AXON CVNA TSLA,APP PLTR TSLA CVNA AXON
2024-12-17,1.1073604441,0.0004451750,APP PLTR AXON CVNA TSLA,APP PLTR TSLA CVNA AXON
2024-12-18,1.0418779550,-0.0591338525,APP PLTR AXON CVNA TSLA,APP PLTR TSLA CVNA AXON
2024-12-19,1.0196491231,-0.0213353510,APP PLTR AXON CVNA TSLA,APP PLTR TSLA AXON UAL
2024-12-20,1.0719945179,0.0513366741,APP PLTR AXON TSLA UAL,APP PLTR TSLA AXON UAL
2024-12-23,1.0709908862,-0.0009362284,APP PLTR AXON TSLA UAL,APP PLTR TSLA AXON UAL
2024-12-24,1.0932983761,0.0208288326,APP PLTR AXON TSLA UAL,APP PLTR TSLA AXON UAL
2024-12-26,1.0882978635,-0.0045737858,APP PLTR AXON TSLA UAL,APP PLTR TSLA UAL AXON
2024-12-27,1.0619860272,-0.0241770540,APP PLTR AXON TSLA UAL,APP PLTR TSLA AXON UAL
2024-12-30,1.0665470799,0.0042948331,APP PLTR AXON TSLA UAL,APP PLTR AXON UAL TSLA
2024-12-31,1.0398039015,-0.0250745409,APP PLTR AXON TSLA UAL,APP PLTR AXON UAL GEV
