month,signal_date,trade_date,previous_ticker,selected_ticker,action,entry_price,exit_or_valuation_date,exit_or_valuation_price,score,monthly_return,cumulative_equity,validation
2025-01,2024-12-31,2025-01-02,,APP,BUY,331.05999755859375,2025-02-03,353.510009765625,3.02425906754175,0.0678125184938958,1.0678125184938958,OK
2025-02,2025-01-31,2025-02-03,APP,APP,HOLD,353.510009765625,2025-03-03,350.239990234375,3.3499352985770043,-0.0092501469291294,1.0579350958050635,OK
2025-03,2025-02-28,2025-03-03,APP,APP,HOLD,350.239990234375,2025-04-01,264.2200012207031,3.056921195538756,-0.24560299055544366,0.7981030724617801,OK
2025-04,2025-03-31,2025-04-01,APP,APP,HOLD,264.2200012207031,2025-05-01,282.0,1.5422615922967946,0.06729240291103178,0.8518093459784106,OK
2025-05,2025-04-30,2025-05-01,APP,PLTR,SWITCH,120.04000091552734,2025-06-02,131.43499755859375,0.8814088358795829,0.09492666241384917,0.9326687642050648,OK
2025-06,2025-05-30,2025-06-02,PLTR,PLTR,HOLD,131.43499755859375,2025-07-01,135.27000427246094,0.8320185560087823,0.029177972268440433,0.9598821475426809,OK
2025-07,2025-06-30,2025-07-01,PLTR,PLTR,HOLD,135.27000427246094,2025-08-01,155.0500030517578,0.4848264599784158,0.14622605274304568,1.1002419250763649,OK
2025-08,2025-07-31,2025-08-01,PLTR,PLTR,HOLD,155.0500030517578,2025-09-02,151.1999969482422,0.6384151100269431,-0.02483073865035934,1.0729221053826254,OK
2025-09,2025-08-29,2025-09-02,PLTR,PLTR,HOLD,151.1999969482422,2025-10-01,181.32000732421875,0.8646962967248766,0.19920642185123216,1.286655078920989,OK
2025-10,2025-09-30,2025-10-01,PLTR,WDC,SWITCH,118.02855982084074,2025-11-03,151.87514741768607,0.9908406480475092,0.2867660814316646,1.65562411405731,OK
2025-11,2025-10-31,2025-11-03,WDC,SNDK,SWITCH,210.85000610351562,2025-12-01,211.83999633789062,2.6087207524179523,0.0046952345540316465,1.66339765760612,OK
2025-12,2025-11-28,2025-12-01,SNDK,SNDK,HOLD,211.83999633789062,2026-01-02,244.35000610351562,4.422128099138004,0.15346492790611,1.9186708592098354,OK
2026-01,2025-12-31,2026-01-02,SNDK,SNDK,HOLD,244.35000610351562,2026-02-02,588.8099975585938,3.5481498016208795,1.4096991317821055,4.623419503613567,OK
2026-02,2026-01-30,2026-02-02,SNDK,SNDK,HOLD,588.8099975585938,2026-03-02,618.64501953125,4.596924777935193,0.05067003294163208,4.857688322164651,OK
2026-03,2026-02-27,2026-03-02,SNDK,SNDK,HOLD,618.64501953125,2026-04-01,652.2899780273438,9.892444670547253,0.05438491773777909,5.121873301961346,OK
2026-04,2026-03-31,2026-04-01,SNDK,SNDK,HOLD,652.2899780273438,2026-05-01,1059.02001953125,4.454449489778359,0.6235417608805516,8.315575199673408,OK
2026-05,2026-04-30,2026-05-01,SNDK,SNDK,HOLD,1059.02001953125,2026-05-15,1407.6099853515625,2.6195523914650924,0.32916277255514736,11.052752987788729,OK
