Date,Close,EMA200_weekly,ATR14,Equity,InPosition
2020-12-31,222.4199981689453,137.8785944851395,3.852142333984375,1.0,0
2021-01-04,217.69000244140625,138.7198024819933,4.136427743094308,1.0,0
2021-01-05,217.89999389648438,138.7198024819933,4.099999564034598,1.0,0
2021-01-06,212.25,138.7198024819933,4.298570905412946,1.0,0
2021-01-07,218.2899932861328,138.7198024819933,4.3778566632952005,1.0,0
2021-01-08,219.6199951171875,139.5247795231395,4.419285365513393,1.0,0
2021-01-11,217.49000549316406,139.5247795231395,4.3635711669921875,1.0,0
2021-01-12,214.92999267578125,139.5247795231395,4.181428091866629,1.0,0
2021-01-13,216.33999633789062,139.5247795231395,4.1135711669921875,1.0,0
2021-01-14,213.02000427246094,139.5247795231395,4.2264284406389505,1.0,0
2021-01-15,212.64999389648438,140.25239359650612,4.218571254185268,1.0,0
2021-01-19,216.44000244140625,140.25239359650612,4.294999258858817,1.0,0
2021-01-20,224.33999633789062,140.25239359650612,4.705713544573102,1.0,0
2021-01-21,224.97000122070312,140.25239359650612,4.685713631766183,1.0,0
2021-01-22,225.9499969482422,141.1051060676677,4.81285640171596,1.0,0
2021-01-25,229.52999877929688,141.1051060676677,4.624998910086496,1.0,0
2021-01-26,232.3300018310547,141.1051060676677,4.755712236676898,1.0,0
2021-01-27,232.89999389648438,141.1051060676677,5.065713065011161,1.0,0
2021-01-28,238.92999267578125,141.1051060676677,5.254999433244977,1.0,0
2021-01-29,231.9600067138672,142.00913492981894,5.542855398995536,1.0,0
2021-02-01,239.64999389648438,142.00913492981894,6.089283534458706,1.0,0
2021-02-02,239.50999450683594,142.00913492981894,6.04999760219029,1.0,0
2021-02-03,243.0,142.00913492981894,6.264283316476004,1.0,0
2021-02-04,242.00999450683594,142.00913492981894,6.13214111328125,1.0,0
2021-02-05,242.1999969482422,143.00605893000227,6.159284319196429,1.0,0
2021-02-08,242.47000122070312,143.00605893000227,6.0535703386579245,1.0,0
2021-02-09,243.77000427246094,143.00605893000227,5.627141680036273,1.0,0
2021-02-10,242.82000732421875,143.00605893000227,5.709284101213727,1.0,0
2021-02-11,244.49000549316406,143.00605893000227,5.5592836652483255,1.0,0
2021-02-12,244.99000549316406,144.02082456744665,5.34571293422154,1.0,0
2021-02-16,243.6999969482422,144.02082456744665,5.242856706891741,1.0,0
2021-02-17,244.1999969482422,144.02082456744665,4.747856140136719,1.0,0
2021-02-18,243.7899932861328,144.02082456744665,4.290712629045759,1.0,0
2021-02-19,240.97000122070312,144.98549299185717,4.012142726353237,1.0,0
2021-02-22,234.50999450683594,144.98549299185717,3.871429443359375,1.0,0
2021-02-23,233.27000427246094,144.98549299185717,4.048573085239956,1.0,0
