signal_date,execution_date,execution_type,action,symbol,units_after,price,drop_from_anchor_pct,from_symbol,to_symbol,units_before,reason
2010-06-29,2010-06-30,next_open,BUY_EXTRA_1,TQQQ,2.0,0.1899,-11.95,,,,
2010-06-30,2010-07-01,next_open,RESET_ON_ROTATION,,,0.4321,,TQQQ,SOXL,2.0,
2010-07-01,2010-07-02,next_open,RESET_ON_ROTATION,,,0.1819,,SOXL,TQQQ,1.0,
2010-07-16,2010-07-19,next_open,BUY_EXTRA_1,TQQQ,2.0,0.2047,-8.05,,,,
2010-07-26,2010-07-27,next_open,SELL_EXTRAS,TQQQ,1.0,0.2353,,,,2.0,extra shares profit >= 12%
2010-08-11,2010-08-12,next_open,BUY_EXTRA_1,TQQQ,2.0,0.2036,-10.18,,,,
2010-08-23,2010-08-24,next_open,BUY_EXTRA_2,TQQQ,3.0,0.1962,-15.89,,,,
2010-08-26,2010-08-27,next_open,SELL_EXTRAS,TQQQ,1.0,0.1938,,,,3.0,extra shares max holding days 10
2010-08-27,2010-08-30,next_open,BUY_EXTRA_1,TQQQ,2.0,0.1937,-18.39,,,,
2010-08-30,2010-08-31,next_open,BUY_EXTRA_2,TQQQ,3.0,0.1876,-21.03,,,,
2010-09-03,2010-09-07,next_open,SELL_EXTRAS,TQQQ,1.0,0.2202,,,,3.0,extra shares profit >= 12%
2010-09-07,2010-09-08,next_open,BUY_EXTRA_1,TQQQ,2.0,0.2202,-9.68,,,,
2010-09-15,2010-09-16,next_open,SELL_EXTRAS,TQQQ,1.0,0.248,,,,2.0,extra shares profit >= 12%
2010-10-04,2010-10-05,next_open,BUY_EXTRA_1,TQQQ,2.0,0.2702,-6.68,,,,
2010-10-15,2010-10-18,next_open,SELL_EXTRAS,TQQQ,1.0,0.3125,,,,2.0,extra shares profit >= 12%
2010-11-12,2010-11-15,next_open,BUY_EXTRA_1,TQQQ,2.0,0.3347,-6.79,,,,
2010-11-30,2010-12-01,next_open,SELL_EXTRAS,TQQQ,1.0,0.3342,,,,2.0,extra shares max holding days 10
2011-01-04,2011-01-05,next_open,RESET_ON_ROTATION,,,0.7667,,TQQQ,SOXL,1.0,
2011-01-19,2011-01-20,next_open,BUY_EXTRA_1,SOXL,2.0,0.8959,-8.06,,,,
2011-02-03,2011-02-04,next_open,SELL_EXTRAS,SOXL,1.0,1.0089,,,,2.0,extra shares max holding days 10
2011-02-22,2011-02-23,next_open,BUY_EXTRA_1,SOXL,2.0,0.9958,-12.93,,,,
2011-02-23,2011-02-24,next_open,BUY_EXTRA_2,SOXL,3.0,0.9455,-17.6,,,,
2011-03-09,2011-03-10,next_open,SELL_EXTRAS,SOXL,1.0,0.8187,,,,3.0,extra shares max holding days 10
2011-03-10,2011-03-11,next_open,BUY_EXTRA_1,SOXL,2.0,0.7812,-29.66,,,,
2011-03-11,2011-03-14,next_open,BUY_EXTRA_2,SOXL,3.0,0.814,-27.78,,,,
2011-03-25,2011-03-28,next_open,SELL_EXTRAS,SOXL,1.0,0.8766,,,,3.0,extra shares max holding days 10
2011-03-28,2011-03-29,next_open,BUY_EXTRA_1,SOXL,2.0,0.8639,-23.4,,,,
2011-03-29,2011-03-30,next_open,BUY_EXTRA_2,SOXL,3.0,0.9119,-21.3,,,,
2011-04-04,2011-04-05,next_open,RESET_ON_ROTATION,,,0.416,,SOXL,TQQQ,3.0,
2011-04-18,2011-04-19,next_open,BUY_EXTRA_1,TQQQ,2.0,0.3988,-5.09,,,,
2011-04-26,2011-04-27,next_open,SELL_EXTRAS,TQQQ,1.0,0.454,,,,2.0,extra shares profit >= 12%
2011-05-16,2011-05-17,next_open,BUY_EXTRA_1,TQQQ,2.0,0.4126,-9.24,,,,
2011-06-01,2011-06-02,next_open,SELL_EXTRAS,TQQQ,1.0,0.4126,,,,2.0,extra shares max holding days 10
2011-06-02,2011-06-03,next_open,BUY_EXTRA_1,TQQQ,2.0,0.3987,-10.47,,,,
2011-06-06,2011-06-07,next_open,BUY_EXTRA_2,TQQQ,3.0,0.3878,-16.6,,,,
2011-06-09,2011-06-10,next_open,RESET_ON_ROTATION,,,0.6901,,TQQQ,SOXL,3.0,
2011-06-10,2011-06-13,next_open,RESET_ON_ROTATION,,,0.3603,,SOXL,TQQQ,1.0,
2011-06-15,2011-06-16,next_open,BUY_EXTRA_1,TQQQ,2.0,0.3522,-5.46,,,,
2011-06-30,2011-07-01,next_open,SELL_EXTRAS,TQQQ,1.0,0.4094,,,,2.0,extra shares max holding days 10
2011-07-11,2011-07-12,next_open,BUY_EXTRA_1,TQQQ,2.0,0.4268,-6.15,,,,
2011-07-26,2011-07-27,next_open,SELL_EXTRAS,TQQQ,1.0,0.4547,,,,2.0,extra shares max holding days 10
2011-07-27,2011-07-28,next_open,BUY_EXTRA_1,TQQQ,2.0,0.4288,-7.63,,,,
2011-08-02,2011-08-03,next_open,BUY_EXTRA_2,TQQQ,3.0,0.3894,-16.16,,,,
2011-08-08,2011-08-09,next_open,RESET_ON_ROTATION,,,0.3723,,TQQQ,SOXL,3.0,
2011-08-09,2011-08-10,next_open,RESET_ON_ROTATION,,,0.2944,,SOXL,TQQQ,1.0,
2011-08-10,2011-08-11,next_open,BUY_EXTRA_1,TQQQ,2.0,0.2891,-5.46,,,,
2011-08-15,2011-08-16,next_open,SELL_EXTRAS,TQQQ,1.0,0.3268,,,,2.0,extra shares profit >= 12%
2011-08-18,2011-08-19,next_open,BUY_EXTRA_1,TQQQ,2.0,0.2659,-18.05,,,,
2011-08-19,2011-08-22,next_open,BUY_EXTRA_2,TQQQ,3.0,0.2781,-22.64,,,,
2011-08-26,2011-08-29,next_open,SELL_EXTRAS,TQQQ,1.0,0.3176,,,,3.0,extra shares profit >= 12%
2011-09-02,2011-09-06,next_open,BUY_EXTRA_1,TQQQ,2.0,0.288,-9.63,,,,
2011-09-07,2011-09-08,next_open,SELL_EXTRAS,TQQQ,1.0,0.3279,,,,2.0,extra shares profit >= 12%
2011-09-09,2011-09-12,next_open,BUY_EXTRA_1,TQQQ,2.0,0.2968,-10.46,,,,
2011-09-14,2011-09-15,next_open,SELL_EXTRAS,TQQQ,1.0,0.3571,,,,2.0,extra shares profit >= 12%
2011-09-21,2011-09-22,next_open,BUY_EXTRA_1,TQQQ,2.0,0.3209,-6.43,,,,
2011-09-22,2011-09-23,next_open,BUY_EXTRA_2,TQQQ,3.0,0.3055,-15.53,,,,
2011-10-06,2011-10-07,next_open,SELL_EXTRAS,TQQQ,1.0,0.324,,,,3.0,extra shares max holding days 10
2011-10-07,2011-10-10,next_open,BUY_EXTRA_1,TQQQ,2.0,0.3345,-14.26,,,,
2011-10-14,2011-10-17,next_open,SELL_EXTRAS,TQQQ,1.0,0.3889,,,,2.0,extra shares profit >= 12%
2011-10-19,2011-10-20,next_open,BUY_EXTRA_1,TQQQ,2.0,0.3666,-6.87,,,,
2011-11-03,2011-11-04,next_open,SELL_EXTRAS,TQQQ,1.0,0.3818,,,,2.0,extra shares max holding days 10
2011-11-04,2011-11-07,next_open,BUY_EXTRA_1,TQQQ,2.0,0.3815,-6.16,,,,
2011-11-17,2011-11-18,next_open,BUY_EXTRA_2,TQQQ,3.0,0.3413,-16.04,,,,
2011-11-21,2011-11-22,next_open,SELL_EXTRAS,TQQQ,1.0,0.3111,,,,3.0,extra shares max holding days 10
2011-11-22,2011-11-23,next_open,BUY_EXTRA_1,TQQQ,2.0,0.31,-22.14,,,,
2011-11-23,2011-11-25,next_open,BUY_EXTRA_2,TQQQ,3.0,0.2923,-27.32,,,,
2011-11-30,2011-12-01,next_open,SELL_EXTRAS,TQQQ,1.0,0.3476,,,,3.0,extra shares profit >= 12%
2011-12-01,2011-12-02,next_open,BUY_EXTRA_1,TQQQ,2.0,0.3651,-12.77,,,,
2011-12-08,2011-12-09,next_open,BUY_EXTRA_2,TQQQ,3.0,0.3452,-15.83,,,,
