rank_balanced,variant,unit_exposure,max_exposure,anchor_mode,add1_drop_pct,add2_drop_pct,sell_mode,sell_param_pct,max_extra_days,trend_guard_sma,trend_guard_exposure,equity_dd_guard_pct,equity_dd_guard_exposure,net_return_pct,cagr_pct,max_drawdown_pct,calmar,sharpe,dca_trade_events,rotation_resets,max_exposure_used,avg_exposure,days_above_1x_pct,base_rotation_return_pct,base_rotation_max_drawdown_pct,soxl_only_return_pct,soxl_only_max_drawdown_pct,beats_base_return,reduces_base_drawdown,beats_soxl_only_return,reduces_soxl_only_drawdown
2577,"unit=0.50, cap=1.50, anchor=rolling_high, add=10%/20%, sell=rebound_from_low 20%, max_days=10, trend_sma=100, dd_guard=none",0.5,1.5,rolling_high,10.0,20.0,rebound_from_low,20.0,10,100,1.0,none,none,354995.71,67.21,-73.43,0.915,1.17,432,123,1.5,0.706,3.7,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2578,"unit=0.75, cap=1.50, anchor=rolling_high, add=10%/20%, sell=rebound_from_low 20%, max_days=20, trend_sma=none, dd_guard=none",0.75,1.5,rolling_high,10.0,20.0,rebound_from_low,20.0,20,none,none,none,none,354599.02,67.2,-87.76,0.766,1.04,314,123,1.5,1.065,42.05,775116.8,-79.24,41069.8,-66.18,False,False,True,False
2579,"unit=0.75, cap=1.50, anchor=rolling_high, add=10%/30%, sell=rebound_from_low 20%, max_days=20, trend_sma=none, dd_guard=none",0.75,1.5,rolling_high,10.0,30.0,rebound_from_low,20.0,20,none,none,none,none,354599.02,67.2,-87.76,0.766,1.04,269,123,1.5,1.065,42.05,775116.8,-79.24,41069.8,-66.18,False,False,True,False
2580,"unit=0.50, cap=1.50, anchor=rolling_high, add=5%/40%, sell=rebound_from_low 20%, max_days=20, trend_sma=none, dd_guard=45.0",0.5,1.5,rolling_high,5.0,40.0,rebound_from_low,20.0,20,none,none,45.0,0.75,354242.2,67.19,-69.78,0.963,1.16,369,123,1.5,0.814,0.3,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2581,"unit=1.00, cap=2.00, anchor=rolling_high, add=10%/20%, sell=extra_profit 20%, max_days=10, trend_sma=none, dd_guard=none",1.0,2.0,rolling_high,10.0,20.0,extra_profit,20.0,10,none,none,none,none,353964.88,67.18,-96.51,0.696,1.03,427,123,2.0,1.375,37.57,775116.8,-79.24,41069.8,-66.18,False,False,True,False
2582,"unit=0.50, cap=1.50, anchor=rolling_high, add=10%/20%, sell=rebound_from_low 20%, max_days=20, trend_sma=200, dd_guard=none",0.5,1.5,rolling_high,10.0,20.0,rebound_from_low,20.0,20,200,1.0,none,none,348552.05,67.02,-70.61,0.949,1.13,314,123,1.5,0.754,8.72,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2583,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/40%, sell=extra_profit 20%, max_days=20, trend_sma=none, dd_guard=45.0",0.5,1.0,rolling_high,5.0,40.0,extra_profit,20.0,20,none,none,45.0,0.75,347251.24,66.98,-69.22,0.968,1.16,349,123,1.0,0.82,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2584,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/20%, sell=extra_profit 20%, max_days=20, trend_sma=none, dd_guard=45.0",0.5,1.0,rolling_high,5.0,20.0,extra_profit,20.0,20,none,none,45.0,0.75,346335.05,66.95,-68.81,0.973,1.17,412,123,1.0,0.819,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2585,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/20%, sell=rebound_from_low 20%, max_days=10, trend_sma=none, dd_guard=45.0",0.5,1.0,rolling_high,5.0,20.0,rebound_from_low,20.0,10,none,none,45.0,0.75,343605.49,66.87,-69.84,0.958,1.17,630,123,1.0,0.788,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2586,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/40%, sell=rebound_from_low 20%, max_days=10, trend_sma=none, dd_guard=45.0",0.5,1.0,rolling_high,5.0,40.0,rebound_from_low,20.0,10,none,none,45.0,0.75,343605.49,66.87,-69.84,0.958,1.17,545,123,1.0,0.788,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2587,"unit=0.75, cap=2.00, anchor=rolling_high, add=5%/20%, sell=rebound_from_low 20%, max_days=20, trend_sma=none, dd_guard=45.0",0.75,2.0,rolling_high,5.0,20.0,rebound_from_low,20.0,20,none,none,45.0,0.75,343045.14,66.85,-78.58,0.851,1.06,435,123,2.0,1.043,36.9,775116.8,-79.24,41069.8,-66.18,False,True,True,False
