Date,Close,EMA200_weekly,ATR14,Equity,InPosition
2020-12-31,235.22332763671875,52.369424398637264,10.773094177246094,1.0,0
2021-01-04,243.2566680908203,54.18886622190176,10.976666041782924,1.0,0
2021-01-05,245.0366668701172,54.18886622190176,10.71190425327846,1.0,0
2021-01-06,251.9933319091797,54.18886622190176,11.087856837681361,1.0,0
2021-01-07,272.0133361816406,54.18886622190176,11.867856706891741,1.0,0
2021-01-08,293.3399963378906,56.56847945688673,12.561426435198102,1.0,0
2021-01-11,270.39666748046875,56.56847945688673,12.798093523297991,1.0,0
2021-01-12,283.14666748046875,56.56847945688673,12.985713413783483,1.0,0
2021-01-13,284.8033447265625,56.56847945688673,12.814760480608259,1.0,0
2021-01-14,281.6666564941406,56.56847945688673,12.703329903738839,1.0,0
2021-01-15,275.38665771484375,58.74577476293605,13.077378409249443,1.0,0
2021-01-19,281.51666259765625,58.74577476293605,13.154522487095424,1.0,0
2021-01-20,283.48333740234375,58.74577476293605,13.328808375767299,1.0,0
2021-01-21,281.663330078125,58.74577476293605,12.940475463867188,1.0,0
2021-01-22,282.21331787109375,60.96933240580329,12.74476078578404,1.0,0
2021-01-25,293.6000061035156,60.96933240580329,13.286665780203682,1.0,0
2021-01-26,294.36334228515625,60.96933240580329,13.349999564034599,1.0,0
2021-01-27,288.0533447265625,60.96933240580329,13.205951145717076,1.0,0
2021-01-28,278.4766540527344,60.96933240580329,13.257143293108259,1.0,0
2021-01-29,264.510009765625,62.99461277754281,13.110955374581474,1.0,0
2021-02-01,279.9366760253906,62.99461277754281,12.445953369140625,1.0,0
2021-02-02,290.92999267578125,62.99461277754281,12.062142508370536,1.0,0
2021-02-03,284.89666748046875,62.99461277754281,11.98000008719308,1.0,0
2021-02-04,283.3299865722656,62.99461277754281,11.952144077845983,1.0,0
2021-02-05,284.07666015625,65.19443414449512,11.594999040876116,1.0,0
2021-02-08,287.8066711425781,65.19443414449512,11.635474068777901,1.0,0
2021-02-09,283.1533203125,65.19443414449512,11.622377668108259,1.0,0
2021-02-10,268.2733459472656,65.19443414449512,12.459043230329241,1.0,0
2021-02-11,270.5533447265625,65.19443414449512,12.667853219168526,1.0,0
2021-02-12,272.0400085449219,67.25259906390235,11.963566371372767,1.0,0
2021-02-16,265.40667724609375,67.25259906390235,12.064993722098214,1.0,0
2021-02-17,266.04998779296875,67.25259906390235,12.183805193219866,1.0,0
2021-02-18,262.4599914550781,67.25259906390235,11.20094735281808,1.0,0
2021-02-19,260.4333190917969,69.17479528308539,10.179757254464286,1.0,0
2021-02-22,238.1666717529297,69.17479528308539,10.71856689453125,1.0,0
2021-02-23,232.94667053222656,69.17479528308539,12.023568289620536,1.0,0
2021-02-24,247.33999633789062,69.17479528308539,12.638092041015625,1.0,0
2021-02-25,227.4066619873047,69.17479528308539,13.789520263671875,1.0,0
2021-02-26,225.1666717529297,70.72695325790971,14.298807416643415,1.0,0
2021-03-01,239.47666931152344,70.72695325790971,14.726426260811943,1.0,0
2021-03-02,228.81333923339844,70.72695325790971,15.070236206054688,1.0,0
2021-03-03,217.73333740234375,70.72695325790971,15.059523446219307,1.0,0
2021-03-04,207.14666748046875,70.72695325790971,16.019047328404017,1.0,0
2021-03-05,199.31666564941406,72.00645288369583,17.360714503696986,1.0,0
2021-03-08,187.6666717529297,72.00645288369583,18.141191755022323,1.0,0
2021-03-09,224.52667236328125,72.00645288369583,19.980713980538503,1.0,0
2021-03-10,222.68666076660156,72.00645288369583,20.954762050083705,1.0,0
