variant,cash_mode,cash_sma,cash_exit_buffer,cash_reentry_buffer,unit_exposure,max_exposure,add1_drop,add2_drop,sell_mode,sell_param,max_extra_days,trend_guard_sma,trend_guard_exposure,vol_target,vol_window,is_range,is_return_pct,is_max_drawdown_pct,is_sharpe,is_cash_days_pct,oos_range,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,oos_cash_days_pct,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,max_exposure_used,trade_events,rotation_resets
"cash=selected SMA150 exit=0% reentry=0%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 10%, max_days=10, trend_sma=75, trend_exp=0.25, vol_target=35%/50d",selected,150,0.0,0.0,0.67,1.0,0.05,0.15,extra_profit,0.1,10,75.0,0.25,0.35,50,2010-06-25 to 2019-12-31,449.05,-38.0,0.76,17.65,2020-01-02 to 2026-05-20,769.55,-25.85,1.315,24.5,4861.94,-38.0,0.99,0.463,0.0,1.0,618,54
"cash=selected SMA200 exit=5% reentry=5%; unit=1.00, cap=1.00, add=8%/20%, sell=extra_profit 10%, max_days=20, trend_sma=200, trend_exp=0.5, vol_target=none",selected,200,0.05,0.05,1.0,1.0,0.08,0.2,extra_profit,0.1,20,200.0,0.5,,20,2010-06-25 to 2019-12-31,2566.11,-49.1,0.97,16.65,2020-01-02 to 2026-05-20,5255.82,-55.08,1.28,23.63,151597.89,-55.08,1.111,0.8,0.0,1.0,374,61
"cash=qqq SMA100 exit=3% reentry=4%; unit=0.75, cap=1.50, add=8%/20%, sell=extra_profit 10%, max_days=10, trend_sma=75, trend_exp=0.25, vol_target=35%/20d",qqq,100,0.03,0.04,0.75,1.5,0.08,0.2,extra_profit,0.1,10,75.0,0.25,0.35,20,2010-06-25 to 2019-12-31,261.64,-40.95,0.613,23.0,2020-01-02 to 2026-05-20,741.45,-25.83,1.274,23.38,3079.91,-40.95,0.891,0.46,0.7,1.5,439,60
"cash=selected_or_qqq SMA250 exit=3% reentry=4%; unit=1.00, cap=2.00, add=15%/30%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.25, vol_target=50%/20d",selected_or_qqq,250,0.03,0.04,1.0,2.0,0.15,0.3,rebound_from_low,0.05,10,75.0,0.25,0.5,20,2010-06-25 to 2019-12-31,812.93,-47.64,0.79,11.73,2020-01-02 to 2026-05-20,1821.51,-35.8,1.342,20.32,18536.16,-47.64,1.025,0.651,0.45,2.0,395,74
"cash=selected_and_qqq SMA200 exit=0% reentry=2%; unit=0.75, cap=1.00, add=8%/20%, sell=extra_profit 10%, max_days=20, trend_sma=200, trend_exp=0.5, vol_target=none",selected_and_qqq,200,0.0,0.02,0.75,1.0,0.08,0.2,extra_profit,0.1,20,200.0,0.5,,20,2010-06-25 to 2019-12-31,1437.88,-45.26,0.912,18.36,2020-01-02 to 2026-05-20,2305.27,-49.03,1.156,25.44,38620.45,-49.03,1.021,0.663,0.0,1.0,358,55
"cash=selected_or_qqq SMA100 exit=0% reentry=0%; unit=1.00, cap=1.50, add=5%/15%, sell=rebound_from_low 5%, max_days=5, trend_sma=100, trend_exp=0.25, vol_target=35%/20d",selected_or_qqq,100,0.0,0.0,1.0,1.5,0.05,0.15,rebound_from_low,0.05,5,100.0,0.25,0.35,20,2010-06-25 to 2019-12-31,625.2,-46.44,0.786,16.69,2020-01-02 to 2026-05-20,692.51,-29.3,1.174,22.26,5905.85,-46.44,0.944,0.551,1.93,1.5,924,53
"cash=qqq SMA150 exit=0% reentry=0%; unit=0.50, cap=1.00, add=10%/20%, sell=extra_profit 12%, max_days=5, trend_sma=none, trend_exp=none, vol_target=35%/20d",qqq,150,0.0,0.0,0.5,1.0,0.1,0.2,extra_profit,0.12,5,,,0.35,20,2010-06-25 to 2019-12-31,662.57,-29.15,0.945,12.9,2020-01-02 to 2026-05-20,633.94,-27.33,1.256,21.51,5671.33,-29.15,1.081,0.419,0.0,1.0,539,64
"cash=qqq SMA100 exit=0% reentry=0%; unit=0.75, cap=1.00, add=15%/30%, sell=extra_profit 15%, max_days=20, trend_sma=100, trend_exp=0.25, vol_target=35%/20d",qqq,100,0.0,0.0,0.75,1.0,0.15,0.3,extra_profit,0.15,20,100.0,0.25,0.35,20,2010-06-25 to 2019-12-31,321.52,-43.56,0.664,18.49,2020-01-02 to 2026-05-20,615.02,-29.3,1.193,25.12,3049.57,-43.56,0.886,0.481,0.0,0.92,282,53
"cash=selected SMA100 exit=0% reentry=2%; unit=0.67, cap=1.00, add=15%/30%, sell=extra_profit 12%, max_days=5, trend_sma=75, trend_exp=0.25, vol_target=35%/20d",selected,100,0.0,0.02,0.67,1.0,0.15,0.3,extra_profit,0.12,5,75.0,0.25,0.35,20,2010-06-25 to 2019-12-31,454.47,-39.28,0.812,22.91,2020-01-02 to 2026-05-20,562.38,-23.65,1.189,29.05,3726.13,-39.28,0.978,0.432,0.0,0.83,269,41
"cash=selected_and_qqq SMA200 exit=5% reentry=5%; unit=1.00, cap=2.00, add=15%/30%, sell=extra_profit 15%, max_days=20, trend_sma=200, trend_exp=0.5, vol_target=35%/50d",selected_and_qqq,200,0.05,0.05,1.0,2.0,0.15,0.3,extra_profit,0.15,20,200.0,0.5,0.35,50,2010-06-25 to 2019-12-31,669.24,-39.34,0.803,21.87,2020-01-02 to 2026-05-20,588.8,-36.84,1.103,24.5,5406.77,-39.34,0.926,0.528,0.25,2.0,191,60
"cash=selected_and_qqq SMA250 exit=0% reentry=0%; unit=0.75, cap=1.00, add=15%/30%, sell=extra_profit 15%, max_days=20, trend_sma=none, trend_exp=none, vol_target=35%/20d",selected_and_qqq,250,0.0,0.0,0.75,1.0,0.15,0.3,extra_profit,0.15,20,,,0.35,20,2010-06-25 to 2019-12-31,512.74,-40.13,0.769,15.65,2020-01-02 to 2026-05-20,716.09,-31.23,1.218,25.06,5125.47,-40.13,0.958,0.507,0.0,0.92,256,60
