strategy,passed_is_dd_lt_50,universe,top_n,lookback,skip,cash_filter,dca_steps,is_return,is_cagr,is_max_drawdown,is_sharpe,is_calmar,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe,oos_calmar
SP500 Top1 L252 S21 benchmark_sma200 DCA3,False,SP500,1,252,21,benchmark_sma200,3,3.7176192019319867,0.16788469718047105,-0.6771664871432407,0.6225959249033728,0.24792233574453085,0.9768738613751371,0.11254617272643253,-0.6758844880207842,0.4572006184835814,0.16651687488198666
SP500 Top1 L252 S21 benchmark_sma100 DCA1,False,SP500,1,252,21,benchmark_sma100,1,6.635601977895682,0.22552055396615356,-0.5777394940704488,0.7728568012718624,0.3903499003975897,1.3842370572690883,0.1456495562091047,-0.6773401753366397,0.5212905771356756,0.21503162149907395
SP500 Top1 L252 S21 benchmark_sma100 DCA3,True,SP500,1,252,21,benchmark_sma100,3,8.03886876237425,0.24638062617515044,-0.43335956490709737,0.8838216439777428,0.5685362597868792,0.3565196551273315,0.048874414614322736,-0.6749910696419313,0.30800053931629096,0.07240749813215987
SP500 Top1 L252 S21 both_sma200 DCA1,False,SP500,1,252,21,both_sma200,1,2.8453071809348507,0.14424002619893717,-0.7972453810987984,0.5649778350636958,0.18092300014349316,6.132700238003151,0.35996136153440883,-0.5172351770700033,0.8922357771132275,0.6959336439054514
SP500 Top1 L252 S21 both_sma200 DCA3,False,SP500,1,252,21,both_sma200,3,2.183223834469231,0.12281285942751352,-0.7821673838638321,0.5186552256669344,0.1570160837196122,3.642988532001625,0.2715921162116901,-0.5172351770700034,0.7748103736555815,0.5250843876284392
SP500 Top2 L63 S0 none DCA1,False,SP500,2,63,0,none,1,0.32177013956441036,0.028301741437618322,-0.5745698833975857,0.2470075305621187,0.04925726574853269,9.918881653768846,0.4536690397263481,-0.4399257149223659,0.9748824624803759,1.0312401033579215
SP500 Top2 L63 S0 none DCA3,False,SP500,2,63,0,none,3,0.3807222790794249,0.032800381019315594,-0.5745698833975857,0.25915671782482325,0.05708684351041539,9.918881653768846,0.4536690397263481,-0.4399257149223659,0.9748824624803759,1.0312401033579215
SP500 Top2 L63 S0 benchmark_sma200 DCA1,False,SP500,2,63,0,benchmark_sma200,1,0.6293975583184004,0.050053476614389636,-0.5062769406118388,0.3060936424653513,0.09886580367239263,6.611975327882618,0.37387242692984635,-0.37602326159320365,0.8873492661374504,0.9942800489144096
SP500 Top2 L63 S0 benchmark_sma200 DCA3,False,SP500,2,63,0,benchmark_sma200,3,0.5131775016379334,0.04230873715252437,-0.5333699384395904,0.2843346192096975,0.07932343783060107,4.885433109773603,0.3196640866916116,-0.2914882134060579,0.8188506370914624,1.0966621358590005
SP500 Top2 L63 S0 benchmark_sma100 DCA1,True,SP500,2,63,0,benchmark_sma100,1,0.3493131716952109,0.030425556854029034,-0.4793999339014795,0.24830214897621145,0.06346591791621257,5.070074047244488,0.32605889340045624,-0.4266316930464745,0.8105873343907519,0.7642631776184933
SP500 Top2 L63 S0 benchmark_sma100 DCA3,True,SP500,2,63,0,benchmark_sma100,3,0.28729098556205823,0.025586224475199204,-0.49611704116747124,0.22827156381522642,0.05157296031393974,3.563131277349396,0.26814444039355023,-0.3020968406025051,0.730762995274557,0.8876108729199557
SP500 Top2 L63 S0 both_sma200 DCA1,True,SP500,2,63,0,both_sma200,1,0.6859417767757201,0.053643220212274745,-0.4431706864043201,0.31543955153783704,0.12104415264355765,6.841343192113504,0.3802700360566833,-0.37602326159320354,0.8989089453424002,1.0112939142261739
SP500 Top2 L63 S0 both_sma200 DCA3,True,SP500,2,63,0,both_sma200,3,0.5837071511837417,0.047069939033295594,-0.46770040177902783,0.29869257138116134,0.10064122000804802,5.080568922893489,0.32641741805785895,-0.2890313399072941,0.8317819174160032,1.1293495652151642
SP500 Top2 L63 S21 none DCA1,True,SP500,2,63,21,none,1,8.206743479860688,0.24867729306828656,-0.42514177958424026,0.819348711296572,0.5849279111346715,1.6283580195249754,0.16326015256442816,-0.5527459238790717,0.5213407777034593,0.29536201989278854
SP500 Top2 L63 S21 none DCA3,True,SP500,2,63,21,none,3,8.858116273984999,0.25724588629428746,-0.4251417795842404,0.8424576398098683,0.6050825833816107,1.6283580195249754,0.16326015256442816,-0.5527459238790717,0.5213407777034593,0.29536201989278854
SP500 Top2 L63 S21 benchmark_sma200 DCA1,False,SP500,2,63,21,benchmark_sma200,1,4.709596513236908,0.1903964600301682,-0.5047926040612364,0.6935371163258256,0.3771775943196489,0.8111968122798949,0.09741098323506625,-0.5538889572547028,0.3892882335210026,0.17586735023184863
SP500 Top2 L63 S21 benchmark_sma200 DCA3,True,SP500,2,63,21,benchmark_sma200,3,3.956772015207915,0.17367662816540697,-0.44742200126243514,0.6686070080034225,0.38817185492748496,0.8563895605034997,0.10165167612881176,-0.5424932974968566,0.3983046141086821,0.1873786765621759
SP500 Top2 L63 S21 benchmark_sma100 DCA1,True,SP500,2,63,21,benchmark_sma100,1,3.835691803841332,0.17077646090276954,-0.4712277218527765,0.6488067999308067,0.3624075006268932,0.6266006849496415,0.07910465956303891,-0.5121972231127256,0.34866952699762205,0.15444179701386113
SP500 Top2 L63 S21 benchmark_sma100 DCA3,True,SP500,2,63,21,benchmark_sma100,3,2.306058391046652,0.12707388663300745,-0.4237781363083023,0.5594450606304076,0.29985946830574595,0.593358220435976,0.07562337301737743,-0.4910108511602499,0.339809247980102,0.15401568588286949
SP500 Top2 L63 S21 both_sma200 DCA1,True,SP500,2,63,21,both_sma200,1,2.398677532666746,0.13019355072059202,-0.4300336627805792,0.5510744140217391,0.3027519982476863,0.910535446483558,0.10661930805351916,-0.5919893001664559,0.4088820911899906,0.180103437720141
SP500 Top2 L63 S21 both_sma200 DCA3,True,SP500,2,63,21,both_sma200,3,1.9505534486687837,0.11431930480574226,-0.3625392797628927,0.5188091059973163,0.31532943100816324,0.8710237191040422,0.10300621966168366,-0.5815668925877262,0.4011617697774286,0.1771184380929073
SP500 Top2 L126 S0 none DCA1,False,SP500,2,126,0,none,1,-0.04159202338506962,-0.0042409001048053785,-0.6792880065182809,0.1709737261479596,-0.006243154691545769,11.657817083101172,0.4876790124848913,-0.2475030021880531,0.9695773005574556,1.970396351452546
SP500 Top2 L126 S0 none DCA3,False,SP500,2,126,0,none,3,0.08523061774072382,0.00821618101512156,-0.6792880065182807,0.2032081030874889,0.012095283497251691,11.657817083101172,0.4876790124848913,-0.2475030021880531,0.9695773005574556,1.970396351452546
SP500 Top2 L126 S0 benchmark_sma200 DCA1,False,SP500,2,126,0,benchmark_sma200,1,-0.09640495269702243,-0.010090310221306464,-0.7154651058694566,0.14282536099277918,-0.014103147922279718,2.7476490787187253,0.22966867065651875,-0.3071733972827383,0.6238946753113049,0.7476841181175589
SP500 Top2 L126 S0 benchmark_sma200 DCA3,False,SP500,2,126,0,benchmark_sma200,3,0.08546517511883467,0.008237979026798792,-0.670860494491309,0.18962217971846826,0.012279719993119246,2.0316955929510723,0.18954112542216328,-0.3164641146474144,0.5569580570545976,0.5989340233199546
SP500 Top2 L126 S0 benchmark_sma100 DCA1,False,SP500,2,126,0,benchmark_sma100,1,-0.34580113887541397,-0.0415633624163082,-0.6185589496452806,0.024858359459259006,-0.06719385830589497,2.001121657634732,0.18765578694782303,-0.36778600748139934,0.5496958663295854,0.5102309036520746
SP500 Top2 L126 S0 benchmark_sma100 DCA3,False,SP500,2,126,0,benchmark_sma100,3,-0.3251426065024763,-0.038577715549025005,-0.5872251261697283,0.010574699428409454,-0.06569493339063069,1.3610674848295066,0.14390012551729892,-0.33637672758214576,0.4703108534040436,0.4277945342760296
SP500 Top2 L126 S0 both_sma200 DCA1,False,SP500,2,126,0,both_sma200,1,-0.09640495269702243,-0.010090310221306464,-0.7154651058694566,0.14282536099277918,-0.014103147922279718,3.326611455556179,0.25762575288497613,-0.3071733972827382,0.6734538885629516,0.8386981267386386
SP500 Top2 L126 S0 both_sma200 DCA3,False,SP500,2,126,0,both_sma200,3,0.08546517511883467,0.008237979026798792,-0.670860494491309,0.18962217971846826,0.012279719993119246,2.500052594760506,0.21658588947214397,-0.31646411464741453,0.6077236132915464,0.6843932043083338
SP500 Top2 L126 S21 none DCA1,False,SP500,2,126,21,none,1,1.8156319277691475,0.10911367181340381,-0.5765469326889376,0.48455982172635426,0.18925375477155393,9.930347610880947,0.4539078179992124,-0.3197138182981133,0.904094477695724,1.419731622534912
SP500 Top2 L126 S21 none DCA3,False,SP500,2,126,21,none,3,1.6806140111475236,0.10367453487692435,-0.5765469326889376,0.4699326398116999,0.17981976661188745,9.930347610880947,0.4539078179992124,-0.3197138182981133,0.904094477695724,1.419731622534912
SP500 Top2 L126 S21 benchmark_sma200 DCA1,False,SP500,2,126,21,benchmark_sma200,1,0.5040901528298602,0.041680825428009216,-0.6900508876599568,0.29436755503304507,0.06040253867269668,2.969741193982597,0.24079746075633812,-0.2998939987904138,0.63794849562457,0.8029419119007569
SP500 Top2 L126 S21 benchmark_sma200 DCA3,False,SP500,2,126,21,benchmark_sma200,3,0.706359487690347,0.05491286249308969,-0.6454263517420258,0.33709564928181,0.08507998216198977,2.1399008286697256,0.19608728131636766,-0.31115950719361996,0.5648160198442849,0.6301825166291697
