date,action,symbol,fraction,price,remaining_before,r_multiple,reason
2010-07-01,entry,TQQQ,1.0,0.181468,1.0,0.0,scanner target TQQQ
2010-07-12,scale_out,TQQQ,0.333333,0.209926,1.0,1.0294,recover risk
2010-08-04,scale_out,TQQQ,0.333333,0.2395,0.666667,2.0991,lock profit
2010-08-12,stop_exit,TQQQ,0.333333,0.209114,0.333333,1.0,active stop breached
2010-08-12,entry,TQQQ,1.0,0.210471,1.0,0.0,scanner target TQQQ
2010-08-25,stop_exit,TQQQ,1.0,0.187904,1.0,-1.0,active stop breached
2010-08-25,entry,TQQQ,1.0,0.1969,1.0,0.0,scanner target TQQQ
2010-09-03,scale_out,TQQQ,0.333333,0.2232,1.0,1.1166,recover risk
2010-09-15,scale_out,TQQQ,0.333333,0.248135,0.666667,2.1753,lock profit
2010-11-16,stop_exit,TQQQ,0.333333,0.320108,0.333333,5.2312,active stop breached
2010-11-16,entry,TQQQ,1.0,0.309344,1.0,0.0,scanner target TQQQ
2010-12-02,scale_out,TQQQ,0.333333,0.350207,1.0,1.321,recover risk
2010-12-21,scale_out,TQQQ,0.333333,0.374819,0.666667,2.1166,lock profit
2011-01-03,scanner_exit,TQQQ,0.333333,0.383479,0.333333,2.3965,target changed to SOXL
2011-01-03,entry,SOXL,1.0,0.775145,1.0,0.0,scanner target SOXL
2011-01-10,scale_out,SOXL,0.333333,0.860531,1.0,1.1016,recover risk
2011-01-14,scale_out,SOXL,0.333333,0.99369,0.666667,2.8194,lock profit
2011-01-20,stop_exit,SOXL,0.333333,0.885794,0.333333,1.4275,active stop breached
2011-01-20,entry,SOXL,1.0,0.880399,1.0,0.0,scanner target SOXL
2011-01-27,scale_out,SOXL,0.333333,0.985045,1.0,1.1795,recover risk
2011-01-31,stop_exit,SOXL,0.666667,0.880399,0.666667,0.0,active stop breached
2011-01-31,entry,SOXL,1.0,0.915585,1.0,0.0,scanner target SOXL
2011-02-04,scale_out,SOXL,0.333333,1.058754,1.0,1.3005,recover risk
2011-02-23,stop_exit,SOXL,0.666667,0.915585,0.666667,0.0,active stop breached
2011-02-23,entry,SOXL,1.0,0.932874,1.0,0.0,scanner target SOXL
2011-02-25,scale_out,SOXL,0.333333,1.052991,1.0,1.0384,recover risk
2011-03-07,stop_exit,SOXL,0.666667,0.932874,0.666667,0.0,active stop breached
2011-03-07,entry,SOXL,1.0,0.940912,1.0,0.0,scanner target SOXL
2011-03-11,stop_exit,SOXL,1.0,0.787452,1.0,-1.0,active stop breached
2011-03-11,entry,SOXL,1.0,0.817611,1.0,0.0,scanner target SOXL
2011-04-01,scanner_exit,SOXL,1.0,0.840663,1.0,0.1409,target changed to TQQQ
2011-04-01,entry,TQQQ,1.0,0.422978,1.0,0.0,scanner target TQQQ
2011-04-18,stop_exit,TQQQ,1.0,0.38068,1.0,-1.0,active stop breached
2011-04-18,entry,TQQQ,1.0,0.396282,1.0,0.0,scanner target TQQQ
2011-04-21,scale_out,TQQQ,0.333333,0.441189,1.0,1.1332,recover risk
2011-06-03,stop_exit,TQQQ,0.666667,0.396282,0.666667,0.0,active stop breached
2011-06-03,entry,TQQQ,1.0,0.394395,1.0,0.0,scanner target TQQQ
2011-06-06,scanner_exit,TQQQ,1.0,0.384868,1.0,-0.2416,target changed to CASH
