"year","strategy_return","spmo_return","excess","strategy_max_drawdown","strategy_sharpe","final_holdings"
"2020","0.225891044913643","0.2707556937","-0.0448646487863567","-0.281357526677316","0.724783801487299","TSLA, TPR, MRNA"
"2021","0.0249440155225868","0.2421527631","-0.217208747577413","-0.321897912980959","0.244269014035349","AMD, DDOG, TSLA"
"2022","-0.140520240775746","-0.1044626804","-0.0360575603757455","-0.361936920040824","-0.211187243031582","FSLR, AXON, SMCI"
"2023","0.867936945002376","0.1947252997","0.673211645302376","-0.251275167409666","1.77319360247191","VRT, COIN, WSM"
"2024","0.144048461073083","0.4717907462","-0.327742285126917","-0.386250796792689","0.53304430701463","PLTR, APP, TPL"
"2025","0.8412694681376","0.2586627451","0.5826067230376","-0.342316920763361","1.41534236406546","SNDK, LITE, SATS"
