year,NASDAQ100 Top3 L126 S21 none DCA3,QQQ buy-and-hold
2020,-19.49,-15.89
2021,-17.14,-5.78
2022,-6.73,-25.8
2023,-13.03,-7.87
2024,-22.75,-4.9
2025,-12.08,-8.86
2026,-2.8,-5.9
