strategy,top_n,date,equity,daily_return,holdings
Nasdaq-100 Top1 current-member baseline,1,2020-01-03,1.0389610389610389,0.03896103896103886,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-06,1.0532467334301439,0.013749980926513583,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-07,1.0574025736226662,0.003945742303883337,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-08,1.055324703067928,-0.0019650704533652474,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-09,1.068571412718141,0.012552259614224459,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-10,1.0454545454545452,-0.02163343225212533,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-13,1.013246709650213,-0.0308074951171875,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-14,1.0225973748541495,0.009228419016692024,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-15,0.9854545097846485,-0.03632208138105042,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-16,1.0155843759511969,0.030574588545069004,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-17,1.0348051987685163,0.018925874868168657,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-21,1.0020779696377837,-0.03162646377277578,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-22,1.0376623574789465,0.035510597896913465,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-23,0.9935064935064932,-0.04255320977406585,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-24,0.9999999999999997,0.006535947712418277,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-27,0.9223376187411219,-0.07766238125887781,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-28,0.9688311490145595,0.05040836384500458,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-29,0.9742856706891738,0.0056300023798392385,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-30,0.925974065607244,-0.04958669365193058,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-01-31,0.9280519361619823,0.002243983532492999,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-02-03,0.909090909090909,-0.020430997805454654,PDD
Nasdaq-100 Top1 current-member baseline,1,2020-02-04,1.191484055919751,0.3106324615117264,TSLA
Nasdaq-100 Top1 current-member baseline,1,2020-02-05,1.1109236773354738,-0.06761347597059497,TSLA
