date,SOXL,TQQQ,allocation,equity,units,exposure,strategy_daily_return_pct,soxl_daily_return_pct,tqqq_daily_return_pct,held_asset_return_pct,estimated_return_from_exposure_pct,prior_exposure,prior_units,prior_allocation,change
2026-01-02,47.2400016784668,52.263587951660156,SOXL,24529796.897450004,1.0,2.0,24.79182988573516,12.39591494286758,-0.7018268632831393,12.39591494286758,24.79182988573516,2.0,3.0,SOXL,True
2026-01-05,49.220001220703125,53.51152420043945,SOXL,25557929.516044725,1.0,1.0,4.191362133542986,4.191362133542986,2.3877737784354647,4.191362133542986,4.191362133542986,2.0,1.0,SOXL,True
2026-01-06,54.0099983215332,54.91919708251953,SOXL,28045178.708423447,1.0,1.0,9.731810203237634,9.731810203237634,2.630597620070252,9.731810203237634,9.731810203237634,1.0,1.0,SOXL,False
2026-01-07,52.290000915527344,55.07893371582031,SOXL,27152054.54385136,1.0,1.0,-3.184590741451876,-3.184590741451876,0.29085755398201574,-3.184590741451876,-3.184590741451876,1.0,1.0,SOXL,False
2026-01-08,49.650001525878906,54.10055160522461,SOXL,25781211.052391734,2.0,1.0,-5.048765238909169,-5.048765238909181,-1.776327253616894,-5.048765238909181,-5.048765238909181,1.0,1.0,SOXL,True
2026-01-09,53.95000076293945,55.6679573059082,SOXL,30246837.817700036,2.0,2.0,17.32124513558886,8.66062256779443,2.897208354031311,8.66062256779443,17.32124513558886,1.0,2.0,SOXL,True
2026-01-12,54.650001525878906,55.79774475097656,SOXL,31031742.70183269,2.0,2.0,2.5949981577027437,1.2974990788513718,0.23314569341057467,1.2974990788513718,2.5949981577027437,2.0,2.0,SOXL,False
2026-01-13,56.06999969482422,55.50822448730469,SOXL,32644369.109351378,2.0,2.0,5.19669946678003,2.598349733390015,-0.5188744902934639,2.598349733390015,5.19669946678003,2.0,2.0,SOXL,False
2026-01-14,55.380001068115234,53.74114990234375,SOXL,31840924.487349257,2.0,2.0,-2.461204317690324,-1.230602158845162,-3.1834464194852585,-1.230602158845162,-2.461204317690324,2.0,2.0,SOXL,False
2026-01-15,58.08000183105469,54.29024124145508,SOXL,34945674.17136606,1.0,2.0,9.75081513493854,4.87540756746927,1.0217335135350059,4.87540756746927,9.75081513493854,2.0,2.0,SOXL,True
2026-01-16,60.75,54.05063247680664,SOXL,36552163.205603965,1.0,1.0,4.597104140443897,4.597104140443897,-0.4413477618984585,4.597104140443897,4.597104140443897,2.0,1.0,SOXL,True
