date,equity,exposure,cash,allocation_signal,SOXL_open,SOXL_close,TQQQ_open,TQQQ_close,QQQ_close
2010-06-25,1.0,0.0,False,TQQQ,0.5202025096855186,0.515957772731781,0.22195941025460747,0.21895731985569,39.48661804199219
2010-06-28,0.993285276017905,0.75,False,TQQQ,0.5108027437809061,0.5220221877098083,0.2191307250909842,0.21699658036231995,39.3470573425293
2010-06-29,0.9095605620181878,0.75,False,TQQQ,0.4954894630337925,0.4509136378765106,0.20679935619641268,0.19278165698051453,37.82933807373047
2010-06-30,0.8678855566949834,1.0,False,SOXL,0.45349087619674944,0.429080605506897,0.18990346405854241,0.18325427174568176,37.25366973876953
2010-07-01,0.8706330201868471,0.75,False,TQQQ,0.4321126537730796,0.4307481050491333,0.1842708246977182,0.18146786093711853,37.14899444580078
2010-07-02,0.8667481002080664,0.75,False,TQQQ,0.4316577539716494,0.425441712141037,0.18193946104542025,0.18047510087490082,37.04432678222656
2010-07-06,0.8703430608721119,0.75,False,TQQQ,0.45091365042320647,0.4246830344200134,0.18737299371242494,0.18141835927963257,37.15770721435547
2010-07-07,0.9319073553989857,0.75,False,TQQQ,0.42483496055929115,0.4913957417011261,0.18298081045482217,0.19856195151805878,38.34395980834961
2010-07-08,0.9437277647848867,0.75,False,TQQQ,0.5095899871433959,0.4877569377422333,0.20332565290125362,0.2019117772579193,38.55331039428711
2010-07-09,0.9635736424539979,0.75,False,TQQQ,0.4898794116556476,0.5045866966247559,0.20139064858206385,0.2075691819190979,38.91964340209961
2010-07-12,0.9717903727458345,0.75,False,TQQQ,0.5070118814658632,0.5238415598869324,0.2067993961161253,0.2099262923002243,39.03305435180664
2010-07-13,0.9966402329532839,0.75,False,TQQQ,0.5427944253958169,0.5575008392333984,0.21483862754627425,0.21709662675857544,39.538944244384766
2010-07-14,1.0085852649555962,0.75,False,TQQQ,0.5822149264185107,0.552346408367157,0.21895730540272496,0.22056934237480164,39.739566802978516
2010-07-15,1.0112315077060563,0.75,False,TQQQ,0.5449168351263572,0.5452197790145874,0.2196518864018178,0.22133919596672058,39.77445983886719
2010-07-16,0.9500701107046318,0.75,False,TQQQ,0.5352128164693182,0.4933661222457886,0.2194032112848098,0.20352481305599213,38.67543029785156
2010-07-19,0.9701143238437262,1.0,False,TQQQ,0.5089833264300315,0.5306645035743713,0.20469096369051729,0.2081151157617569,39.00687026977539
2010-07-20,1.0007625555511865,1.0,False,TQQQ,0.4907890734157275,0.532180905342102,0.19779309710103365,0.2146899700164795,39.4778938293457
2010-07-21,0.9657174590108332,1.0,False,TQQQ,0.5423396070768002,0.49988609552383423,0.22280255971575388,0.20717187225818634,38.937103271484375
2010-07-22,1.0308292619445714,1.0,False,TQQQ,0.5079215911156845,0.5456746220588684,0.2152607100061074,0.2211400717496872,39.922733306884766
2010-07-23,1.0576626403583933,1.0,False,TQQQ,0.541277900394285,0.5561361908912659,0.2180388953640496,0.22689653933048248,40.175697326660156
2010-07-26,1.080907538029768,1.0,False,TQQQ,0.5564399841634525,0.5761498212814331,0.22788929254103882,0.2318831831216812,40.50714111328125
2010-07-27,1.0847245446203728,0.75,False,TQQQ,0.588734916424382,0.5643237233161926,0.23530730606329398,0.23183360695838928,40.489688873291016
2010-07-28,1.0680872298829962,0.75,False,TQQQ,0.557197951521376,0.5350619554519653,0.23136295499852894,0.22709468007087708,40.166969299316406
2010-07-29,1.0491116762725818,0.75,False,TQQQ,0.541126070160695,0.5026152729988098,0.2302463783220108,0.221685990691185,39.87040710449219
2010-07-30,1.0546501993496207,0.75,False,TQQQ,0.490940949429212,0.4868472218513489,0.21605430022720146,0.22319987416267395,39.9576301574707
2010-08-02,1.0970876789187716,0.75,False,TQQQ,0.5114092964552941,0.5126219391822815,0.23146207606705568,0.23520825803279877,40.70777130126953
2010-08-03,1.0885786673909938,0.75,False,TQQQ,0.5127740191309063,0.4971570372581482,0.23476140094127235,0.23277683556079865,40.53331756591797
