strategy,passed_is_dd_lt_50,universe,top_n,lookback,skip,cash_filter,dca_steps,is_return,is_cagr,is_max_drawdown,is_sharpe,is_calmar,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe,oos_calmar
COMBINED Top5 L63 S21 none DCA3,True,COMBINED,5,63,21,none,3,5.65334232307504,0.2087536574863409,-0.26608669662121087,0.9195691935635203,0.7845324856037927,5.717198921850098,0.3472478904332563,-0.4194526880255688,0.9594613595245562,0.827859494876068
COMBINED Top5 L63 S21 benchmark_sma200 DCA1,True,COMBINED,5,63,21,benchmark_sma200,1,3.1013987166956714,0.15164434981774666,-0.33021055652132625,0.7563393319433099,0.45923531765694137,2.521827222688193,0.21776722062190346,-0.4194526880255688,0.7246469198053015,0.5191699250920736
COMBINED Top5 L63 S21 benchmark_sma200 DCA3,True,COMBINED,5,63,21,benchmark_sma200,3,2.4913125324845957,0.13323813640469928,-0.32767634928581435,0.6929069802073297,0.40661505383314334,2.0774237288541864,0.19233123114332806,-0.4194526880255688,0.6701665338717986,0.45852902278123925
COMBINED Top5 L63 S21 benchmark_sma100 DCA1,True,COMBINED,5,63,21,benchmark_sma100,1,1.7981125689058768,0.10842133752828698,-0.2909519179050243,0.6082098306194418,0.37264348799955,3.609072465717648,0.27013401720912644,-0.2756527617644291,0.9317243032081017,0.9799793605550053
COMBINED Top5 L63 S21 benchmark_sma100 DCA3,True,COMBINED,5,63,21,benchmark_sma100,3,1.3140268621672737,0.08755645283981384,-0.253707952219943,0.5376478203313275,0.3451072466341532,2.8610748958854217,0.2354198029452994,-0.25481605542494157,0.8600324008048774,0.9238813565052006
COMBINED Top5 L63 S21 both_sma200 DCA1,True,COMBINED,5,63,21,both_sma200,1,2.9928677670548436,0.14855870140692518,-0.3658993134275247,0.7792206702681447,0.40600978453694436,3.3867630135923985,0.26034599435969885,-0.40272151299168824,0.8200520880940734,0.6464665679905511
COMBINED Top5 L63 S21 both_sma200 DCA3,True,COMBINED,5,63,21,both_sma200,3,2.4182981191448567,0.13084459077575117,-0.3610242588936594,0.7154583754970489,0.36242603523851225,2.833217173153859,0.2340206450572877,-0.40272151299168824,0.7665885366508364,0.5810979486018112
COMBINED Top5 L126 S0 none DCA1,True,COMBINED,5,126,0,none,1,1.8899145249662337,0.11200677971439266,-0.31486776350749834,0.5970362399213104,0.35572641183296394,11.216784561775013,0.4794455212394708,-0.2677006355277024,1.1542128924089765,1.7909764027805473
COMBINED Top5 L126 S0 none DCA3,True,COMBINED,5,126,0,none,3,2.070872969847876,0.11878389014053115,-0.3148677635074981,0.6307545992295036,0.3772500837091965,11.216784561775013,0.4794455212394708,-0.2677006355277024,1.1542128924089765,1.7909764027805473
COMBINED Top5 L126 S0 benchmark_sma200 DCA1,True,COMBINED,5,126,0,benchmark_sma200,1,1.0280663279929692,0.07329926464281233,-0.4172970922942185,0.4489202633241296,0.1756524691792775,4.335053015126226,0.29954304814252897,-0.31970205774742944,0.8884095788227822,0.9369443858230451
