date,equity,exposure,allocation_signal,SOXL_open,SOXL_close,TQQQ_open,TQQQ_close
2010-06-25,1.0,0.0,TQQQ,0.520202629875532,0.5159578919410706,0.22195941025460747,0.21895731985569
2010-06-28,0.9940019266594596,0.67,TQQQ,0.5108025104864844,0.5220219492912292,0.2191307250909842,0.21699658036231995
2010-06-29,0.9189842216014364,0.67,TQQQ,0.49548943028531145,0.45091360807418823,0.20679937218107944,0.19278167188167572
2010-06-30,0.8779365313231637,1.0,SOXL,0.45349087619674944,0.429080605506897,0.18990344861670796,0.18325425684452057
2010-07-01,0.8809390514409127,0.67,TQQQ,0.4321126836698115,0.4307481348514557,0.18427085496036907,0.18146789073944092
2010-07-02,0.8774282439686591,0.67,TQQQ,0.43165778420940737,0.4254417419433594,0.18193949108955626,0.1804751306772232
2010-07-06,0.8807362914729697,0.67,TQQQ,0.4509136187801388,0.42468300461769104,0.18737297832216787,0.18141834437847137
2010-07-07,0.9363559131045737,0.67,TQQQ,0.4248349863248145,0.4913957715034485,0.18298081045482217,0.19856195151805878
2010-07-08,0.9469744004363407,0.67,TQQQ,0.5095898314617037,0.48775678873062134,0.20332569791777078,0.2019118219614029
2010-07-09,0.964768345049802,0.67,TQQQ,0.489879295920974,0.5045865774154663,0.20139067749728615,0.2075692117214203
2010-07-12,0.9721205775913604,0.67,TQQQ,0.5070117083967596,0.523841381072998,0.20679941079533057,0.2099263072013855
2010-07-13,0.9943143743540248,0.67,TQQQ,0.5427943673634936,0.5575007796287537,0.2148385980539227,0.21709659695625305
2010-07-14,1.0049572791388517,0.67,TQQQ,0.5822148007628956,0.5523462891578674,0.21895736457174758,0.2205694019794464
2010-07-15,1.007314246149012,0.67,TQQQ,0.5449166564117784,0.5452196002006531,0.2196518716142509,0.2213391810655594
2010-07-16,0.9528541561531207,0.67,TQQQ,0.5352130427801435,0.4933663308620453,0.2194031791573992,0.20352478325366974
2010-07-19,0.9725131709533302,1.0,TQQQ,0.5089832692606332,0.5306644439697266,0.20469097834650726,0.2081151306629181
2010-07-20,1.0032372554109295,1.0,TQQQ,0.49078890850953805,0.5321807265281677,0.19779312455780607,0.21468999981880188
2010-07-21,0.9681055037349926,1.0,TQQQ,0.5423395747434747,0.49988606572151184,0.22280259176659956,0.20717190206050873
2010-07-22,1.0333781677338414,1.0,TQQQ,0.507921480154006,0.5456745028495789,0.2152607100061074,0.2211400717496872
2010-07-23,1.0602779660052715,1.0,TQQQ,0.54127801641866,0.5561363101005554,0.21803890968349554,0.22689655423164368
2010-07-26,1.0835802711224938,1.0,TQQQ,0.556440041729048,0.5761498808860779,0.22788929254103882,0.2318831831216812
2010-07-27,1.0887053817833288,0.67,TQQQ,0.5887348542413936,0.5643236637115479,0.235307321187728,0.23183362185955048
2010-07-28,1.0737859847889095,0.67,TQQQ,0.5571978273802904,0.5350618362426758,0.23136297017975943,0.22709469497203827
2010-07-29,1.0567736968133439,0.67,TQQQ,0.541126134332297,0.5026153326034546,0.2302463783220108,0.221685990691185
2010-07-30,1.0618052639982334,0.67,TQQQ,0.49094106964089074,0.4868473410606384,0.21605432907542518,0.22319990396499634
2010-08-02,1.099939033306791,0.67,TQQQ,0.51140935591894,0.5126219987869263,0.23146206140322653,0.23520824313163757
2010-08-03,1.092317086626953,0.67,TQQQ,0.5127738961769461,0.49715691804885864,0.23476143099767782,0.23277686536312103
2010-08-04,1.1134064634315044,0.67,TQQQ,0.4988244883975881,0.511712372303009,0.23582848314025204,0.23950034379959106
2010-08-05,1.1090369055675608,0.67,TQQQ,0.5088312652942353,0.49943122267723083,0.23590279962771382,0.2380864918231964
