variant,exit_vix_below,trailing_stop_pct,stop_loss_pct,trend_exit_sma,max_hold_days,cooldown_days,is_return_pct,is_cagr_pct,is_max_drawdown_pct,is_sharpe,oos_return_pct,oos_cagr_pct,oos_max_drawdown_pct,oos_sharpe,full_return_pct,full_max_drawdown_pct,full_sharpe,oos_soxl_buy_hold_return_pct,oos_soxl_buy_hold_max_drawdown_pct,full_exposure_days_pct,oos_exposure_days_pct,trades
base exit VIX<10,10,,,,,0,1619.12,33.65,-72.61,0.768,819.19,41.59,-90.46,0.875,16687.47,-90.46,0.803,819.19,-90.46,94.38,100.0,2
exit VIX<10; max 126d,10,,,,126.0,0,474.05,19.51,-50.06,0.62,549.95,34.1,-75.56,0.768,3631.06,-75.56,0.672,819.19,-90.46,31.17,39.59,10
exit VIX<10; max 252d,10,,,,252.0,0,247.61,13.55,-66.51,0.505,77.24,9.39,-90.28,0.541,516.1,-90.28,0.508,819.19,-90.46,43.47,47.32,7
exit VIX<10; max 504d,10,,,,504.0,0,560.87,21.23,-72.61,0.623,3217.32,73.14,-86.89,1.053,23190.54,-86.89,0.823,819.19,-90.46,71.13,92.58,6
exit VIX<10; max 504d; cooldown 21d,10,,,,504.0,21,560.87,21.23,-72.61,0.623,2072.16,62.02,-88.05,0.993,15150.51,-88.05,0.794,819.19,-90.46,58.74,61.1,5
exit VIX<10; exit below SMA50,10,,,50.0,,0,59.87,4.9,-37.08,0.337,852.59,42.38,-52.43,1.009,1422.92,-52.43,0.68,819.19,-90.46,6.06,11.6,55
exit VIX<10; exit below SMA50; cooldown 21d,10,,,50.0,,21,2.7,0.27,-28.64,0.084,193.56,18.39,-30.85,0.803,201.47,-30.85,0.46,819.19,-90.46,2.65,5.49,16
exit VIX<10; exit below SMA100,10,,,100.0,,0,73.44,5.78,-35.27,0.364,450.58,30.66,-52.43,0.809,854.94,-52.43,0.581,819.19,-90.46,7.02,12.78,51
exit VIX<10; exit below SMA100; cooldown 21d,10,,,100.0,,21,12.58,1.22,-35.27,0.157,248.25,21.6,-35.64,0.864,292.06,-35.64,0.486,819.19,-90.46,3.9,5.8,15
exit VIX<10; exit below SMA100; max 126d,10,,,100.0,126.0,0,73.44,5.78,-35.27,0.364,356.13,26.86,-52.43,0.752,691.13,-52.43,0.55,819.19,-90.46,6.41,11.22,52
exit VIX<10; exit below SMA200,10,,,200.0,,0,142.22,9.44,-50.06,0.442,254.11,21.92,-56.42,0.652,757.71,-57.61,0.534,819.19,-90.46,12.27,10.35,50
exit VIX<10; exit below SMA200; cooldown 21d,10,,,200.0,,21,57.22,4.72,-50.06,0.303,201.51,18.89,-40.92,0.663,374.03,-50.06,0.459,819.19,-90.46,11.41,9.1,15
exit VIX<10; exit below SMA200; max 126d,10,,,200.0,126.0,0,111.69,7.95,-50.06,0.413,312.63,24.88,-56.42,0.707,773.48,-57.61,0.548,819.19,-90.46,8.54,9.91,50
exit VIX<10; exit below SMA200; max 126d; cooldown 21d,10,,,200.0,126.0,21,37.4,3.29,-50.06,0.254,251.33,21.77,-40.92,0.739,382.75,-50.06,0.476,819.19,-90.46,7.68,8.67,15
exit VIX<10; exit below SMA200; max 252d,10,,,200.0,252.0,0,190.23,11.48,-50.06,0.503,254.11,21.92,-56.42,0.652,927.73,-57.61,0.565,819.19,-90.46,11.81,10.35,50
exit VIX<10; exit below SMA200; max 252d; cooldown 21d,10,,,200.0,252.0,21,88.38,6.67,-50.06,0.366,201.51,18.89,-40.92,0.663,467.99,-50.06,0.495,819.19,-90.46,10.95,9.1,15
exit VIX<10; trail 25%,10,0.25,,,,0,108.89,7.8,-43.43,0.39,241.67,21.24,-68.85,0.616,613.7,-69.97,0.491,819.19,-90.46,14.33,16.52,17
exit VIX<10; trail 25%; cooldown 21d,10,0.25,,,,21,0.49,0.05,-67.61,0.15,366.07,27.29,-38.42,0.719,368.37,-67.61,0.435,819.19,-90.46,12.47,15.4,13
exit VIX<10; trail 25%; exit below SMA100,10,0.25,,100.0,,0,43.87,3.78,-38.43,0.294,414.77,29.29,-52.43,0.796,640.59,-52.43,0.548,819.19,-90.46,5.2,10.54,53
exit VIX<10; trail 25%; exit below SMA100; cooldown 21d,10,0.25,,100.0,,21,3.19,0.32,-28.36,0.085,248.25,21.6,-35.64,0.864,259.37,-35.64,0.506,819.19,-90.46,2.68,5.8,15
exit VIX<10; trail 25%; exit below SMA200,10,0.25,,200.0,,0,48.23,4.09,-38.43,0.295,286.2,23.59,-56.42,0.707,472.46,-56.42,0.497,819.19,-90.46,4.79,7.36,51
exit VIX<10; trail 25%; exit below SMA200; cooldown 21d,10,0.25,,200.0,,21,6.32,0.63,-28.69,0.119,228.83,20.51,-35.64,0.774,249.61,-35.64,0.455,819.19,-90.46,3.63,6.11,15
exit VIX<10; trail 35%,10,0.35,,,,0,27.03,2.47,-47.21,0.25,1049.92,46.65,-66.93,0.901,1360.71,-71.74,0.578,819.19,-90.46,19.93,28.68,12
exit VIX<10; trail 35%; cooldown 21d,10,0.35,,,,21,6.18,0.61,-60.95,0.207,1224.22,49.93,-46.15,0.97,1306.12,-60.95,0.577,819.19,-90.46,21.7,27.43,11
exit VIX<10; trail 35%; max 126d,10,0.35,,,126.0,0,27.03,2.47,-47.21,0.25,1213.65,49.74,-66.93,0.943,1568.7,-71.74,0.596,819.19,-90.46,18.41,24.81,13
exit VIX<10; trail 35%; max 126d; cooldown 21d,10,0.35,,,126.0,21,13.83,1.33,-60.95,0.225,854.21,42.42,-46.15,0.913,986.15,-60.95,0.547,819.19,-90.46,19.02,20.76,12
exit VIX<10; trail 35%; exit below SMA100,10,0.35,,100.0,,0,52.52,4.4,-35.15,0.312,450.58,30.66,-52.43,0.809,739.73,-52.43,0.561,819.19,-90.46,6.53,12.78,51
exit VIX<10; trail 35%; exit below SMA100; cooldown 21d,10,0.35,,100.0,,21,-1.0,-0.1,-35.15,0.08,248.25,21.6,-35.64,0.864,244.76,-35.64,0.461,819.19,-90.46,3.41,5.8,15
exit VIX<10; trail 35%; exit below SMA200,10,0.35,,200.0,,0,45.22,3.88,-35.15,0.278,286.2,23.59,-56.42,0.707,460.84,-57.61,0.487,819.19,-90.46,5.38,7.36,50
