date,pure_top2_skip21,fallback_5pct,spmo,fallback_sleeve,holdings
2020-01-02,1.0,1.0,1.0,Top2,
2020-01-03,1.0137012714660334,1.0137012714660334,0.9969157976487054,Top2,DXCM PODD
2020-01-06,1.0541706235148154,1.0541706235148154,0.9976513045549447,Top2,DXCM PODD
2020-01-07,1.0638518099215653,1.0638518099215653,0.9919571388781347,Top2,DXCM PODD
2020-01-08,1.073008894056175,1.073008894056175,0.9969393641279006,Top2,DXCM PODD
2020-01-09,1.0791659087637686,1.0791659087637686,1.0071413220659053,Top2,PODD BLDR
2020-01-10,1.0790479531678716,1.0790479531678716,1.0059313821710953,Top2,BLDR TGT
2020-01-13,1.0891402243475434,1.0891402243475434,1.0132624968287083,Top2,BLDR PODD
2020-01-14,1.0882292966114213,1.0882292966114213,1.0112220082597114,Top2,BLDR PODD
2020-01-15,1.0929283607569062,1.0929283607569062,1.020664795830886,Top2,CVNA LRCX
2020-01-16,1.086482990812142,1.086482990812142,1.0286127121661996,Top2,CVNA BLDR
2020-01-17,1.055051074943946,1.055051074943946,1.0350424817306447,Top2,CVNA BLDR
2020-01-21,1.0607417345562862,1.0607417345562862,1.036560822464305,Top2,CVNA BLDR
2020-01-22,1.052336807203145,1.052336807203145,1.0396686882761905,Top2,CVNA BLDR
2020-01-23,1.0580428996541487,1.0580428996541487,1.0397165970857478,Top2,CVNA TSLA
2020-01-24,1.0348870753227348,1.0348870753227348,1.0345914212584773,Top2,TSLA BMY
2020-01-27,1.0631557832960314,1.0408144453378236,1.02484052379264,SPMO,TSLA TGT
2020-01-28,1.0584195655563693,1.0361777552899898,1.0330968409668038,Top2,TSLA TGT
2020-01-29,1.0494113878392994,1.0273588769643418,1.0317915683598584,Top2,TSLA BLDR
2020-01-30,1.0520080195564219,1.029900942617246,1.0417327433243826,Top2,TSLA CVNA
2020-01-31,1.0483116127955843,1.0262822127820033,1.0242235281521475,Top2,TSLA TGT
2020-02-03,1.137485914566106,1.1135825904819943,1.034805459199151,Top2,TSLA TGT
2020-02-04,1.1429006794744447,1.1188835685919332,1.046833673802687,Top2,TSLA AMD
2020-02-05,1.0763150342328063,1.0536971655186407,1.0468103012862837,Top2,TSLA AMD
2020-02-06,1.1197556326167217,1.0581591596318518,1.0521479633518942,SPMO,TSLA AMD
2020-02-07,1.1425691963252609,1.0797177753680574,1.0483997293831129,Top2,TSLA AMD
2020-02-10,1.1235076449226724,1.0617047780444293,1.0584354612086053,Top2,TSLA STT
2020-02-11,1.1383073190074386,1.0756903390330936,1.0576765817859628,Top2,TSLA ALGN
2020-02-12,1.1486593417471767,1.085472908875741,1.0612353141072242,Top2,TSLA ALGN
2020-02-13,1.1993975885429171,1.1334201029122737,1.0636788573574354,Top2,TSLA SMCI
2020-02-14,1.1944042394473664,1.1287014322230724,1.0703218890113873,Top2,TSLA APA
2020-02-18,1.2297279692853484,1.162082044199164,1.0713185668166905,Top2,TSLA APA
2020-02-19,1.237455281439993,1.1693842857754477,1.0727418657824033,Top2,TSLA STT
2020-02-20,1.2271256473520495,1.1596228730105393,1.0683527787497469,Top2,TSLA STT
2020-02-21,1.18597001816336,1.1207311677778047,1.0590999777330714,Top2,TSLA AMD
2020-02-24,1.1884848326957766,1.1231076452472981,1.0310802098211895,Top2,TSLA SWKS
