strategy,top_n,signal_date,trade_date,action,ticker,company,nasdaq100_date_added,date_source,price,old_weight,new_weight,rank,score,skipped_not_yet_nasdaq100_before_buy,equity_before_trade
Nasdaq-100 Top3 PIT membership,3,2024-11-29,2024-12-02,SELL,AVGO,Broadcom,2016-02-01,Wikipedia Nasdaq-100 changes table,160.72202989492314,0.3333333333333333,0.0,,,,5.180267823338084
Nasdaq-100 Top3 PIT membership,3,2024-11-29,2024-12-02,SELL,CEG,Constellation Energy,2022-02-02,Wikipedia Nasdaq-100 changes table,254.83023885036357,0.3333333333333333,0.0,,,,5.180267823338084
Nasdaq-100 Top3 PIT membership,3,2024-11-29,2024-12-02,BUY,APP,AppLovin,2024-11-18,Wikipedia Nasdaq-100 changes table,335.7850036621094,0.0,0.3333333333333333,1,1.1066517774250646,4,5.180267823338084
Nasdaq-100 Top3 PIT membership,3,2024-11-29,2024-12-02,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,352.3800048828125,0.0,0.3333333333333333,2,0.44626002439795354,4,5.180267823338084
Nasdaq-100 Top3 PIT membership,3,2024-11-29,2024-12-02,BUY,ADSK,Autodesk,,No add date found; assumed already member before test window,291.739990234375,0.0,0.3333333333333333,3,0.4326388818456597,4,5.180267823338084
Nasdaq-100 Top3 PIT membership,3,2024-12-31,2025-01-02,SELL,ADSK,Autodesk,,No add date found; assumed already member before test window,297.75,0.3333333333333333,0.0,,,,5.407174325588692
Nasdaq-100 Top3 PIT membership,3,2024-12-31,2025-01-02,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,390.1000061035156,0.3333333333333333,0.0,,,,5.407174325588692
Nasdaq-100 Top3 PIT membership,3,2024-12-31,2025-01-02,BUY,MSTR,MicroStrategy,2024-12-23,Wikipedia Nasdaq-100 changes table,300.1099853515625,0.0,0.3333333333333333,2,1.934956403706566,0,5.407174325588692
Nasdaq-100 Top3 PIT membership,3,2024-12-31,2025-01-02,BUY,PLTR,Palantir Technologies,2024-12-23,Wikipedia Nasdaq-100 changes table,76.19999694824219,0.0,0.3333333333333333,3,1.5969803340762128,0,5.407174325588692
Nasdaq-100 Top3 PIT membership,3,2025-01-31,2025-02-03,SELL,MSTR,MicroStrategy,2024-12-23,Wikipedia Nasdaq-100 changes table,310.0,0.3333333333333333,0.0,,,,5.71259095678632
Nasdaq-100 Top3 PIT membership,3,2025-01-31,2025-02-03,BUY,AXON,Axon Enterprise,2024-12-23,Wikipedia Nasdaq-100 changes table,640.75,0.0,0.3333333333333333,3,1.0143328144161856,0,5.71259095678632
Nasdaq-100 Top3 PIT membership,3,2025-02-28,2025-03-03,SELL,AXON,Axon Enterprise,2024-12-23,Wikipedia Nasdaq-100 changes table,532.8400268554688,0.3333333333333333,0.0,,,,5.717265509027975
