strategy,universe,top_n,signal_date,trade_date,selected,skipped_not_yet_index_count,first_skipped_tickers,equity_before_rebalance
S&P 500 Top3 PIT membership,S&P 500,3,2024-01-31,2024-02-01,"INTC, AXON, FICO",6,"COIN, VRT, CRWD, ERIE, WSM, DELL",1.587021494028643
S&P 500 Top3 PIT membership,S&P 500,3,2024-02-29,2024-03-01,"AMD, ALL, PANW",5,"CRWD, SMCI, COIN, GDDY, DELL",1.7312158349722035
S&P 500 Top3 PIT membership,S&P 500,3,2024-03-28,2024-04-01,"SMCI, NVDA, AMD",5,"COIN, CRWD, CVNA, VRT, COHR",1.683724781483259
S&P 500 Top3 PIT membership,S&P 500,3,2024-04-30,2024-05-01,"SMCI, NVDA, BLDR",9,"COIN, CVNA, VST, VRT, HOOD, WSM, COHR, XYZ, DASH",1.4260711215169561
S&P 500 Top3 PIT membership,S&P 500,3,2024-05-31,2024-06-03,"SMCI, VST, NVDA",4,"CVNA, VRT, HOOD, APP",1.5341663453372778
S&P 500 Top3 PIT membership,S&P 500,3,2024-06-28,2024-07-01,"SMCI, VST, NVDA",1,DELL,1.546271231254155
S&P 500 Top3 PIT membership,S&P 500,3,2024-07-31,2024-08-01,"VST, NVDA, CEG",5,"CVNA, HOOD, APP, COIN, DELL",1.3948569871922996
S&P 500 Top3 PIT membership,S&P 500,3,2024-08-30,2024-09-03,"MMM, NEM, NEE",3,"CVNA, TPL, SATS",1.4433826638077283
S&P 500 Top3 PIT membership,S&P 500,3,2024-09-30,2024-10-01,"HWM, NEM, VTR",2,"CVNA, TPL",1.4896102060184848
S&P 500 Top3 PIT membership,S&P 500,3,2024-10-31,2024-11-01,"FICO, PLTR, GEV",3,"APP, TPL, COHR",1.4254799263450952
S&P 500 Top3 PIT membership,S&P 500,3,2024-11-29,2024-12-02,"PLTR, TPL, GEV",3,"APP, CVNA, COHR",1.840459065537256
S&P 500 Top3 PIT membership,S&P 500,3,2024-12-31,2025-01-02,"PLTR, AXON, TPL",1,APP,1.71116097051226
S&P 500 Top3 PIT membership,S&P 500,3,2025-01-31,2025-02-03,"PLTR, UAL, AXON",1,APP,1.8640706049720424
S&P 500 Top3 PIT membership,S&P 500,3,2025-02-28,2025-03-03,"PLTR, UAL, GEV",2,"APP, HOOD",1.7973590701703022
S&P 500 Top3 PIT membership,S&P 500,3,2025-03-31,2025-04-01,"PLTR, TPR, TPL",2,"APP, HOOD",1.548810300912868
S&P 500 Top3 PIT membership,S&P 500,3,2025-04-30,2025-05-01,"PLTR, EQT, WBD",2,"APP, HOOD",1.7453611010256052
S&P 500 Top3 PIT membership,S&P 500,3,2025-05-30,2025-06-02,"PLTR, VRSN, PM",0,,1.9832096582463983
S&P 500 Top3 PIT membership,S&P 500,3,2025-06-30,2025-07-01,"NRG, HWM, MOS",1,HOOD,2.0683219661608034
S&P 500 Top3 PIT membership,S&P 500,3,2025-07-31,2025-08-01,"SMCI, PLTR, DG",1,HOOD,2.043979468887103
S&P 500 Top3 PIT membership,S&P 500,3,2025-08-29,2025-09-02,"GEV, PLTR, AMD",2,"HOOD, FIX",1.8430717720667036
S&P 500 Top3 PIT membership,S&P 500,3,2025-09-30,2025-10-01,"HOOD, GEV, WDC",3,"SATS, FIX, LITE",1.983070501004526
S&P 500 Top3 PIT membership,S&P 500,3,2025-10-31,2025-11-03,"HOOD, WDC, STX",2,"SNDK, SATS",2.2055438096226467
S&P 500 Top3 PIT membership,S&P 500,3,2025-11-28,2025-12-01,"SNDK, WDC, MU",2,"SATS, LITE",2.1526601557440683
S&P 500 Top3 PIT membership,S&P 500,3,2025-12-31,2026-01-02,"SNDK, WDC, WBD",3,"LITE, CIEN, SATS",2.5444855237044566
S&P 500 Top3 PIT membership,S&P 500,3,2026-01-30,2026-02-02,"SNDK, MU, WDC",3,"LITE, SATS, CIEN",3.808460725320048
S&P 500 Top3 PIT membership,S&P 500,3,2026-02-27,2026-03-02,"SNDK, MU, WDC",0,,3.9964603229779376
S&P 500 Top3 PIT membership,S&P 500,3,2026-03-31,2026-04-01,"SNDK, LITE, COHR",0,,3.9443137888542292
S&P 500 Top3 PIT membership,S&P 500,3,2026-04-30,2026-05-01,"SNDK, LITE, WDC",0,,5.471958925458327
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2019-12-31,2020-01-02,PDD,0,,1.0
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2020-01-31,2020-02-03,TSLA,0,,0.909090909090909
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2020-02-28,2020-03-02,TSLA,0,,0.959788601056945
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2020-03-31,2020-04-01,TSLA,0,,0.6801077660389336
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2020-04-30,2020-05-01,DXCM,0,,1.0188122494169256
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2020-05-29,2020-06-01,TSLA,0,,1.1773283546887436
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2020-06-30,2020-07-01,ZS,0,,1.4860682252067516
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2020-07-31,2020-08-03,PDD,0,,1.7817862764033383
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2020-08-31,2020-09-01,PDD,0,,1.712791678231455
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2020-09-30,2020-10-01,TSLA,0,,1.435088197606143
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2020-10-30,2020-11-02,TSLA,0,,1.2828404006851013
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2020-11-30,2020-12-01,TSLA,0,,1.94571735941977
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2020-12-31,2021-01-04,MSTR,0,,2.3425188289551127
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2021-01-29,2021-02-01,MSTR,0,,3.490399826786395
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2021-02-26,2021-03-01,MSTR,0,,4.492270490475997
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2021-03-31,2021-04-01,MSTR,0,,3.8736832588829273
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2021-04-30,2021-05-03,MSTR,0,,3.792154088070994
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2021-05-28,2021-06-01,MSTR,0,,2.6514750347051628
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2021-06-30,2021-07-01,FANG,0,,3.660604092505399
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2021-07-30,2021-08-02,FANG,0,,2.929993178714474
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2021-08-31,2021-09-01,FTNT,0,,2.928749613217713
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2021-09-30,2021-10-01,FTNT,0,,2.6855326876875445
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2021-10-29,2021-11-01,DDOG,0,,3.102146566836645
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2021-11-30,2021-12-01,TSLA,0,,3.38724170511519
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2021-12-31,2022-01-03,TSLA,0,,3.3494501867378617
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2022-01-31,2022-02-01,DDOG,0,,2.7291999104593803
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2022-02-28,2022-03-01,FANG,0,,2.957110084852463
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2022-03-31,2022-04-01,FANG,0,,2.91719816388849
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2022-04-29,2022-05-02,BKR,0,,2.636919359391938
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2022-05-31,2022-06-01,VRTX,0,,3.1488705872702534
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2022-06-30,2022-07-01,BKR,0,,3.2042245950066524
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2022-07-29,2022-08-01,TMUS,0,,2.8079616696480154
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2022-08-31,2022-09-01,CEG,0,,2.8175844490832826
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2022-09-30,2022-10-03,PDD,0,,2.936378927857089
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2022-10-31,2022-11-01,ALNY,0,,2.805580500442348
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2022-11-30,2022-12-01,DXCM,0,,2.9514449564631255
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2022-12-30,2023-01-03,AXON,0,,2.898446338172538
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2023-01-31,2023-02-01,PDD,0,,3.4039651776721547
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2023-02-28,2023-03-01,PDD,0,,3.0825665763968457
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2023-03-31,2023-04-03,AXON,0,,2.4643896558297844
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2023-04-28,2023-05-01,NVDA,0,,2.3252052880314733
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2023-05-31,2023-06-01,META,0,,3.2146126438406735
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2023-06-30,2023-07-03,NVDA,0,,3.4660754231290056
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2023-07-31,2023-08-01,APP,0,,3.787516962627719
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2023-08-31,2023-09-01,PLTR,0,,5.289631415877835
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2023-09-29,2023-10-02,APP,0,,5.593192353698995
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2023-10-31,2023-11-01,APP,0,,5.094471603843551
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2023-11-30,2023-12-01,PDD,0,,5.244923851760466
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2023-12-29,2024-01-02,PDD,0,,5.265417463272442
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2024-01-31,2024-02-01,PDD,0,,4.655729728746012
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2024-02-29,2024-03-01,CRWD,0,,4.644019053709952
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2024-03-28,2024-04-01,MSTR,0,,4.669475696917445
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2024-04-30,2024-05-01,MSTR,0,,2.8826526987355763
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2024-05-31,2024-06-03,MSTR,0,,4.54455021793746
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2024-06-28,2024-07-01,MSTR,0,,4.002383237355236
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2024-07-31,2024-08-01,MSTR,0,,4.584290020091282
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2024-08-30,2024-09-03,INSM,0,,3.7469119668857536
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2024-09-30,2024-10-01,INSM,0,,3.527073666265447
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2024-10-31,2024-11-01,INSM,0,,3.2748636821090704
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2024-11-29,2024-12-02,APP,0,,3.6246719808641332
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2024-12-31,2025-01-02,APP,0,,3.5736673289409064
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2025-01-31,2025-02-03,APP,0,,3.816006710775743
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2025-02-28,2025-03-03,APP,0,,3.7807080880185233
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2025-03-31,2025-04-01,APP,0,,2.8521548751840204
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2025-04-30,2025-05-01,PLTR,0,,3.0440832302095657
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2025-05-30,2025-06-02,PLTR,0,,3.3330478913633295
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2025-06-30,2025-07-01,PLTR,0,,3.430299470306912
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2025-07-31,2025-08-01,PLTR,0,,3.9318986215764498
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2025-08-29,2025-09-02,PLTR,0,,3.834266674504376
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2025-09-30,2025-10-01,WDC,0,,4.598077219155814
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2025-10-31,2025-11-03,SNDK,0,,5.916649805413335
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2025-11-28,2025-12-01,SNDK,0,,5.944429864023817
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2025-12-31,2026-01-02,SNDK,0,,6.856691364549158
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2026-01-30,2026-02-02,SNDK,0,,16.52256322805196
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2026-02-27,2026-03-02,SNDK,0,,17.359762051097544
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2026-03-31,2026-04-01,SNDK,0,,18.303871282193903
Nasdaq-100 Top1 current constituents,Nasdaq-100,1,2026-04-30,2026-05-01,SNDK,0,,29.717099412424044
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2019-12-31,2020-01-02,"PDD, ALNY",0,,1.0
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2020-01-31,2020-02-03,"TSLA, PDD",0,,0.9589649780174675
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2020-02-28,2020-03-02,"TSLA, AAPL",0,,1.0335097712266768
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2020-03-31,2020-04-01,"TSLA, DXCM",0,,0.8240970167344317
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2020-04-30,2020-05-01,"DXCM, TSLA",0,,1.1611952610369285
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2020-05-29,2020-06-01,"TSLA, SHOP",0,,1.3358679388997847
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2020-06-30,2020-07-01,"ZS, TSLA",0,,1.6893949254725897
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2020-07-31,2020-08-03,"PDD, SHOP",0,,2.1617627084291122
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2020-08-31,2020-09-01,"PDD, ZS",0,,2.170991069942475
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2020-09-30,2020-10-01,"TSLA, SHOP",0,,1.9553912767439963
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2020-10-30,2020-11-02,"TSLA, DDOG",0,,1.7648202465888576
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2020-11-30,2020-12-01,"TSLA, QCOM",0,,2.2668481984142157
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2020-12-31,2021-01-04,"MSTR, TSLA",0,,2.5429206509466917
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2021-01-29,2021-02-01,"MSTR, TSLA",0,,3.376560776245337
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2021-02-26,2021-03-01,"MSTR, TSLA",0,,3.6198309191747913
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2021-03-31,2021-04-01,"MSTR, WBD",0,,3.3767866594074865
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2021-04-30,2021-05-03,"MSTR, FANG",0,,3.1370332355909256
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2021-05-28,2021-06-01,"MSTR, FANG",0,,2.6405960180497225
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2021-06-30,2021-07-01,"FANG, AMAT",0,,3.396787743452232
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2021-07-30,2021-08-02,"FANG, FTNT",0,,3.040044704260391
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2021-08-31,2021-09-01,"FTNT, NVDA",0,,3.283576819815606
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2021-09-30,2021-10-01,"FTNT, NVDA",0,,3.022214096846186
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2021-10-29,2021-11-01,"DDOG, DASH",0,,3.616000492752117
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2021-11-30,2021-12-01,"TSLA, DDOG",0,,3.697649489941788
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2021-12-31,2022-01-03,"TSLA, AMD",0,,3.6512159627737195
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2022-01-31,2022-02-01,"DDOG, TSLA",0,,2.9600735922807484
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2022-02-28,2022-03-01,"FANG, STX",0,,2.986095068774232
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2022-03-31,2022-04-01,"FANG, QCOM",0,,2.8041455655115763
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2022-04-29,2022-05-02,"BKR, VRTX",0,,2.5739524296835277
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2022-05-31,2022-06-01,"VRTX, BKR",0,,2.875127694413431
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2022-06-30,2022-07-01,"BKR, FANG",0,,2.5981141336568347
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2022-07-29,2022-08-01,"TMUS, CEG",0,,2.475639555305299
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2022-08-31,2022-09-01,"CEG, CSGP",0,,2.765397410125964
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2022-09-30,2022-10-03,"PDD, CEG",0,,2.850843695689066
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2022-10-31,2022-11-01,"ALNY, CEG",0,,2.973425626303269
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2022-11-30,2022-12-01,"DXCM, ALNY",0,,3.0870500270589547
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2022-12-30,2023-01-03,"AXON, NFLX",0,,3.1832606988981715
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2023-01-31,2023-02-01,"PDD, ALNY",0,,3.763521642150749
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2023-02-28,2023-03-01,"PDD, NFLX",0,,3.296460518537509
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2023-03-31,2023-04-03,"AXON, NVDA",0,,3.0551723719659907
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2023-04-28,2023-05-01,"NVDA, AMD",0,,2.9874588386124614
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2023-05-31,2023-06-01,"META, NVDA",0,,4.0048837868485645
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2023-06-30,2023-07-03,"NVDA, APP",0,,4.374774909314275
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2023-07-31,2023-08-01,"APP, PLTR",0,,5.051666786159502
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2023-08-31,2023-09-01,"PLTR, APP",0,,5.358184625749221
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2023-09-29,2023-10-02,"APP, PLTR",0,,5.306123804303002
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2023-10-31,2023-11-01,"APP, PLTR",0,,4.874624370703179
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2023-11-30,2023-12-01,"PDD, APP",0,,5.781779678410551
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2023-12-29,2024-01-02,"PDD, CRWD",0,,5.940594382980966
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2024-01-31,2024-02-01,"PDD, CRWD",0,,6.090983015371006
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2024-02-29,2024-03-01,"CRWD, ZS",0,,6.355462222104637
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2024-03-28,2024-04-01,"MSTR, ARM",0,,5.8869264940481765
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2024-04-30,2024-05-01,"MSTR, ARM",0,,4.169984836601072
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2024-05-31,2024-06-03,"MSTR, APP",0,,5.931240323598134
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2024-06-28,2024-07-01,"MSTR, NVDA",0,,5.6496994346154805
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2024-07-31,2024-08-01,"MSTR, INSM",0,,5.95932120482407
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2024-08-30,2024-09-03,"INSM, ALNY",0,,5.646920936894841
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2024-09-30,2024-10-01,"INSM, ALNY",0,,5.634871248000827
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2024-10-31,2024-11-01,"INSM, APP",0,,5.354491239744731
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2024-11-29,2024-12-02,"APP, PLTR",0,,8.02999025679574
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2024-12-31,2025-01-02,"APP, MSTR",0,,8.518271180836265
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2025-01-31,2025-02-03,"APP, PLTR",0,,8.99027745969785
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2025-02-28,2025-03-03,"APP, PLTR",0,,9.629036407845952
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2025-03-31,2025-04-01,"APP, PLTR",0,,8.188260626923915
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2025-04-30,2025-05-01,"PLTR, APP",0,,10.177973796102163
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2025-05-30,2025-06-02,"PLTR, NFLX",0,,12.62298998407551
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2025-06-30,2025-07-01,"PLTR, MELI",0,,13.548704492594672
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2025-07-31,2025-08-01,"PLTR, ZS",0,,13.781532798131975
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2025-08-29,2025-09-02,"PLTR, AMD",0,,13.624256762882695
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2025-09-30,2025-10-01,"WDC, STX",0,,15.054142492175329
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2025-10-31,2025-11-03,"SNDK, WDC",0,,17.963683023326617
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2025-11-28,2025-12-01,"SNDK, WDC",0,,18.60679143576752
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2025-12-31,2026-01-02,"SNDK, WDC",0,,21.101074170077826
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2026-01-30,2026-02-02,"SNDK, MU",0,,38.84796664135921
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2026-02-27,2026-03-02,"SNDK, MU",0,,39.449447300162504
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2026-03-31,2026-04-01,"SNDK, MU",0,,37.90255096200357
Nasdaq-100 Top2 current constituents,Nasdaq-100,2,2026-04-30,2026-05-01,"SNDK, WDC",0,,58.66606791917889
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2019-12-31,2020-01-02,"PDD, ALNY, DXCM",0,,1.0
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2020-01-31,2020-02-03,"TSLA, PDD, AMD",0,,1.0054958173934672
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2020-02-28,2020-03-02,"TSLA, AAPL, AMD",0,,1.0689511330482087
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2020-03-31,2020-04-01,"TSLA, DXCM, REGN",0,,0.9014457748183127
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2020-04-30,2020-05-01,"DXCM, TSLA, REGN",0,,1.1691226768859388
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2020-05-29,2020-06-01,"TSLA, SHOP, DXCM",0,,1.3494109007110426
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2020-06-30,2020-07-01,"ZS, TSLA, SHOP",0,,1.6155999653012358
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2020-07-31,2020-08-03,"PDD, SHOP, ZS",0,,1.968584898628484
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2020-08-31,2020-09-01,"PDD, ZS, DDOG",0,,2.057387104773784
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2020-09-30,2020-10-01,"TSLA, SHOP, MELI",0,,2.0474171916115957
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2020-10-30,2020-11-02,"TSLA, DDOG, ZS",0,,1.9893976210252393
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2020-11-30,2020-12-01,"TSLA, QCOM, MELI",0,,2.4590695804954463
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2020-12-31,2021-01-04,"MSTR, TSLA, AMD",0,,2.7328292872004796
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2021-01-29,2021-02-01,"MSTR, TSLA, PDD",0,,3.260458770836087
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2021-02-26,2021-03-01,"MSTR, TSLA, AXON",0,,3.4901400302824785
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2021-03-31,2021-04-01,"MSTR, WBD, PDD",0,,3.1599496211821116
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2021-04-30,2021-05-03,"MSTR, FANG, AMAT",0,,2.962297143925559
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2021-05-28,2021-06-01,"MSTR, FANG, STX",0,,2.678751598867846
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2021-06-30,2021-07-01,"FANG, AMAT, STX",0,,3.0655999149437485
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2021-07-30,2021-08-02,"FANG, FTNT, NVDA",0,,2.8589809983700443
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2021-08-31,2021-09-01,"FTNT, NVDA, ASML",0,,3.147691546257776
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2021-09-30,2021-10-01,"FTNT, NVDA, ZS",0,,2.864980013812313
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2021-10-29,2021-11-01,"DDOG, DASH, ZS",0,,3.4458144581973973
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2021-11-30,2021-12-01,"TSLA, DDOG, DXCM",0,,3.6868701080892037
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2021-12-31,2022-01-03,"TSLA, AMD, DDOG",0,,3.5876908079526597
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2022-01-31,2022-02-01,"DDOG, TSLA, NVDA",0,,2.9428736256621875
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2022-02-28,2022-03-01,"FANG, STX, BKR",0,,2.932216121456148
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2022-03-31,2022-04-01,"FANG, QCOM, MU",0,,3.0292293113341917
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2022-04-29,2022-05-02,"BKR, VRTX, FANG",0,,2.73352418829328
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2022-05-31,2022-06-01,"VRTX, BKR, KHC",0,,3.194838776553404
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2022-06-30,2022-07-01,"BKR, FANG, EXC",0,,2.9959829054656506
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2022-07-29,2022-08-01,"TMUS, CEG, PDD",0,,2.929890961387269
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2022-08-31,2022-09-01,"CEG, CSGP, ADP",0,,3.6069597539609544
Nasdaq-100 Top3 current constituents,Nasdaq-100,3,2022-09-30,2022-10-03,"PDD, CEG, ALNY",0,,3.612002514307706
