date,New cash balanced,Cash + deep DCA,DCA advantage growth
2010-07-01,1.0,1.0,1.0
2010-07-02,0.9945293609792396,1.0,1.0055007315373514
2010-07-06,0.9997270510626368,1.0,1.0002730234588262
2010-07-07,1.0941989975120918,1.0,0.91391054303077
2010-07-08,1.112658524292209,1.0,0.8987483384770957
2010-07-09,1.1438344004673304,1.0,0.8742524263926974
2010-07-12,1.1568236166850956,1.0,0.8644360173641015
2010-07-13,1.196336424181699,1.0,0.8358852742312898
2010-07-14,1.2154733964290982,1.0,0.8227247119828942
2010-07-15,1.2197156831171223,1.0,0.8198631974989337
2010-07-16,1.1215472657397676,1.0,0.8916253737557859
2010-07-19,1.1468429152588797,1.0,0.8719589986517617
2010-07-20,1.1830743411411728,1.0,0.8452554207501597
2010-07-21,1.1416450609462787,1.0,0.8759289854686771
2010-07-22,1.2186183035747273,1.0,0.820601493565765
2010-07-23,1.2503399133953712,1.0,0.7997825145679317
2010-07-26,1.277819729215603,1.0,0.7825830022313521
2010-07-27,1.2775465339344336,1.0,0.7827503526782079
2010-07-28,1.2514319554886297,1.0,0.7990845971401965
2010-07-29,1.221627064710083,1.0,0.8185804235086428
2010-07-30,1.229969251366099,1.0,0.8130284548896833
2010-08-02,1.2961428636416403,1.0,0.7715198903232026
2010-08-03,1.2827442240178304,1.0,0.7795786418494135
2010-08-04,1.3197949072852229,1.0,0.7576934828889201
2010-08-05,1.3120037917238652,1.0,0.7621929191882001
2010-08-06,1.3058505340158908,1.0,0.7657844247493574
2010-08-09,1.328683730847384,1.0,0.7526245537470666
2010-08-10,1.3005160410054037,1.0,0.7689255406853108
2010-08-11,1.1934646302026364,1.0,0.8378966369788534
2010-08-12,1.159826547683702,1.0,0.862197888121381
2010-08-13,1.1367204840294483,1.0,0.8797237439191724
2010-08-16,1.1431467727893878,1.0,0.8747783082656168
2010-08-17,1.1866290822658565,1.0,0.8427233201553681
2010-08-18,1.1972919918062759,1.0,0.835218147990254
2010-08-19,1.153263948684285,1.0,0.8671041881963465
2010-08-20,1.1492998662681582,1.0,0.8700949415813096
2010-08-23,1.1175833475528445,1.0,0.8947878493265715
2010-08-24,1.053457591338945,1.0,0.9492551083418551
2010-08-25,1.0850428909201113,1.0,0.9216225536964762
2010-08-26,1.049630147620704,1.0,0.95271653759831
2010-08-27,1.0843548526691589,1.0,0.9222073360380895
2010-08-30,1.0492207242146592,1.0,0.9530883034630289
2010-08-31,1.0440228699020577,1.0,0.9578334237963699
2010-09-01,1.1315279671659826,1.0,0.883760745661986
2010-09-02,1.170358402319178,1.0,0.854439117127201
2010-09-03,1.2299692513660987,1.0,0.8130284548896836
2010-09-07,1.2000272292020535,1.0,0.8333144245942988
2010-09-08,1.2424121591361268,1.0,0.8048858767571297
2010-09-09,1.2581314395297387,1.0,0.7948295134996209
2010-09-10,1.271671562612958,1.0,0.7863665661794443
2010-09-13,1.3277279168790006,1.0,0.7531663583233467
2010-09-14,1.3445444125858028,1.0,0.7437463505402686
2010-09-15,1.3673773630734893,1.0,0.7313270111129193
2010-09-16,1.3866561472387062,1.0,0.7211593169592424
2010-09-17,1.4014196957785363,1.0,0.7135621134855437
2010-09-20,1.474429102334665,1.0,0.6782286095795067
2010-09-21,1.4697822370021196,1.0,0.6803728979877159
2010-09-22,1.462810378825862,1.0,0.683615603549832
2010-09-23,1.4584312070961458,1.0,0.6856682681599228
2010-09-24,1.5410168185485706,1.0,0.6489221843418067
2010-09-27,1.5233764670389514,1.0,0.656436555005829
2010-09-28,1.5272039928717944,1.0,0.6547913734298021
2010-09-29,1.5149025685611752,1.0,0.6601084589550735
2010-09-30,1.4943901767286878,1.0,0.6691692809364296
2010-10-01,1.4897433113961425,1.0,0.6712565798082558
2010-10-04,1.438060709296078,1.0,0.6953809345709013
2010-10-05,1.5451176217771854,1.0,0.6471999192202634
2010-10-06,1.5057412066346616,1.0,0.6641247483921918
2010-10-07,1.5205047551744917,1.0,0.6576763384638287
2010-10-08,1.5511344871310804,1.0,0.6446894246091853
2010-10-11,1.5542793121621075,1.0,0.6433850030525933
2010-10-12,1.5865469019720797,1.0,0.6302996770892804
2010-10-13,1.6250992149679802,1.0,0.6153470451462272
2010-10-14,1.616079418615478,1.0,0.6187814710595823
2010-10-15,1.7191670754605266,1.0,0.5816770308564234
2010-10-18,1.7191670754605266,1.0,0.5816770308564234
2010-10-19,1.6508043700077395,1.0,0.605765297310978
2010-10-20,1.6851246606408776,1.0,0.5934279067636963
2010-10-21,1.6968801870767705,1.0,0.5893167989206759
2010-10-22,1.72996695215724,1.0,0.578045724372374
2010-10-25,1.7562178408425213,1.0,0.5694054443270339
2010-10-26,1.7667441116850549,1.0,0.5660129236521055
2010-10-27,1.784930689527809,1.0,0.5602458436436785
2010-10-28,1.795184504120592,1.0,0.5570458065478181
2010-10-29,1.7865687116103963,1.0,0.5597321801850036
2010-11-01,1.7906747701735448,1.0,0.5584487013814821
2010-11-02,1.8449510440953762,1.0,0.5420198022058217
2010-11-03,1.8716118488743145,1.0,0.5342988187435618
2010-11-04,1.9379267803800615,1.0,0.5160153676207945
2010-11-05,1.940247339035261,1.0,0.5153982071673525
2010-11-08,1.9451722444104993,1.0,0.5140932906448387
2010-11-09,1.9137235014126166,1.0,0.5225415266426154
2010-11-10,1.9429830691186514,1.0,0.5146725238597194
2010-11-11,1.910305563215022,1.0,0.5234764632716724
2010-11-12,1.813098297255187,1.0,0.5515420766286526
2010-11-15,1.7936827922774818,1.0,0.5575121779087127
2010-11-16,1.7046763116288555,1.0,0.5866216320237818
2010-11-17,1.7208050975431137,1.0,0.5811233366450123
2010-11-18,1.8007917818392383,1.0,0.5553112858937251
2010-11-19,1.8050285668489223,1.0,0.5540078524882971
2010-11-22,1.8526108584079843,1.0,0.5397787643646526
2010-11-23,1.7651060896024677,1.0,0.5665381848097398
2010-11-24,1.8681939106767205,1.0,0.535276340579532
2010-11-26,1.8564385484700316,1.0,0.5386658237753906
2010-11-29,1.8305975758784077,1.0,0.5462697062297553
2010-11-30,1.7610054506030568,1.0,0.5678574133075793
2010-12-01,1.872982341583277,1.0,0.5339078633035461
2010-12-02,1.9298573784322046,1.0,0.5181730065526341
2010-12-03,1.9459912554517929,1.0,0.5138769237520721
2010-12-06,1.9425733172541984,1.0,0.5147810850266834
2010-12-07,1.9443533975984097,1.0,0.514309796375063
2010-12-08,1.9712869870855072,1.0,0.5072828089219379
2010-12-09,1.9733341041157308,1.0,0.5067565588180564
2010-12-10,2.014763384310625,1.0,0.4963361989736387
2010-12-13,1.9911114227816444,1.0,0.5022320642422758
2010-12-14,1.9994490110199428,1.0,0.5001377852040788
2010-12-15,1.9790781847614667,1.0,0.5052857475262037
2010-12-16,2.0203708262584748,1.0,0.494958641751871
2010-12-17,2.0265238376226433,1.0,0.4934558288606763
2010-12-20,2.0319895497672777,1.0,0.49212851518578393
2010-12-21,2.065485574024588,1.0,0.48414765640386687
2010-12-22,2.0676752420040483,1.0,0.4836349440595769
2010-12-23,2.051950788390505,1.0,0.48734112224220205
2010-12-27,2.0527748905371284,1.0,0.48714547542928116
2010-12-28,2.043886641777182,1.0,0.4892639247010729
2010-12-29,2.0560563542660413,1.0,0.48636799177470696
2010-12-30,2.0406050138190652,1.0,0.49005074143597455
2010-12-31,2.0218722096431763,1.0,0.4945910998878024
2011-01-03,2.1132049969691487,1.0,0.47321485678589814
2011-01-04,2.120235487576663,1.0,0.4716457232507491
2011-01-05,2.1409080483654575,1.0,0.46709152257308806
2011-01-06,2.2595710172107935,1.0,0.44256188116379563
2011-01-07,2.274455195980893,1.0,0.439665728200346
2011-01-10,2.3459859611866034,1.0,0.4262600103089272
2011-01-11,2.3720340052598985,1.0,0.4215791163965342
2011-01-12,2.5051674416682257,1.0,0.39917491476501316
2011-01-13,2.5043414817052523,1.0,0.399306567137594
2011-01-14,2.709005358330126,1.0,0.3691391738761329
2011-01-18,2.677169094732718,1.0,0.37352888988875677
2011-01-19,2.49069664911607,1.0,0.4014940961818424
2011-01-20,2.400148980422908,1.0,0.41664080361536526
2011-01-21,2.358801583921163,1.0,0.4239440938214252
2011-01-24,2.5291495296193016,1.0,0.39538982898750324
2011-01-25,2.476226344047661,1.0,0.40384030418051015
2011-01-26,2.5448593433632087,1.0,0.3929490258893564
2011-01-27,2.6854377940590703,1.0,0.3723787615606945
2011-01-28,2.467956182270065,1.0,0.40519357968510783
2011-01-31,2.496073107368065,1.0,0.4006292912848335
2011-02-01,2.676755546020193,1.0,0.37358659870409255
2011-02-02,2.722235179755541,1.0,0.3673451902453927
